receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
BaumannSabine,0.0001964811665765,0.0001497497083743,0.0002014609685734,0.0162179289475417,0.0082528703016378,0.0002000683472708,0.0001847064334426,0.0001386893007999,0.000163068404988,0.0670171389953613,0.0003356510356365,0.0002618431417926,0.0001734221628326,0.000154613431,0.00019325724473,0.4354753148224249,0.0002538593692142,0.0001785761048358,0.000163198714612,0.0002621872857693,0.000154768296987,0.4667999023122745,0.0002213763599369,0.0001935777095174,0.0001669581264718,0.0001152687723309,0.0001441624847314,0.0001542987204752,0.0001538413147087,0.0001552200142515,6.219716881153894e-05,0.0001272869977392,0.0002274159357989,0.0002286569645203,3.12731658870497e-05,0.0002523870135821,0.0003307552166935,0.000133511440763,8.610307441766327e-05,8.695302268588665e-05
BaumgärtnerKlaus,0.007154829422874903,0.003193734060470022,0.0027556111965061046,0.002695715847370797,0.008964690747663264,0.003217866807770531,0.01130937611608001,0.004842486496045454,0.006677737881542593,0.12093672402237488,0.0119307575105989,0.032928607817846574,0.0007806561975536448,0.0015870787657280658,0.023941043204384782,0.6446783587127786,0.0017831162006814972,0.003602900898609808,0.007409630716199769,0.006223249401258413,0.00026807748223636247,0.01221423641897419,0.004454186281488527,0.006861642936590053,0.005742939669811017,0.00019965950952812418,0.016043161827534968,0.0004215334217541182,0.0002664718363768002,0.0009221875440524535,0.00046664856558477965,0.003094469823016525,0.007638399520666139,0.0186048516983095,5.416892048156791e-05,0.004631922423705751,0.0058858039654152506,0.0020468385929366577,0.00321745964932417,0.0003511678878727439
BaumgärtnerKlaus+BaumgärtnerSabine,0.0019327313584966057,0.018206858260872698,0.015902315905448116,0.008284459588114714,0.002661599436327433,0.0071218768336561485,0.00450625364628212,0.010530958210907807,0.0013992954225098126,0.03356891549290568,0.017682351837052857,0.0053288494376886155,0.003413502673734466,0.01985501905809339,0.008455297609388259,0.6548997204345355,0.011188790238977502,0.02328945483498275,0.00019336895637325917,0.0021465968471750555,0.011895101353017376,0.0014024286099627982,0.012012978482952026,0.005908505650946523,0.00019782336368666086,0.0012949224732201165,0.017256121215357825,0.00018282363693212207,0.001938405317085121,0.010498119476554438,0.0011646376554473176,0.0005931059274859187,0.001183160424349516,0.013355452405785251,3.705457769347359e-05,0.014814165585075173,0.000938914237867025,0.010932659275109887,0.017532159909026148,0.026293244338921277
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0001933703693902,0.0080636519885498,0.0001982713284409,0.0001286114362249,0.0002059331502827,0.0001969007558797,0.0001817820602649,0.00013649349601,0.0001604866168999,0.0105421746370344,0.0003303368250409,0.000257697498101,0.000170676448393,0.0001521655066798,0.0001901974904359,0.5394084564863237,0.0002498401289723,0.0001757487903703,0.0001606148633907,0.0002580361934022,0.0001523179207439,0.000265425635851,0.1743758817948393,0.0001905128814497,0.0001643147541878,0.0001134437741446,0.0001418800255029,0.000151855778824,0.0001514056149556,0.0001527624861739,6.121242925045855e-05,0.0001252717204416,0.0002238153624435,0.0160575831412831,3.077803203710677e-05,0.0002483910844791,0.1428184361082453,0.0001313976146824,0.1029962914354562,8.557633491969966e-05
BaumgärtnerSabine,0.00041655608636642497,0.04444609477757244,0.036402655865123,0.007696846429412651,0.00044361867542255,0.00042416120179355,0.0003915926924811,0.000294032620880325,0.05756549652863857,0.041216790212138206,0.05211195565623245,0.000555128800828475,0.00036766911911934996,0.0003277930747217,0.003685313701719875,0.6007132266456667,0.00053820255228435,0.0003785958962127,0.00034599457568022503,0.000555858414106825,0.0003281214032359,0.02022533221522355,0.00046933592524967503,0.00041040052076905,0.000353964835215225,0.000244379191751725,0.000305636216879675,0.00032712586276022497,0.000326156125256775,0.000329079080651575,0.00013186306695253818,0.000269858809103425,0.01255104324331285,0.00048477140033615,6.630166044500098e-05,0.06330318089484017,0.05034591785606767,0.00028305513560622497,0.00018254553516992448,0.00018434749476938477
BaumgärtnerSabine+BaumgärtnerKlaus,0.000242061407928575,0.00018448905753955,0.000248196438087225,0.0077219951118643,0.0002577875217066,0.0033589504235155753,0.0002275551398213,0.000170862826199625,0.00296877031994825,0.12971810048103197,0.000413516285934675,0.000322586233902825,0.0002136531130831,0.0064154204216162495,0.000238089591826175,0.6351019917853455,0.000312750363806025,0.000220002680725725,0.00020105800122945,0.00032301021334565,0.1015080593240275,0.00033226033190625,0.016879969004273226,0.01891330242401905,0.000205689531791025,0.008445627712912095,0.000177605694390875,0.000190093361977525,0.000189529845963475,0.0077522274435914,7.662583907667571e-05,0.03613916253857788,0.00028017250998672497,0.0002817014359638,3.8528000911750216e-05,0.001823136259780125,0.005943230437305,0.0062132830428109995,0.00010607750240729011,0.005642870339867478
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,8.133583087709538e-05,6.199076057237913e-05,8.339728205876301e-05,5.409679910441948e-05,8.662001286028102e-05,8.282078909142893e-05,7.646153315434667e-05,5.741216682940121e-05,6.750420124536154e-05,0.0011045119058638,0.0001389469349349,0.0001083932361979,7.17902685140898e-05,6.400415924975061e-05,0.1132917949949182,0.5365546154921128,0.0001050882539061,7.392380712457275e-05,6.75581445403839e-05,0.0001085356988917,6.406826795773795e-05,0.0001116438609291,9.164150684638816e-05,0.3463750324279797,6.911439999505696e-05,4.7716946794808646e-05,5.9677859620023226e-05,6.38738809006018e-05,6.36845320754204e-05,6.425526195654313e-05,2.5747294214672044e-05,5.269204118319495e-05,9.414166464492886e-05,9.465540397148272e-05,1.2945917290189126e-05,0.000104478753918,0.0001369202495864,5.526872705038056e-05,3.564344217237249e-05,3.59952888648724e-05
BierwischHedwig+BierwischWilhelm,0.0001949133567727,0.0001485547894668,0.0001998534227351,0.0001296376835448,0.0002075763816294,0.0001984719137715,0.0001832325794227,0.000137582637758,0.0001617672103316,0.0106262952936765,0.0003329727281247,0.0002597537799879,0.0001720383509801,0.0001533797023065,0.0001917151600191,0.7112808875002857,0.0002518337134488,0.0001771511674091,0.0001618964801576,0.0002600951778882,0.0001535333325496,0.0002675435839544,0.1917261850539646,0.0001920330676767,0.0001656258940137,0.0001143489920054,0.0001430121487432,0.0320708300285872,0.0001526137470714,0.000153981445363,6.170087019556624e-05,0.0001262713186976,0.0481022450722278,0.0002268324098469,3.102362351649813e-05,0.0002503731063911,0.0003281159750783,0.0001324460941478,8.54160200471667e-05,8.625918620364402e-05
BierwischManfred,0.010797697077835055,0.011574958371208909,0.01897460157666698,0.0024044581023901436,0.005682986762854421,0.01146029077999637,0.002747187844954842,0.005011675600631905,0.011493403140950986,0.06262974185029667,0.009337474439341784,0.0243061661186788,0.0013484194246716045,0.006957960237882972,0.028748341276075177,0.6276372318421178,0.0024793076157561367,0.006345171872251899,0.0004795605785218189,0.003217515864472896,0.009893394720684599,0.015953932799016392,0.003349149420549047,0.00572201869797308,0.008463749945741299,0.005429811982462177,0.0038477590822041693,0.010207550314026675,0.010023445803873876,0.007598848974085103,0.0005810196863521763,0.009723460921506517,0.00246472210361474,0.01013425420506611,0.003280587392583344,0.01855088519369223,0.011268293450013001,0.00577898895626887,0.001871790314707342,0.002222185658020652
BierwischManfred+BaumgärtnerKlaus,0.0001680962980956,0.00012811595155514999,0.0001723566875034,0.0001118015463814,0.0001790170868828,0.0001711652527736,0.0001580226147733,0.013976547967826599,0.037727825706569455,0.0022826884606226,0.00028716083849425,0.00022401568345694999,0.00014836853876545002,0.0382414870982525,0.00016533812367515,0.7061080700065738,0.00021718529539145002,0.0001527779108515,0.00013962203227020002,0.0002243101102944,0.0001324095242276,0.00023073373106195002,0.0001893949798836,0.0001656122921635,0.0001428383365484,9.86163419754729e-05,0.0001233358923394,0.00013200778560455,0.0855596054562841,0.00013279598365915,0.013911106356069448,0.0001088983411921,0.00019456204175605002,0.09027193848801096,2.6755253477667486e-05,0.00021592564524004998,0.0002829722994358,0.00011422356318785,0.0069079032185312755,7.439125833990661e-05
