sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
BaumgärtnerKlaus,0.020703450266004945,0.0007880517007165297,0.011565529035363939,0.0034253751005775186,0.00256368166804753,0.002967026243501914,0.01324660801501249,0.0015700900523458832,0.0025132479515241326,0.08859785698503944,0.0017104181140675289,0.0013363870294831538,0.02481733247432215,0.004076562393129564,0.008222652366906636,0.5968888488471512,0.04028020422190406,0.012237645240480368,0.03780865192980152,0.017917234623155864,0.010921837361593887,0.012015473612123616,0.0016067123945048192,0.004620400352626675,0.001339400116429223,0.0024172806225103423,0.0136961035946874,0.009886812340828983,0.002004254061770882,0.00362698245519263,0.0023360977584145305,0.003986031092130006,0.007145362169253643,0.0146292799538745,0.0003160086003633042,0.004415617199654756,0.008951516132151059,0.00035728494408488593,0.00014357415487674464,0.0023471168243902217
BaumgärtnerKlaus+BaumannSabine,0.0004294163435617333,0.00032728313527436386,0.019925095446553867,0.00028560659452676163,0.0004573144308064833,0.0004372562502776833,0.0004036822595428666,0.0003031102343208419,0.00035639160455173334,0.026939102649302913,0.0007335768763341166,0.0005722671872038834,0.054932855236103105,0.0058344598277290756,0.045768391496877336,0.5460757621291469,0.07747549334857819,0.023810749862979153,0.00035667640071425,0.00481152141606385,0.006833183291383399,0.0038368949424096833,0.0004838256444189833,0.00042307073835298335,0.04154545672506713,0.00025192386427474854,0.00031507206594277875,0.0003372251575923469,0.0003362254815665239,0.00033923867680988494,0.00013593405045530445,0.0002781901090293255,0.034405042068026796,0.03897556567227228,0.009810746366330296,0.0005516004939469166,0.0120882592161315,0.000291793843222021,0.00018818122891915253,0.038336557633397106
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0003739462899921,0.0002850061858329,0.0003834239336464,0.0002487132313938,0.0003982406289931,0.0003807734731542,0.0003515364181056,0.0002639558304716,0.000310354555211,0.0203868209302091,0.0006388167461299,0.0004983443102424,0.0003300600028165,0.0002942629052585,0.0003678104672324,0.6604076242874247,0.0004831494588077,0.0003398690726857,0.0003106025626983,0.0004989992908981,0.0002945576488327,0.3066885324170607,0.0004213272444007,0.0003684203812531,0.0003177575391371,0.0002193814833051,0.0002743724869953,0.0002936639428479,0.0002927934004322,0.0002954173647949,0.0001183747070028,0.0002422547738196,0.0004328218676569,0.0004351838145764,5.951961993879871e-05,0.0004803472465868,0.0006294989404486,0.0002541012393948,0.0001638728321721,0.0001654904681376
BaumgärtnerKlaus+BaumgärtnerSabine,0.025187452007898518,0.0043600354651256255,0.000261558556187061,0.0003485381614608166,0.0008092023453381912,0.021498467141134604,0.03155897838836331,0.004454913184873917,0.013037425244069848,0.08222656349955886,0.0037857620203703714,0.0025358077652939057,0.04074482871071251,0.003688935599836938,0.016918176962900936,0.5469148506036889,0.03003351435305716,0.008436661097377682,0.03477251257878982,0.00518373749674103,0.03458591310606277,0.020260241109805704,0.0008231744375728522,0.002229559478127527,0.008490173209123368,0.011649808233943943,0.0012709086913253744,0.001631628311217019,0.004486027271805683,0.00782028801824757,8.075113402098542e-05,0.003079659728214249,0.0026819558371423483,0.0016524435619166744,4.060222769074764e-05,0.0076283630565681425,0.011789586561000756,0.0016945364542627797,0.0008198335387337336,0.0005266248504362318
BaumgärtnerKlaus+BierwischManfred,0.000527328464919,0.0004019076495473,0.0005406935695157,0.0003507283533117,0.0005615876535632,0.0005369559652124,0.0004957266984161,0.0003722230347357,0.0004376532019706,0.0071609346277429,0.0009008412788596,0.0007027510291032,0.0004654412659639,0.0004149612130551,0.0005186759014801,0.5858803999910422,0.3245010645694406,0.0004792737384201,0.0004380029351036,0.0007036746642694,0.0004153768520939,0.0007238259591934,0.0005941437446086,0.0005195359849544,0.0004480926801899,0.0003093655530728,0.0003869123086802,0.0004141165732312,0.0651768371368551,0.0004165891991896,0.0001669286584722,0.0003416208193972,0.0006103531367024,0.0006136838873386,8.39328819535931e-05,0.0006773720797606,0.0008877015732445,0.0003583263695621,0.0002310888257057,0.0002333699701194
BaumgärtnerSabine,0.0001290232311424,9.83360979260599e-05,0.0001322933162873,8.581388718416268e-05,0.0001374055421862,0.0001313788240571,0.0001212911205221,9.10730632654764e-05,0.0001070820826005,0.007034094412847,0.0002204118690289,0.0001719444606077,0.0001138810817863,0.0001015299572637,0.0001269061793107,0.6081657196570988,0.0001667017589649,0.0001172655193991,0.0001071676529838,0.0001721704495339,0.0001016316530668,0.0001771009347167,0.0001453711506058,0.0001271166188305,0.0001096363448885,0.3803800121143126,9.466713738348692e-05,0.0001013232963939,0.0001010229318808,0.000101928282113,4.084299695385872e-05,8.358551619422046e-05,0.00014933715715,0.0001501521031235,2.053614084802721e-05,0.0001657349076155,0.0002171969330118,8.767291940432331e-05,5.654128111223713e-05,5.70994163970629e-05
BierwischHedwig,0.0002765667235736,0.0002107875626087,0.0002835762886444,0.0001839456771116,0.0002945345599145,0.0002816160360789,0.0002599926191922,0.0001952189422797,0.0002295349486758,0.0037556785940308,0.0004724621133287,0.0003685701844995,0.0002441088894439,0.000217633734455,0.0002720287339144,0.9526406446128578,0.0003573322329836,0.0002513635738402,0.0002297183723921,0.0003690546012695,0.0002178517236872,0.0343462193530519,0.0003116091766512,0.0002724798198775,0.0002350101173402,0.0001622522262533,0.0002029229913435,0.000217190748187,0.0002165469042178,0.0002184875605259,8.754868211278029e-05,0.0001791690701538,0.0003201104785166,0.0003218573494932,4.402008180149856e-05,0.0003552597464436,0.0004655707627333,0.0001879305908795,0.0001211986145859,0.000122395001048
BierwischManfred,0.007734900080140287,0.0033129436509404223,0.006173019249615094,0.009333426727121312,0.0074485458763386084,0.007559469213942557,0.001693825892807675,0.0010936846559218962,0.008127786564846985,0.17709052651058954,0.0030461593169310605,0.0158679571354529,0.0035413412012122425,0.004852703018954578,0.00410561172558924,0.523955967578078,0.003193072356877517,0.004517021963934511,0.004041627607638879,0.02393868236143331,0.0025742042317744226,0.013505638739827555,0.0016907751189503863,0.003335376147973459,0.017045087361065855,0.002469792616375638,0.002833674804426487,0.00907556172511352,0.011566882272395159,0.0120023319967761,0.006135285718619416,0.006792088901515428,0.018065833610020687,0.006436074131522728,0.0018556719398030222,0.011456321658292615,0.040286459280363965,0.003378955290587564,0.003045829835538717,0.0058198819306892954
BierwischManfred+BaumgärtnerKlaus,0.00032672882586153333,0.00024901901410073334,0.041873041188003134,0.00021730869979013333,0.0153893717142804,0.0003326939540048,0.00030714860451653333,0.00023062664579746666,0.0002711666946261667,0.10312353233328524,0.0005581546093374666,0.0030952328960376333,0.00028838397403643334,0.0002571069057316667,0.0003213677613995,0.5571584647300586,0.00042214312487286665,0.00029695447190453334,0.0545903475800149,0.0004359916297721,0.00025736443261326666,0.021726985573810833,0.011007381255344034,0.00032190066277383334,0.025839500421039902,0.0001916806139661,0.00023972801154563332,0.0002565835731291333,0.00025582295239580003,0.0002581155939282333,0.00010342776507173098,0.00021166573897850002,0.0379817106696924,0.06155594551578506,5.200419434229619e-05,0.0004196947424895,0.05906591130827684,0.0002220163745953,0.0001431809312704889,0.000144594311517348
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0004759540282211,0.000362752207591,0.0004880170511633,0.0003165590019793,0.0394764666995252,0.0004846435791389,0.0004474310315187,0.0003359595860359,0.0003950152861059,0.0064632878910215,0.0008130777380411,0.0006342862283938,0.0004200961263675,0.0003745340410164,0.0004681444319312,0.6457103743135316,0.0006149464169232,0.0004325809843333,0.0003953309468459,0.000635119879348,0.0003749091868467,0.0785924902531541,0.0005362598975807,0.0004689207226521,0.0004044377088302,0.0002792259302756,0.0003492177724806,0.000373771689364,0.0003726636741742,0.0003760034222658,0.0001506658045429,0.1951562945057295,0.0005508901062178,0.0200386919364259,7.575580671935086e-05,0.0006113797972504,0.0008012181548151,0.0003234167892626,0.0002085752330635,0.0002106341393144
