year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.01970379639284079,0.0005719173305041273,0.0004560754749906387,0.0002958396573360184,0.0004736996522394061,0.0004529228026562955,0.04491549113924523,0.00031397043897076724,0.03862129050767264,0.037915963804941805,0.006564655339119219,0.0005927710767587865,0.0003926000944395023,0.008389881436069196,0.08665137591691308,0.6207107725723798,0.03476270910234368,0.006209062768601375,0.0003694558395683592,0.0012922738466390636,0.0032527682058341926,0.0069293786507711235,0.0005011607420775835,0.0018738911039111771,0.019041573445861566,0.006680614899204454,0.00032636085374397947,0.007589764714716203,0.0003482721798461862,0.017700076142506217,0.00014080446207353697,0.0029368641422243447,0.001296362563164646,0.0005176428687005318,7.079745564311928e-05,0.00924570531539217,0.009362749428793546,0.0010837777757464744,0.0001949236164268572,0.0012499862391306261
1955,0.003547207593718815,0.0003650070623698571,0.0008193244565931023,0.0002079677275008151,0.0003329987638616635,0.01295697016872499,0.00029394588135694965,0.00022071320418351462,0.00025951064688055884,0.12177834151352478,0.003818139533215108,0.0019292119484318276,0.00345486441265329,0.0066609012446945835,0.0012893160822619206,0.5612368844691542,0.040289638439544355,0.0002841899415570111,0.004760331398272197,0.16424255760945805,0.0034303272601351365,0.00042919951699985645,0.0003523032090458241,0.0016870829874782284,0.0002657008352159701,0.007180592302606571,0.000999497324497954,0.00024555437803103967,0.00024482645243231114,0.01123011481894061,9.898194266142393e-05,0.0017150763408161442,0.006902831898998204,0.00036388972333879636,4.976880414047369e-05,0.00040165424542994713,0.001646388543063025,0.01295937402462267,0.00552754415177292,0.015521269141813787
1956,0.00034027746172678,0.00025934521637771996,0.00034890177118558,0.00022631995380496,0.009027701598263698,0.00034648994897250004,0.000319885297057,0.00024019016207584002,0.0564779939541468,0.044347942130907606,0.0005812998997429999,0.00045347511526018004,0.000300342543787,0.0627252941180194,0.00033469408718836,0.6416768778189684,0.00043964835560004,0.00030926843899264,0.0075130247071495595,0.06711208825312161,0.00026803669874391996,0.00046707446404228,0.00038339239917068005,0.00033524908666396,0.01587698421094912,0.00019962913468264638,0.02194083210791028,0.019764187104144258,0.03443762689588338,0.0002688190088597,0.00010771665854055852,0.00022044299337290003,0.00039385208637652,0.0076263890947698195,5.416067958889623e-05,0.00043709844485812,0.00057282103699998,0.00023122284423441998,0.0028828139380641,0.00015059027979400934
1957,0.001368346206232415,0.008412481538848859,0.007668295496013531,0.0033006957512116265,0.011897398596393802,0.014740845852237207,0.012026661022087368,0.002333596060947128,0.00048750745975435956,0.08584758801261418,0.000942026201807339,0.0008917672018081926,0.002965657552261769,0.0011611949684599025,0.032348170645552815,0.5737814726560805,0.0007830903881442167,0.0008264128330715098,0.015495629093875387,0.030395927493333228,0.006981528727211684,0.018483094289473593,0.003228080768310186,0.0007687640355786102,0.09570966027009863,0.0007560535373867749,0.0015269351650177966,0.00804149558219807,0.00766814092867295,0.004720971066992339,0.0008653137109683124,0.002845421787466111,0.012393223204573233,0.0035100894190085302,4.242890296853298e-05,0.005640485850747761,0.007183724120343672,0.0001811375281218268,0.003964500986010221,0.007814185088114357
1958,0.031137754773281755,0.003115749470299878,0.004366014397499755,0.0007689560488954807,0.008836777796966124,0.0009593657066743843,0.0016847270598880724,0.0058410457214741396,0.00023890514470002532,0.1181432600208548,0.0016329947681088957,0.0007219361710274822,0.019390644184279705,0.001114023889772351,0.004523296278785195,0.5871331027856642,0.06088659485848939,0.016576123005222956,0.002030356802850857,0.017249730641067215,0.0013117639913264023,0.023976630910869753,0.002854951213244868,0.003194787832934259,0.0005462274034280186,0.00042997983141326016,0.0164072829260966,0.0007199375166809358,0.004041337274111089,0.01623732854258086,9.112264031733675e-05,0.00018648320387726626,0.020914815462173452,0.005173617044204947,0.0016857129755435186,0.0012524945189877645,0.00969586679310113,0.0005128832872768717,0.0005533274261848546,0.003862089679842567
1959,0.012507892193281677,0.00026605468717577705,0.0051232593385177275,0.017399859974337763,0.0022137652063916177,0.01254070990800584,0.01724111312519078,0.006306983838860358,0.01669126206408299,0.10055099824696159,0.008218277603993384,0.001603839309762176,0.054223058790687444,0.003106693113029923,0.023321789882402376,0.5585127086079489,0.003941988830681376,0.005799490936526854,0.013997155781520026,0.004763636994779843,0.00027497102523024296,0.039051543777565555,0.0028852852241446425,0.008070851138004055,0.011859806113226649,0.007456905059116196,0.012782068088811993,0.001146215591066998,0.0051616582957712655,0.0012706645013436607,0.006941379499024974,0.007110131282038934,0.0016081223029072,0.0028865397329028075,5.556186023598711e-05,0.0016524874797090754,0.0031452461944797287,0.008671978513055184,0.0018320578458893338,0.007805988041335524
1960,0.018986569525210772,0.000529002807548088,0.01722495372378266,0.004482932205218862,0.0033911714813030865,0.0011164093923436303,0.017208369737022108,0.0003798832802809559,0.0005268295038078883,0.06807491720168264,0.002404896249986284,0.0006162203046317368,0.03702372921192547,0.01248317156582437,0.006121269169421214,0.5644516262244818,0.06059467047391966,0.007801916736224225,0.010398949293398746,0.030440029151442508,0.052783137713133726,0.016329061755827063,0.007451678984674431,0.001485495321085006,0.0012098160514236373,0.001877805731687105,0.0009646298136017942,0.00021880258508874767,0.00021815396296262642,0.002108481030714091,8.819840682575575e-05,0.016495142326647484,0.010489908762990361,0.007615665052876411,4.4346767872875946e-05,0.002655283478312514,0.008187878395480307,0.0011571331596206972,0.0042385601290975145,0.00012330333061970578
1961,0.0016915433717438456,0.001059327193005193,0.001737629937985971,0.0006558523766966585,0.0019336463797927487,0.001422341317243106,0.03283268055532099,0.0026065460140286367,0.006596524878063628,0.05585232785796171,0.0010365888381919386,0.0011979122974742613,0.02466270387363677,0.017478398334760527,0.013437116383591971,0.6198741358895232,0.0003984852366645906,0.01124747856476806,0.00042505916803710846,0.0035247437074019342,0.0002220126757906446,0.0032231649228819715,0.002031227848464766,0.019088860070313816,0.008646020688503366,0.015162500055845955,0.022954265324366094,0.0002934392017596244,0.0001258315438849416,0.01492514687427675,0.0009747326157189636,0.0019894722957213558,0.008122028665764515,0.08762124040587968,2.5579284428163456e-05,0.003936042904385152,0.007968470509447255,0.0028773740311673706,7.042635333509634e-05,7.112155217043986e-05
1962,0.006252287810778421,0.017187362434288457,0.015237352580848596,0.0018613567370253604,0.004434259961952754,0.0011761731167186018,0.00042399104575601115,0.0017239266158337008,0.00022570703256792995,0.10848016544339419,0.0014659542315813491,0.00415768165270649,0.00059949413700297,0.005712346924156829,0.0016130745817295783,0.677405094967129,0.006669230301742115,0.00047959135923394416,0.014388159585135786,0.000781036941886608,0.03306188654649424,0.0025590290062313566,0.0022164893584644516,0.005407056117267128,0.000231090892756387,0.002785058781895154,0.0009008449262143168,0.00021356869425461007,0.006298932729686125,0.005416055694828418,0.0015086398955456988,0.007086557062810757,0.0090391965948389,0.01015474442806226,0.008637557189271866,0.002995865081588835,0.017197239577316406,0.01347532000789268,0.00011917740547719643,0.0004214425476330903
1963,0.0008423967588991723,0.010663016044726003,0.009770177969901461,0.009159409917665947,0.011630377408145879,0.0008814235956167084,0.0006897048931597799,0.001657359783976999,0.053123620258469485,0.10004854530188087,0.0003956113411093345,0.007938981926276652,0.0004224424866827978,0.01001605649034452,0.0014037861694170557,0.5782842439140539,0.0002992085077811787,0.0018813806322518067,0.012002411247174242,0.003990027358656231,0.004122050990387606,0.01639641995031457,0.0015785249142355059,0.00022815820343239886,0.0006108857987216786,0.0013727779373900034,0.0001699155011218499,0.0001818624620743222,0.005143730599611216,0.01710769935736331,7.33079977544962e-05,0.000998897317467735,0.0007011004558899269,0.01871536402714717,3.685976738862192e-05,0.01836530026491211,0.06016168868473154,0.0002412944768202318,0.010657303736173525,0.028036675550870797
