idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
uj0002,3.908745226012465e-05,4.030082907626664e-05,2.8585436575627583e-05,5.619399950921408e-05,4.225295730962108e-05,0.4282742911366804,2.3575655831463583e-05,0.1334422059752647,2.86942805657818e-05,2.8304935567952657e-05,3.438363829153507e-05,4.507902499608118e-06,0.000122535583315,3.934117055363679e-05,2.762990492101067e-05,2.7969871379179475e-05,0.0595196214094148,6.614298499434252e-05,2.495891416917078e-05,0.00521668389068,3.212865576153381e-05,6.333285773085921e-05,2.835958872277e-05,3.793848099298733e-05,1.9263633527308723e-05,2.901900075731578e-05,3.2081393929961296e-05,6.052734898103975e-05,7.360668841170636e-05,3.636709178811672e-05,4.001184475597313e-05,4.894663396997872e-05,4.593151825527026e-05,4.304122121205925e-05,0.0001001263877708,0.0594690664513146,0.0078032691920059,3.08734621767217e-05,3.559124464625313e-05,5.7981189460943895e-05,4.010034987678042e-05,0.124075545149764,4.768088942251064e-05,6.0402893125551735e-05,4.178602059743118e-05,2.560139530509259e-05,5.271351248812375e-05,4.155302327840137e-05,3.334158847380951e-05,2.9319100421108896e-05,3.1653430798504905e-05,2.1029266553841748e-05,2.255153792228877e-05,4.793379275681524e-05,5.792741504376891e-05,5.106145585688304e-05,6.553113221878305e-05,1.6228590053918636e-05,5.789769964578308e-06,0.1800575178710459
uj0003,7.451694350011356e-05,7.68301444488753e-05,5.449573300547799e-05,0.0001071291384919,0.0050067255025016,0.3238515723239967,4.494500695210295e-05,0.0080876640356138,5.4703234927339566e-05,5.396098140280163e-05,6.554951739621235e-05,8.593937349301353e-06,0.0002336037938179,7.500063610859488e-05,5.267409219231358e-05,5.3322209679908e-05,0.0001671600561586,0.0001260960433786,4.758207274782231e-05,9.282193844613335e-05,6.125058267251665e-05,0.0001207387718653,5.406517305035451e-05,7.23265263190002e-05,3.672449873704763e-05,5.532228668862739e-05,6.1160481961691e-05,0.0001153903051602,0.0001403249668232,6.933080483229979e-05,7.627922012348259e-05,9.331264503474733e-05,8.756458026286038e-05,8.205447180057984e-05,0.0001908825453942,7.078127630543941e-05,9.775569390850656e-05,5.8857661567843695e-05,6.785171744511921e-05,0.0050367100555693,7.644794769986124e-05,8.325976325641834e-05,9.089960940629128e-05,0.0001151530405288,7.96615372941534e-05,4.880690905044864e-05,0.0001004938824262,7.921734748249011e-05,6.356293697457215e-05,5.5894401482460806e-05,6.0344606210193104e-05,4.009052974885439e-05,4.2992612207427146e-05,9.138174836351852e-05,0.0001104337495623,0.2808892503824098,0.0001249295974715,3.093844336761854e-05,1.1037709965283894e-05,0.3728215716374528
uj0006,4.975944997612938e-05,5.130411353166651e-05,3.6390082215254206e-05,7.153657621195032e-05,5.3789228870679925e-05,0.2886242573056409,3.001248736277738e-05,0.2290868142689206,3.652864374255042e-05,3.6032996371777697e-05,4.377135962147025e-05,5.738689424773561e-06,0.0034454941720683,5.008244065482668e-05,3.517366295998789e-05,3.560645003079092e-05,0.000111622834509,8.420192063670121e-05,3.1773414977121346e-05,6.198279727872487e-05,4.090070205975672e-05,8.062454787617201e-05,3.610257140841793e-05,4.8296776535285706e-05,2.4523159055789283e-05,3.6942021877798136e-05,4.084053639001026e-05,7.705305461625828e-05,9.370342957008996e-05,4.629635292076027e-05,5.093622818744316e-05,6.231047161428126e-05,0.1053225634458816,0.1776879467856493,0.000127463768946,4.7264920058908977e-05,6.527736287136812e-05,3.930280455602165e-05,4.530867721379002e-05,7.381172037865425e-05,5.104889774958635e-05,5.559755714854045e-05,6.069914243188406e-05,7.68946187357568e-05,5.3194805017787e-05,3.25913119260131e-05,6.710581621598123e-05,5.289819273506056e-05,4.2444800258309945e-05,3.732405737371611e-05,4.029572702536778e-05,2.6770860637240263e-05,2.8708755834508165e-05,6.102109564409083e-05,7.374326400028486e-05,6.500270064956153e-05,8.342301447071231e-05,2.065946149667264e-05,7.370543544472294e-06,0.1930338631444306
uj0007,5.402458675036079e-05,5.5701651313901366e-05,3.950926214887569e-05,7.766834177709556e-05,5.839977858985776e-05,0.3990788284602165,3.258501104618917e-05,0.3630098305308621,3.9659700492853936e-05,3.9121568652716136e-05,4.752322656672788e-05,6.230581825377594e-06,0.0001693621320406,5.437526261091011e-05,3.8188577382213886e-05,3.865846084479736e-05,0.0108355794636763,0.0036628822527793,3.449687676632613e-05,6.729565962286334e-05,4.440651027368666e-05,8.753528994059205e-05,3.919710732133953e-05,5.243654009328931e-05,2.6625164354468206e-05,4.010851138081805e-05,4.434118749688407e-05,8.365766573973976e-05,0.0001017352294296,0.1071941533052042,5.530223263659051e-05,0.0143535032413014,6.348408885910117e-05,5.948927481222714e-05,0.00013838934004,5.131623792458209e-05,7.087261927072707e-05,4.267164880817343e-05,4.919231550699908e-05,8.013850017841707e-05,5.542455968275059e-05,6.036310792664247e-05,6.590197615843718e-05,8.348564951016672e-05,5.775440363047812e-05,3.538487984291671e-05,7.285779869659344e-05,5.743236719303631e-05,4.6082961020606745e-05,4.052329309164562e-05,4.37496797371187e-05,2.906552792629777e-05,3.1169530025358976e-05,6.625152562594065e-05,8.006417605398229e-05,7.057441434611165e-05,9.057362740970104e-05,2.2430289530494296e-05,8.002310501958427e-06,0.0988644305255508
uj0008,8.546310190758245e-05,8.81161002611239e-05,6.250087784892134e-05,0.0001228658617781,9.238434811298088e-05,0.4844197854183416,5.154719891830672e-05,0.0149255041340124,6.273886074329554e-05,6.188757396703704e-05,7.517840670983515e-05,9.856342852677543e-06,0.0002679189980065,8.601784648980651e-05,6.041164730427018e-05,6.115496994055468e-05,0.0001917150146441,0.034043440262298,5.45716362106954e-05,0.000106457007119,7.024798043188819e-05,0.0001384746807832,6.200707083546021e-05,8.295092363004313e-05,4.211914003241964e-05,6.344884804653119e-05,0.3334085546271398,0.0001323405516362,0.0001609379877446,7.951514595748976e-05,8.748424796615782e-05,0.0170564304730884,0.0001004273698704,9.410785461772354e-05,0.0002189222163867,8.117868428180098e-05,0.0001121155060598,6.75035514387001e-05,7.781878818751973e-05,0.0001267734788813,8.767776076173626e-05,9.549019723244053e-05,0.0001042522977614,0.0001320684340424,9.136341025413284e-05,5.597639471036871e-05,0.0001152559204856,9.085397122782025e-05,7.290000777064644e-05,6.410500358152232e-05,6.920892065449259e-05,4.597962380797446e-05,4.93080073574263e-05,0.000104805260469,0.0001266559033365,0.000111643766813,0.0001432811172665,3.5483142681298016e-05,1.265909318446426e-05,0.1111981570321174
uj0009,0.0221704889908369,0.0001146810393842,8.134342773796397e-05,0.0001599070395965,0.0001202360639319,0.3731029554907676,6.708747132226243e-05,0.203252366888757,8.165315689757981e-05,8.054522710919745e-05,9.784293443747656e-05,1.2827799227642532e-05,0.000348690296905,0.0515835586667545,7.862434314770311e-05,7.959176013817734e-05,0.0223087733651236,0.0001882181196017,7.102370557702126e-05,0.0001385512998188,9.142610018713236e-05,0.0001802215517205,8.070074948289898e-05,0.0001079586830509,5.4817073640053535e-05,8.257718873334414e-05,9.129161074629028e-05,0.0001722381263964,0.1178588477746562,0.0001034870989316,0.0001138586984305,0.0001392837563568,0.0001307038682515,0.0001224791672554,0.0002849221339248,0.0001056521550737,0.0001459157035766,8.785429017145558e-05,0.0001012793290502,0.0001649927116767,0.0001141105507987,0.0001242782537716,0.0001356819222599,0.0001718839717253,0.0001189073372355,7.28519658421599e-05,0.0001500028793524,0.0001182443142821,9.487765161511138e-05,0.0368488657708405,9.007378823845364e-05,5.984140279890944e-05,6.417321598389395e-05,0.1398450531122778,0.0001648396898607,0.0001453017460027,0.000186477016159,4.6180478610059125e-05,1.6475513098675497e-05,0.0270724045608587
uj0013,5.644362242909785e-05,5.819578019110187e-05,4.127835138264142e-05,8.114606370276829e-05,6.101472035131912e-05,0.2938126425635684,3.404405606724612e-05,0.1106047468298776,4.143552583962716e-05,4.0873298301595854e-05,4.965115363750463e-05,6.509565907283198e-06,0.0001769455873648,5.6810000351789e-05,3.989853088236111e-05,4.03894541145978e-05,0.000126617097426,9.551274016297958e-05,3.604152857622047e-05,7.030892842219874e-05,4.639488147986779e-05,9.145481995927325e-05,4.095221933268634e-05,5.478446849006406e-05,2.7817347884224992e-05,4.19044329396365e-05,4.632663377319114e-05,8.740356904779122e-05,0.0001062905840298,5.2515328552812135e-05,0.2537916739256416,7.068061915601359e-05,6.632668859414225e-05,6.215300047731999e-05,0.0001445859399818,5.361400303311936e-05,7.404605205335344e-05,4.458233886887658e-05,5.1394978655187376e-05,8.372682732412676e-05,5.790628134719201e-05,6.306596084116345e-05,6.885284059286942e-05,8.722385052151054e-05,6.034044771503328e-05,3.696929338453936e-05,7.612012100431798e-05,6.000399159057703e-05,4.814639794064857e-05,4.23377871526845e-05,4.570864032494223e-05,3.0366982565829528e-05,3.256519466170728e-05,6.92180416864979e-05,8.36491752203475e-05,7.373449453512072e-05,9.46292037580984e-05,2.3434640954955784e-05,8.360626516591161e-06,0.3383682319698531
uj0014,7.67865261347497e-05,7.917018086834397e-05,0.040665848264924,0.0001103919995402,8.300509813568843e-05,0.3286389953656605,4.631390914401772e-05,0.0743247429028402,5.63693460990803e-05,5.560448555886698e-05,6.75459767167828e-05,8.855685215692245e-06,0.2185178172087375,7.728495069938957e-05,5.427840121680701e-05,5.494625859342472e-05,0.0001722512950479,0.0001299365845616,4.9031292763512935e-05,9.56490412460528e-05,6.311610817940594e-05,0.1016486479969077,5.571185059951481e-05,7.452939482711214e-05,3.784302669437312e-05,5.700725248673048e-05,6.302326324694354e-05,0.0001189047787885,0.0001445988821631,7.144243184357805e-05,7.860247689226808e-05,9.615469341750884e-05,0.0356237127063901,8.455362696644563e-05,0.0052729078991188,0.0102253602658895,0.0001007330654284,6.065030523162288e-05,6.991829549314995e-05,0.0001139028988187,7.877634344992194e-05,8.579562830904756e-05,9.366816331246986e-05,0.0001186602877243,8.208781020872826e-05,5.029343423556974e-05,0.0254846126146224,8.163009158823735e-05,6.5498890479747e-05,5.759679233505638e-05,6.218253814775845e-05,4.131157782003871e-05,4.430204978632455e-05,9.41649869058806e-05,0.0001137972600407,0.0001003092191463,0.0001287346118971,3.1880743876894185e-05,1.1373888472972158e-05,0.1557471770745516
uj0015,0.0001575746190183,0.0001624661475901,0.0001152374743664,0.0523113327071474,0.0001703358306945,0.3098107430465883,9.504136931277496e-05,0.0379362110495573,0.0001156762609665,0.0001141066808032,0.0001386119685723,1.8172865660833622e-05,0.0004939820003759,0.0001585974424853,0.0001113854060496,0.0001127559247718,0.0003534791005516,0.0002666445382998,0.0001006177472285,0.0001962826291602,0.0001295213783058,0.0002553159735729,0.0001143270059856,0.0001529427307981,7.765816236303797e-05,0.0001169853168785,0.0001293308500244,0.0002440060276224,0.0107136924006928,0.0001466079343104,0.0001613011549508,0.0001973202844923,0.000185165342623,0.0001735135866476,0.0004036430233844,0.0001496751225101,0.0002067156206491,0.0001244612723259,0.0001434802344803,0.0002337416053299,0.0001616579487525,0.0314269398316561,0.0626939726801677,0.0002435043043614,0.0001684534523282,0.0001032078039952,0.0002125058341524,0.0835031875435488,0.0001344111165461,0.0001181951191924,0.0001276055872228,8.477602079061157e-05,9.091280681926372e-05,0.0001932371821394,0.0002335248226334,0.0002058458402359,0.0002641779547179,6.542288502030426e-05,2.334050299059436e-05,0.4029464609255788
uj0016,9.223772743736408e-05,9.510102789760656e-05,6.745529716273163e-05,0.0001326053889583,9.970761803074296e-05,0.3947686606714305,5.56333245325902e-05,0.0587922712292698,6.771214486491052e-05,6.679337693013003e-05,8.11377686100796e-05,1.0637651165032465e-05,0.0063868180312025,9.28364463983008e-05,6.520045415762126e-05,6.60026996787091e-05,0.0002069121863318,0.0001560827904873,5.88975077461648e-05,0.0001148958110257,7.581650943477997e-05,0.0001494515127343,6.692234626699257e-05,0.1281404116635968,4.5457907231211897e-05,6.847841257457844e-05,7.570498198321406e-05,0.0001428311336503,0.0001736954769551,8.581827942426285e-05,9.441908892671856e-05,0.0001155032119528,0.0001083882068705,0.0001015677461991,0.0002362760919548,8.761368575886272e-05,0.0001210028568894,7.285453066505757e-05,8.398745205981789e-05,0.0001368227612892,9.462794140335235e-05,0.000103059666554,0.0001125163352488,0.0001425374454048,9.860575084065728e-05,6.041362088406966e-05,0.0001243922106968,9.805592878872908e-05,7.867876190829006e-05,6.918658129350088e-05,7.469508380899139e-05,4.962440999460388e-05,5.32166331621333e-05,0.0001131131310866,0.0001366958655785,0.0732924281538023,0.0001546389534941,3.8295877053443216e-05,1.3662574382281012e-05,0.333430932064877
