receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
BaumannSabine,0.0001210165190204,0.00012477318849,0.5280998885162497,0.0001739791625503,0.0001308170657402,0.389936378591409,7.299129611624622e-05,0.0691356829113534,8.88387896647372e-05,8.763335995236419e-05,0.0001064532983528,1.3956669904085371e-05,0.0003793757047721,0.0001218020423257,8.554343455683278e-05,8.65959860784186e-05,0.0002714701806784,0.0002047816713243,7.727392645555179e-05,0.0001507440771435,9.94717705107196e-05,0.0001960813902937,8.780256859009955e-05,0.0001174592520418,5.964108015142117e-05,8.984413805566295e-05,9.932544574385136e-05,0.0001873954083903,0.0002278896344773,0.0001125941600339,0.0001238784799718,0.0001515409912469,0.0001422060567055,0.0001332575664131,0.0003099958224312,0.0001149497452253,0.0001587565624081,9.558563443513432e-05,0.000110192102213,0.0001795123834251,0.0001241524958264,0.000135214975957,0.000147622188914,0.000187010087436,0.0001293714085729,7.92630770936683e-05,0.0001632034174087,0.0001286500383412,0.0001032270650146,9.077326017981084e-05,9.80004525441593e-05,6.5107559811355e-05,6.982058077747004e-05,0.0001484051890687,0.0001793458953988,0.0001580885754025,0.0002028873474743,5.0244448368383154e-05,1.7925389518347426e-05,0.005454309961988
BaumgärtnerKlaus,0.0063034975159183375,0.009623594463429459,0.000956953773554529,0.0008157811709135525,0.0007415482096880764,0.40709733719753377,0.0004891793500954067,0.24951873888073195,0.00043689116917371796,0.0014234722312834924,0.00018308525657860725,2.4003582133292126e-05,0.003555619347452116,0.002753631891235085,0.000770357433007084,0.0001489333686711215,0.001817759188599368,0.012150611033248352,0.0014441574748037956,0.0032531624848255104,0.00017107797417338514,0.006385220780744625,0.0004540497221645534,0.0035804539194309896,0.00010257458088290678,0.003613220458258662,0.0006246483528643075,0.0007096973519133226,0.005544299957010752,0.002779489291806386,0.0031912089540927415,0.00026062998229187763,0.019476910034496617,0.00238773233235661,0.017370907263370015,0.0009249864060056922,0.010884995197483751,0.00016439434640884334,0.022231155605742733,0.0021081232788987196,0.0029363406861949073,0.0002325514469669683,0.006737649839714579,0.0035559705261236497,0.0067868266281212696,0.00013632175828690995,0.008559093725274573,0.02146496402270563,0.0036618905832499914,0.0002845213629633896,0.00333989426930775,0.0006663363586093007,0.0003783503618997227,0.005089203491316501,0.006733320048985023,0.00334724549475432,0.002914472689760905,8.641364676821344e-05,3.082924240036352e-05,0.11658371300331959
BaumgärtnerKlaus+BaumgärtnerSabine,0.00995614078169609,0.0001468956821719565,0.0074372608663850715,0.005576906189505369,0.0016464507724277316,0.3221728270657739,8.593277422309964e-05,0.20981714358843706,0.0001045900547149416,0.017727342074746855,0.003926056682578557,1.643121067290235e-05,0.0008366792237894856,0.0008239815391235056,0.00010071042766980333,0.01031458651069654,0.013738180649874438,0.002701017557235603,9.097472203893836e-05,0.013230150127752905,0.00041738520211570936,0.0011353581276796131,0.00031787491356451896,0.00016589177982357221,0.011464460857731286,0.0005284553977088554,0.004615482087781725,0.008824303167843767,0.008730382842004596,0.0010466408997006804,0.006641240171411032,0.00017840946084347412,0.004771230317247411,0.009968532472896611,0.002775351971937297,0.003125846810156019,0.01569501702917794,0.00011253312627582293,0.008648295052929782,0.0003029581052991154,0.0057317767279115835,0.00024353121209664324,0.0004860604118289125,0.007121221136930052,0.002566380357672404,0.0004798118530123349,0.004340752345108566,0.007308158392209208,0.004211154533417217,0.0002835178578860014,0.006352813461093015,7.665123836923141e-05,0.007593382824994846,0.003741073370651239,0.011435294113997001,0.004897169800653409,0.0037293332856348687,0.01875710774782922,0.006506096719871112,0.19422280431318803
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0001191107066152,0.0001228082146799,8.710804497488167e-05,0.3230127374706873,0.0001287569107405,0.2578085917509006,7.184180248729942e-05,0.2019080178973499,8.743972391092013e-05,8.625327774656235e-05,0.0001047768328734,1.3736875161565537e-05,0.0003734011574107,0.0001198838592121,8.419626526058268e-05,8.523224081581938e-05,0.0002671949689786,0.0002015566946622,7.605698839758258e-05,0.0001483701042797,9.790525268536098e-05,0.0001929934288396,8.641982162477996e-05,0.0001156094607781,5.870183060653873e-05,8.842923970766369e-05,9.776123229444192e-05,0.0001844442369561,0.0002243007451593,0.0001108209860186,0.0001219275963587,0.0001491544682882,0.0001399665437104,0.0001311589775162,0.0003051138948338,0.0001131394745928,0.0001562564059956,9.408031690210904e-05,0.0001084567566829,0.0001766853567514,0.0001221972969114,0.0001330855610586,0.0001452973806878,0.0001840649841772,0.000127334020311,7.801481316388707e-05,0.0001606332302972,0.0001266240104817,0.0001016014074379,8.934372967675955e-05,9.64571055722956e-05,6.408222214533749e-05,6.872102073341701e-05,0.0001460680498697,0.0001765214906395,0.0001555989386937,0.0001996922033171,4.945318041778504e-05,1.7643093927720918e-05,0.2100971684470303
BaumgärtnerSabine,0.00025452806109135,0.000262429278247425,0.0001861414680758298,0.000365921770619975,0.000275141066443075,0.2787096307136225,0.00015351898424601038,0.4048125987775011,0.00018685023388618021,0.000184314913171661,0.00647431918433255,2.935437375602031e-05,0.055148933289397455,0.000256180213420975,0.00017991927641847877,0.00018213305599298858,0.00057096980884505,0.00043070716437000004,0.00016252642889453612,0.00031705256428557504,0.0002092140567779305,0.000412408293442425,0.005866605017708899,0.000247046237335525,0.0001254401350758278,0.00018896473344983582,0.00020890629913046242,0.00039413949716185,0.000479309000753175,0.000236813729857825,0.000260547482057725,0.000318728674317725,0.0002990949680397,0.000280274050843825,0.0655893371846697,0.0002417681157248,0.00033390482838489995,0.00020104053891059634,0.00023176160040697498,0.00037755952050935,0.00026112380605665,0.0002843909735582,0.000310486451126475,0.03448493436890374,0.011957622825113725,0.00641713133631178,0.00034325767864395,0.0002705832648582,0.00021711238203680287,0.00019091891007539156,0.00020611950644457594,0.00013693751146790273,0.00014685017544221348,0.00031213329663835,0.0003772093544753,0.03821206132684707,0.0004267229266765,0.00010567666403992217,3.7701585497110176e-05,0.0796549910646056
BaumgärtnerSabine+BaumgärtnerKlaus,0.0001488466931464918,0.0032399897558409727,0.0001088545673971175,0.00021398915810525,0.00016090107202034837,0.3379334047549234,0.0031762995794328334,0.26508127084963434,0.00010926904997571682,0.1306216596425012,0.0001309343679905556,1.7166285887049004e-05,0.000466620752047125,0.00014981286328030145,0.000105215861910755,0.00010651046875138961,0.00033390018989920003,0.0002518753211575,0.02170070191716134,0.00018541069910005,0.00464049295682495,0.00024117423612115,0.0001079945290956084,0.0001444713613265751,7.335674193970942e-05,0.0001105055983796581,0.00012216732280799026,0.0002304907385827,0.00028029742359862497,0.006311532387466799,0.00015236681938192627,0.0001863908795743,0.00017490918973172502,0.00016390281473877498,0.051948763164285,0.0016474332960977,0.0001952658159483,0.027590908772220292,0.0001355329847365683,0.002968128984553425,0.00015270385067449427,0.000166310369840375,0.000181570870099,0.00023001680535195,0.00015912295701157636,9.749121036949428e-05,0.000200735314386275,0.007423715482702601,0.0001269661976317032,0.00011164839075898994,0.00162658617384375,8.008034816404136e-05,8.587722276608442e-05,0.000182533936833225,0.000220590078739575,0.0077246869768373,0.002996879490098575,6.179916633811519e-05,2.2047692123075185e-05,0.11647991759785284
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,5.02553957795498e-05,5.181545479079299e-05,3.675277731275703e-05,7.224957172899083e-05,5.432533894304671e-05,0.1519648034336229,3.031161782271852e-05,0.0087767364011105,3.689271986432123e-05,3.639213244228931e-05,4.42076229267256e-05,5.795886177123414e-06,0.0001575460635191,5.058160566327691e-05,3.552423416896023e-05,0.0100028280034807,0.0001127353644177,8.50411499529365e-05,3.2090096367807905e-05,6.260057155495559e-05,4.1308353903842936e-05,8.142812199507884e-05,3.64624009240432e-05,4.877814406754138e-05,2.4767578112393903e-05,3.731021808432672e-05,4.124758857088809e-05,7.782103213803536e-05,9.46373591590159e-05,4.675778249756903e-05,5.144390278239438e-05,6.293151177692524e-05,0.0598602549389738,5.5338823120325166e-05,0.0100956008520461,4.773600321524336e-05,6.592797364359203e-05,3.969453036873788e-05,4.576026275851549e-05,7.45473919542564e-05,5.155769530704108e-05,0.3223181739788748,6.130412269140769e-05,7.766101714823738e-05,5.37249905468673e-05,3.2916145186538005e-05,6.777465093890086e-05,5.342542196906663e-05,4.286784192326454e-05,3.769606127709522e-05,4.069734916394835e-05,2.7037682235818253e-05,2.899489217613525e-05,6.162928476835408e-05,7.447825328029118e-05,6.565057390004177e-05,8.425448053304376e-05,2.0865371594857323e-05,7.44400476925597e-06,0.4341626059699749
BierwischHedwig+BierwischWilhelm,0.0001200560499084,0.000123782903903,8.779939345595453e-05,0.0001725983460046,0.0001297788128472,0.1328678917043134,7.241198772152724e-05,0.3304973405240436,8.813370482081975e-05,8.69378422156058e-05,0.00010560841283,1.3845900312805865e-05,0.0003763647220629,0.0001208353387683,8.486450388442846e-05,8.59087016437882e-05,0.0002693156093398,0.000203156385193,7.666062820397254e-05,0.0001495476699828,9.868229512446744e-05,0.0001945251554892,8.71057078989135e-05,0.0001165270158114,5.916772811850481e-05,8.913107408555553e-05,9.853713169011844e-05,0.2938429842985002,0.0002260809478893,0.0001117005364709,0.000122895296398,0.0001503382592357,0.0001410774130615,0.0001321999440527,0.0003075354854895,0.0001140374261418,0.000157496562734,9.482700205854762e-05,0.0001093175430088,0.0001780876514884,0.000123167137477,0.0001341418182679,0.0001464505591741,0.0001855258486389,0.0001283446293949,7.863399159450837e-05,0.0001619081244795,0.0001276289844464,0.0001024077850661,9.005282206682782e-05,9.722265453445314e-05,6.459082209103398e-05,6.926643732858368e-05,0.0001472273449089,0.0001779224848239,0.000156833877326,0.0081379548307668,4.9845674373721214e-05,1.7783121478469796e-05,0.227637997435557
BierwischManfred,0.0012512540341036167,0.001375386492734419,0.0033039328164368533,0.008316725294545389,0.010854938676133621,0.31962344455837277,0.005466046913502533,0.23572554706718632,0.007651671698522635,0.0032788156997896377,0.0016697865108121655,0.0022141987013990223,0.007840762424455952,0.006178490803948911,0.001763843672285463,0.0021546515407845322,0.005644848524066432,0.018390600938350748,0.0011760841312667082,0.0023417653041904692,0.00257892497609114,0.002506402820926702,0.007868543884065042,0.004423182711466026,0.00021459118750963063,0.0009275464965572492,0.0042997826491880395,0.003949588461437995,0.0038897847016410338,0.0077717238767073555,0.001605679137798033,0.005439509559136496,0.025930947159758095,0.007370999926787121,0.004658115928621227,0.0024475326378810593,0.007692867662444808,0.008662371053940673,0.0017998106607993397,0.002694940594069999,0.0013570546992161502,0.004824180637754753,0.00816393493269272,0.002401684377624591,0.0027315849284353655,0.00223742483329062,0.0031905385732704933,0.003073972034563882,0.004887990534864005,0.00022632708131877476,0.0036212163016148624,0.005180906826669151,0.002795734265050721,0.00805635828002381,0.009061832449649192,0.009882370799707194,0.007882784788499714,0.00034036510741731725,0.0011546419403651628,0.1659734547182544
BierwischManfred+BaumgärtnerKlaus,0.00010361457308075,0.0001068310406047,7.577541220645929e-05,0.0035973012582291497,0.0001120058197679,0.3032045435038588,6.249528615525607e-05,0.03538414238511835,7.606394018462435e-05,7.503184897891644e-05,9.11455159275162e-05,0.00690862966587906,0.00032482219787305,0.00010428713962435,7.324245089193275e-05,7.414364750077081e-05,0.00023243328351225002,0.00017533445533535002,6.616208237333982e-05,0.000129067364721,8.516791854931492e-05,0.00016788525821775,7.517672573543235e-05,0.00010056883434765767,0.05522450431504748,7.692472138347535e-05,8.504263500643235e-05,0.00016044830403995,0.00019511953720880001,9.640333334437395e-05,0.0001060649894747,0.00012974968408755,0.00012175709543045001,0.0001140953810722,0.000265419011041,9.842018985238378e-05,0.09324110684143705,8.184060147173927e-05,9.434668688286627e-05,0.05457646554558954,0.00010629960236905,0.00011577131883575,0.00012639439809855,0.00016011839150825,0.0001107680453597,6.786519692191587e-05,0.0001397350754839,0.04092722543365505,8.83832088251246e-05,7.772023750815584e-05,8.390817331614197e-05,5.574521618030881e-05,5.9780513669258625e-05,0.00012706480431585,0.0001535562957516,0.0001353557380584,0.0001737125316626,4.3019391976465964e-05,1.5347752499276514e-05,0.4011586481929592
