sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
BaumgärtnerKlaus,0.013297842866012221,0.0028341338442351162,0.0006011774277713167,0.005966254729382358,0.006312602959042835,0.452884142253861,0.00012082948868658197,0.08260364858531817,0.0023457403151020723,0.004783044582998527,0.007810836722105911,2.3103813440887628e-05,0.003739686727821616,0.005170140380076264,0.00416043503727479,0.008049375302862503,0.0015068959939678903,0.0011314585643050145,0.0011711388364650322,0.005673415827575815,0.009776066196309935,0.0012379913675752822,0.00014534800767496234,0.004215100876563827,0.0030784765440957664,0.008095084549460162,0.0021928376741898654,0.012398684658436156,0.04370454618912643,0.00045095201483016744,0.0050574656538370216,0.014104758221876004,0.005271034829709195,0.002811376013994004,0.042403844011038416,0.024185191114289878,0.005736071601002267,0.003053415567361048,0.006047508617022586,0.0026866465918551656,0.0008979678534451717,0.002428049940820486,0.005200286693311588,0.003241892118841446,0.0035001004740953133,0.005568838146708401,0.0027789445154514387,0.0005514042461501632,0.0027409868080821094,0.001765316595582692,0.0028500757440956307,0.0061284622813981265,0.0029096516092602972,0.001885336137520493,0.003440004351749519,0.0006913059156777177,0.009941250858228124,0.0015530492682015388,2.9673615420675218e-05,0.13505909826740284
BaumgärtnerKlaus+BaumannSabine,0.0002619007604135393,0.00027003084545208946,0.00019153327073064867,0.0003765211174215167,0.0002831108452775679,0.39740546260429627,0.0010083176702255661,0.04262772416870023,0.00019226256676148267,0.00018965380755361946,0.00023038342213784214,3.0204657102251572e-05,0.0008210348997515167,0.0002636007692440039,0.00018513084610399385,0.0001874087503612761,0.0005875086089467833,0.00044318309494203334,0.00016723419465918988,0.00032623635807159016,0.0055920858197980395,0.0004243541760790833,0.006038111505582749,0.00025420221698959223,0.00012907365349765367,0.002446772615162074,0.00021495751141485425,0.00040555620301,0.06738781160786313,0.0002436733131121438,0.011021717813221693,0.0025802953184814663,0.028086193229795636,0.0002883925125011544,0.03220356498607648,0.02660967797738192,0.00034357676746838334,0.00020686391036365702,0.00023847484289548577,0.029668841867067735,0.0002686875587512325,0.0002926286866378708,0.00031948004985964796,0.0004047223015581333,0.04515410332093545,0.00017153906203530272,0.00035320053383966667,0.00027842102170462377,0.0002234012929922891,0.00019644909685665284,0.021046827413488633,0.00014090406467878313,0.02703516204131585,0.0003211745981541689,0.0003881356591826833,0.00034213112759931666,0.0352366861923767,0.0015707605859812436,3.879365547418242e-05,0.20578415063065922
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0002292023713607,0.0002363174128263,0.0001676202840214,0.0003295123421716,0.0002477643707223,0.5870087661217629,0.000138243756257,0.0400285136499012,0.0001682585272224,0.0001659754723898,0.0002016199822895,2.6433596538788902e-05,0.0007185284444987,0.0002306901335751,0.0001620172040434,0.0001640107112661,0.0005141579816447,0.0003878515516614,0.0001463549549377,0.0002855056502166,0.0001883971367632,0.0003713734290064,0.0001662959494729,0.0002224649934088,0.0001129587688678,0.0001701626328529,0.0001881200011802,0.0003549223885535,0.0004316174771305,0.000213250626361,0.000234622856449,0.0002870149863282,0.0002693348452144,0.0002523866201975,0.0005871246189221,0.0002177120479602,0.000300681104262,0.0001810368886651,0.0002087011867213,0.0003399921291959,0.0002351418358758,0.0002560939067136,0.0002795928691259,0.0003541925999498,0.0002450263308778,0.0001501223583215,0.0003091033404947,0.0002436600730392,0.3032381898766084,0.0001719223677706,0.0001856104959831,0.0001233121496392,0.0001322384977977,0.0002810758525539,0.0003396768048854,0.0002994159529673,0.0003842637479297,9.516177466482024e-05,3.39502558694128e-05,0.0557867337021086
BaumgärtnerKlaus+BaumgärtnerSabine,0.0014578732028896928,0.0005964508101880978,0.01117979151718106,0.008342225876415187,0.00016869006944445936,0.4030891262149194,0.0029427049899641332,0.06973390422434586,0.019920746889617136,0.021074863520733293,0.00440853930322414,1.799728194492003e-05,0.0004892092145732429,0.006102535041660523,0.0015182567360652929,0.00011166649261333669,0.00367612299333041,0.0002640682556299935,0.0013751967304965174,0.008745953558169796,0.03524444928249528,0.0017409877185011176,0.00011322239425761887,0.000887862509024127,0.02044989595805567,0.0002944288563611304,0.00012808127322932057,0.021525822305379184,0.03498689748345225,0.00014519142871529924,0.0024582214707360166,0.015108244954653932,0.0017905408196653393,0.018725592788583108,0.04429543608143872,0.01233758240993205,0.00445746158901558,0.0013988098827503429,0.0001420939482885443,0.00535484512553559,0.004128379714537615,0.00017436122385911939,0.02492194124029653,0.0002411515994331624,0.005014706032757788,0.005657932583751765,0.0010041271977714648,0.00016589566337561136,0.0008939929579889719,0.0014301043703985235,0.0005232099624849948,8.395692659661765e-05,0.00038765569603742023,0.010905714105848747,0.004012275393890487,0.0017203187115583764,0.0006768088807483714,0.0010539025731492264,2.311499027714048e-05,0.15017885897175956
BaumgärtnerKlaus+BierwischManfred,0.0003218639637008,0.0003318554635025,0.0002353855620755,0.0004627270996807,0.0003479301804387,0.2498227579845411,0.0001941327355454,0.2051558942155963,0.0002362818332845,0.0002330757884542,0.000283130607575,3.712013146430916e-05,0.0010090140507932,0.000323953196201,0.0002275172772932,0.0002303167166382,0.0007220210024795,0.0005446515976433,0.0002055231175134,0.0004009294480338,0.0002645620498099,0.0005215117241742,0.0002335258275338,0.0003124028086539,0.0001586255712221,0.0002389557278951,0.0002641728742673,0.0004984098816595,0.4474402497167031,0.0002994632710593,0.0003294758344042,0.0004030489762941,0.0003782211341392,0.0003544211060276,0.0008244864828871,0.0003057283495187,0.0004222400119735,0.0002542262116046,0.0002930745907574,0.0004774436393498,0.0003302046260584,0.000359627168799,0.0003926262566354,0.0004973850552091,0.0003440852099356,0.0002108136011099,0.0004340671772902,0.0003421666034187,0.0002745498926572,0.0002414268858169,0.0002606488300576,0.0001731646013072,0.0001856996801662,0.0003947087783887,0.000477000836198,0.000420463387203,0.0005396133219779,0.0001336336347856,4.767561460167752e-05,0.078340111075992
BaumgärtnerSabine,7.961554355060093e-05,8.208701838876512e-05,5.822444132337423e-05,0.0001144591309107,8.606322408630404e-05,0.2302190356858292,4.8020235268664255e-05,0.0612733640514862,5.8446140946585135e-05,5.765310093403621e-05,7.003454800814616e-05,9.181951931554938e-06,0.0002495874380605,8.013233138604927e-05,5.627816015989867e-05,5.6970623157383264e-05,0.0001785974854295,0.0001347237898069,0.3684771174813199,9.91730032888167e-05,6.544147147226994e-05,0.0001289999629369,5.776442158493412e-05,7.727525359390607e-05,3.923726324831009e-05,5.9107549481958186e-05,0.0105918103415135,0.0001232855433179,0.0001499262849841,7.407455878159799e-05,8.14983987062989e-05,9.969728501511029e-05,9.355592602100258e-05,8.766880478868092e-05,0.0002039431153783,7.562427444778707e-05,0.0001044443362827,6.288482186382282e-05,7.249426924262836e-05,0.0001180993809451,8.167867096485365e-05,8.89565647246924e-05,9.711914460646348e-05,0.0001230320445603,8.511214086150522e-05,5.214637652268026e-05,0.0001073698771993,8.463755868416246e-05,6.791204173444714e-05,5.971880952759222e-05,6.447350626725815e-05,4.283360491270976e-05,4.59342537251182e-05,9.763427248669528e-05,0.0001179898501569,0.0001040048743897,0.0001334775333107,3.3055314263106906e-05,1.179293241460746e-05,0.324645521979806
BierwischHedwig,0.0001699685037691,0.0001752447709603,0.0001243013704759,0.0002443548879528,0.0001837334366523,0.7611578428168467,0.0001025167596082,0.2207007745150758,0.0001247746694269,0.0001230816353992,0.0001495143637313,1.9602235466682407e-05,0.0005328356940723,0.0001710717764624,0.000120146321317,0.0001216246369115,0.0003812816696541,0.000287617215865,0.0001085317423301,0.000211721056361,0.0001397087615626,0.0002753976134413,0.0001233192900534,0.0001649722986993,8.376629272239359e-05,0.0001261866879113,0.0001395032474569,0.0002631980942364,0.000320072503408,0.0001581392446999,0.0001739881469111,0.0002128403275058,0.0001997293500159,0.0001871611360373,0.0004353911890691,0.0001614476797278,0.0002229746450687,0.0001342506576644,0.0001547655385556,0.000252126333378,0.0001743730039967,0.0001899103307269,0.0002073363436325,0.0002626569084,0.0001817030015706,0.000111325517597,0.0002292202824169,0.0001806898322948,0.0001449830976055,0.0001274916460983,0.0001376422857181,9.14439996685532e-05,9.80634688809156e-05,0.0002084360725441,0.0002518924998406,0.000222036452888,0.000284956625451,7.056866104731145e-05,2.517632849278697e-05,0.0076606145246628
BierwischManfred,0.005519831721723905,0.006922268275571656,0.0012850765480741525,0.009051235825476784,0.007786453032661864,0.4967006988712491,0.0018400312837331266,0.07290506290139884,0.0016014837104745086,0.0008584106080015912,0.0020764672569423904,0.00020410099258219192,0.049131148918758985,0.007286992794388762,0.007714593855248776,0.004151706054817262,0.0035180245376847403,0.014223940326993503,0.0012055842832936422,0.0036072306726383117,0.0034819492430050447,0.006624063424748984,0.010510012528056487,0.005838910598364302,0.002136543798973135,0.003409224433901627,0.007037079882913773,0.005859917058261533,0.0034972083123253127,0.005291360540706512,0.002972255224430026,0.011628433092576046,0.002252253764356583,0.0044475496138573,0.00795639351354326,0.00045338531168177506,0.0048112472156987135,0.0016720775890359375,0.0012093750865781233,0.004282618999308562,0.0062706437910923386,0.0005997319979119838,0.006173931116864402,0.0023634014711405066,0.0059231168637438915,0.004468899904713577,0.016254107719665605,0.00395644322773486,0.005202323842204948,0.013086868645847273,0.001958477059285463,0.0007946450338583779,0.0010030084821637667,0.0042900143917271455,0.006353481031614617,0.005907052442248875,0.018490181364359135,7.078245754883147e-05,0.00010743924113494457,0.10376324821110075
BierwischManfred+BaumgärtnerKlaus,0.00020009793732753337,0.0002063095009898,0.00014633562858801819,0.0002876704093464,0.018735217622844764,0.4780752870435066,0.00012068937293802623,0.09685211792247679,0.0001468928267849066,0.00014489967741163526,0.0001760179981587,2.307702190059432e-05,0.05089291436275137,0.00020139678143883333,0.023951477239810462,0.0001431844043721294,0.0004488694902099,0.0003386016253496,0.0001277706003949819,0.007657102911979934,0.005455592697697766,0.0003242159174935667,0.0001451794598716045,0.018713130795443966,9.861510820904653e-05,0.00014855514644958518,0.00016423226331703947,0.0003098538529042333,0.006726179449338166,0.00018617176696436667,0.00020483012172443332,0.044697676410485665,0.00023513433416016668,0.0002203382181901667,0.0005125707229949667,0.00019006667108006667,0.00026250020189146664,0.08904921956173151,0.00018220002146056668,0.00029681945852396666,0.00020528320042596666,0.0002235747483384,0.00024408978001156666,0.0003092167338664667,0.00021391254858533332,0.0001310596136878989,0.0002698529709219,0.0002127197800562,0.00017068349802983333,0.00015009142779424259,0.00016204141855981772,0.00010765380237449437,0.00011544667050139211,0.007653235616149533,0.013524340399173369,0.00026139570125746663,0.00033546940589660005,8.307800093778742e-05,2.9639205436140625e-05,0.12859820291947993
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0002909139012134,0.0002999446300743,0.0002127511615943,0.0004182318027079,0.0003144736210215,0.3219589246122502,0.0001754651586384,0.2238918756531685,0.0002135612484117,0.0002106634931043,0.000255905099333,3.355070301649617e-05,0.0009119884392162,0.0002928022355588,0.0002056394818786,0.0002081697304087,0.0006525923069307,0.0004922785367169,0.0001857602547918,0.0003623765410013,0.0002391220723758,0.0004713637664299,0.0002110702569521,0.0002823625197757,0.0001433723217282,0.0002159780244423,0.0002387703194984,0.0004504833700851,0.0005478282068309,0.0002706672329898,0.0002977938233283,0.0003642922579019,0.0003418518320246,0.0003203403867937,0.3084534639953794,0.0002763298688284,0.0003816379060248,0.0002297801162896,0.0002648928807172,0.0004315332171262,0.000298452535229,0.0003250458406549,0.0772819365669948,0.0004495570897482,0.0003109983783871,0.0001905420116703,0.0003923277849507,0.00030926426283,0.0002481494959308,0.0002182115587071,0.0002355851432603,0.0001565132956766,0.0001678430160061,0.0003567540436772,0.0004311329934078,0.0003800321194154,0.0004877247357497,0.0001207835806836,4.309118323483772e-05,0.0515752513772235
BierwischManfred+DohertyMonika,6.723075506416837e-05,6.931777365478147e-05,4.916719749419169e-05,0.3201004880370827,7.267545105562832e-05,0.5277440835849548,4.055033139878548e-05,0.0517418376712445,4.935441009616856e-05,4.868473334132891e-05,5.914015446208526e-05,7.753631185460621e-06,0.0002107622603201,6.76671527176377e-05,4.7523674805629424e-05,4.810842004630341e-05,0.0001508153215126,0.0178917572754863,4.2929547671925214e-05,8.374590683854063e-05,5.526156505851971e-05,0.0001089330616199,4.877873723906458e-05,6.525451457341939e-05,3.313361583920907e-05,4.991293162671309e-05,5.518027430052428e-05,0.0001041075623692,0.0001266041390152,6.255171158590133e-05,6.882071813103587e-05,8.418863265253523e-05,7.900260761420129e-05,7.403127176755561e-05,0.0001722182506775,6.386035748249618e-05,8.819724487600067e-05,5.3102621265073566e-05,6.121724780927196e-05,9.972814603101044e-05,6.897294770228857e-05,7.511871109131545e-05,8.201154111230598e-05,0.0001038934972242,7.187231588276537e-05,4.403462076789093e-05,9.06676961976474e-05,7.14715584841492e-05,5.734781978665187e-05,5.042910563716137e-05,5.444417402271744e-05,3.617051987557538e-05,3.878883976074388e-05,8.244653702890833e-05,9.963565356959978e-05,8.782614454091825e-05,0.0001127141127019,2.79133148840416e-05,9.958454282873275e-06,0.0785866039334778
BierwischManfred+KlemmEberhardt,0.0003438105785124,0.0003544833586755,0.1138947615551555,0.0004942786076619,0.00037165414619,0.4486864930510721,0.0002073698693965,0.0145866663256532,0.0002523929453284,0.0002489682931394,0.0003024361499363,3.965120458487636e-05,0.0010778146784174,0.0003460422674107,0.0002430307693608,0.0002460210912647,0.0007712527233752,0.0005817892090818,0.0002195369158991,0.0004282672216119,0.0002826014765732,0.0005570715203022,0.0002494490185817,0.0003337043051891,0.0001694416137229,0.0002552491621052,0.0002821857647088,0.0005323944556556,0.0233761046368634,0.0003198824723411,0.000351941472198,0.0004305312720169,0.0004040105187261,0.0003785876620025,0.0008807049145786,0.0003265747414127,0.0004510308675705,0.0002715608789495,0.0003130581735123,0.0005099986092401,0.0003527199572367,0.0003841487053471,0.0004193978688414,0.0005312997503934,0.0003675470025451,0.0002251881363868,0.0004636644799295,0.0003654975739327,0.0002932703504289,0.0002578888183901,0.0002784214300362,0.0001849720020494,0.0001983617977403,0.0004216223894138,0.0005095256131145,0.0004491331018714,0.0005764073935741,0.0001427455772186,5.092642384896834e-05,0.3791544571297198
BierwischManfred+ZeibigBrigitte,0.0001400658910017,0.0001444139028327,0.0001024329909504,0.000201365455027,0.0001514091548777,0.358721881298713,8.448095358091085e-05,0.0059425001536814,0.0001028230222669,0.0001014278442526,0.000123210254307,1.615360796489127e-05,0.0004390937414446,0.0001409750645801,9.900894090766742e-05,0.0001002271759708,0.0003142026646022,0.0002370166278705,8.94377184850834e-05,0.0001744729037758,0.0001151297548373,0.0002269468239762,0.0001016236882481,0.0001359486698741,6.902926228030264e-05,0.0001039866238915,0.0001149603968934,0.0002168935700536,0.0280422331696021,0.0001303177572317,0.000143378357051,0.0001753952611931,0.0001645909021307,0.0094137241924289,0.0003587926791077,0.000133044138236,0.0001837466450534,0.0001106318968888,0.0001275375882792,0.000207769667594,0.0001436955061075,0.027934970469237,0.000170859594948,0.0465138994672432,0.0001497359348837,9.173998398337693e-05,0.0001888934854424,0.0001489010127999,0.0001194761752676,0.0001050620003709,0.0001134268347435,7.535622780871821e-05,0.0093403015061094,0.0835071792178578,0.0002075769724651,0.0001829735093206,0.0002348241159718,5.81534941309677e-05,2.074704903729191e-05,0.4229899470303245
DohertyMonika,0.00020074457052577144,0.0002069762073748857,0.0001468085243949225,0.01805605731865433,0.0002170019092601857,0.34948979701718735,0.00012107939072760711,0.07501037974212324,0.00014736752322433327,0.0001453679328223859,0.0001765868150222041,2.3151597224444655e-05,0.0006293158449675715,0.0002020476119603286,0.00014190112366813966,0.00014364711673476633,0.00045032004946067144,0.0024406194658503143,0.013783916357297714,0.0002500572258269143,0.016972394688506552,0.02481553111974516,0.00014564861942275044,0.00019484370643175713,0.0021998157689429704,0.0022195094778769595,0.0001647629935939324,0.04945788395205277,0.00037802778637760005,0.00018677339657984285,0.03171934636335654,0.0002513791625403428,0.0002358941904013,0.0018262353144899144,0.005676392549804086,0.003401050997289986,0.0002633484932199857,0.054782573469098886,0.0001827888160487488,0.00029777865539694283,0.003416316700121471,0.00022429724881244286,0.03175810824314358,0.010165520945268928,0.00021460382485377145,0.00013148314377664426,0.03234826678059397,0.0033347169908778283,0.00017123507601058397,0.00015057646078000484,0.002263488690004547,0.00010800169462896084,0.00011581974606014733,0.0002461774325070143,0.01791173757519226,0.0002622404232999286,0.00033655350330287145,8.334647443718358e-05,2.9734987004212444e-05,0.23937265119383597
JohnsonUwe,0.002974435263509689,0.004328812446368484,0.004074357017814038,0.005313806272413539,0.0052511409939222,0.33008955168923954,0.002391513937486983,0.232509042211517,0.004797469516782103,0.005219174998253582,0.0029896702952554263,5.99284411269193e-05,0.004956653550723023,0.00323280299125666,0.0009625537634639156,0.0032326662286782312,0.01320927374956897,0.00980373464564432,0.002675073520709138,0.004954907151806329,0.001717248188834479,0.006298531046825919,0.003405749166412998,0.0027011342245603707,0.003235067086322417,0.0027455163123833925,0.0030312672145620884,0.0038857723724132816,0.0035538603790495585,0.005025132989985599,0.003415404620842722,0.002477401723545574,0.017969182439012396,0.004841348690365312,0.006803326485992722,0.0017671756043839736,0.008914285385741913,0.004592416982772415,0.006810198806183287,0.004080098665340023,0.003409278585712838,0.005836254124169351,0.004377059069346533,0.008686609906424888,0.0052674021224845425,0.0035425795685216878,0.003119784394023716,0.00879780030227558,0.004234533111749077,0.0006990069918787807,0.005803289760338464,0.003603908997868244,0.0035309624439399264,0.005339628660270674,0.007113754320769425,0.006521285229895748,0.004451401476802353,0.003228441542809728,0.0013152590023607813,0.17082507331728528
