year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.005781024627813828,0.0002793431121633466,0.0027957411368043136,0.00038950580093784177,0.00029287418803812456,0.3353276573325468,0.00016341343893421978,0.08007372531964821,0.0001988929215169432,0.015870661055037528,0.00023832841030836294,3.1246293002722486e-05,0.030680150976040276,0.003407778945263396,0.00019151525679053018,0.0001938717167103985,0.003975168437218391,0.00045846667921219304,0.00017300142255235941,0.0012944518778213636,0.0002226981155416566,0.018622207059866322,0.0001965730223191768,0.0002629686186176335,0.017358894038306878,0.0032064698595318324,0.00022237052260077104,0.000419542188657315,0.0005102009533862,0.00025207661562489243,0.00027734003229507585,0.015391621475493467,0.08283927674174268,0.023854544743210058,0.033840692843373585,0.0002573503167004029,0.009760105449149693,0.00021399780613400631,0.00024669887129211214,0.03148264079072152,0.013050589667377144,0.0003027202610754887,0.004158357431812469,0.0004186795293325307,0.0002896376403700976,0.0001774547473133807,0.00036538098518091623,0.00028802263150513305,0.00023110549589731402,0.000203223828025047,0.00021940411829165108,0.00014576327336953502,0.0001563148186197418,0.017966631058222146,0.0004015208810538915,0.0003539298400948509,0.00045422565334677734,0.002202416546958709,4.013149103098455e-05,0.23731940108819324
1955,0.013966051675532184,0.00019716737974965522,0.0001398511087191458,0.0018375282767482451,0.00020671795271621428,0.5024355054877591,0.000115341306685595,0.04549976543194796,0.00014038361598591218,0.0006345211467724724,0.0037399218337002427,2.2054417846659646e-05,0.0012939571273887856,0.0006885147142574226,0.0001351762750512655,0.00453146332369035,0.014120119865210261,0.00032359728916435453,0.00012210874617043382,0.008163556857682164,0.009605008408452659,0.003943626930583202,0.0001387461729053941,0.00018560985122448466,9.424521118037605e-05,0.0001419722738568341,0.01665856407522599,0.01588343945940353,0.012265638668054654,0.00017792200213569273,0.00019575355570369176,0.0032158475379934844,0.00022471490810218074,0.0018223875434739197,0.009835973345850879,0.0001816443127185067,0.0009776350881150618,0.0001510450226635485,0.0013197758296348682,0.005248304573181722,0.0017144134654302821,0.00120575227503911,0.00797165147230992,0.004513375685314031,0.0002044335161385701,0.00012525201455998322,0.0002578950699752282,0.007126585468745398,0.0015520505493044172,0.0001434404785000119,0.00015486093347651935,0.00010288337683156874,0.00011033092230058158,0.0002345108161779635,0.012188929545260067,0.00024981256436319114,0.14127728863623787,7.93965943456629e-05,2.8325813623065315e-05,0.14017765219882547
1956,0.00020854290321176,0.0002150166207169,0.00015251160125210803,0.007443012291645121,0.0040717850310713006,0.35543834184415146,0.00012578296685838015,0.05669228822110828,0.00015309231553229765,0.00015101504695879002,0.00018344669037474184,2.4050968285366074e-05,0.00065376290378844,0.00020989656395114,0.00014741356252502837,0.00014922738225697966,0.00046781365116389996,0.00035289202340478,0.0001331630515903893,0.00025977120928574,0.0001714157040528511,0.00033789917879517995,0.00015130663740319856,0.00020241280800470306,0.00010277707627135609,0.014441226779137489,0.000171163548463335,0.00032293097529652,0.00039271304752808,0.00019402899049013618,0.05827967401751216,0.00026114449932967997,0.00024505798183348,0.00022963740817916,0.00053420334113568,0.06091529672107947,0.00027357880309636,0.005879224658569613,0.0001898896207932529,0.02207845315620604,0.02021471722416842,0.00023301053337204002,0.0002543913847778,0.00032226696718332,0.00022294054856943999,0.00013659087493511973,0.00028124188958656,0.01654852745098558,0.0001778870521349821,0.0030136787991289285,0.00016888024093774065,0.00011219724095514838,0.007813025479776968,0.00025574069747324004,0.00030905957309233995,0.0059869334645584,0.03112045352813808,8.658423839843059e-05,3.089010328190178e-05,0.32010412090623236
1957,0.00183969972725011,0.00423147915329437,0.014786492037378147,0.0012931622904464,0.006708405170104605,0.45116508993439985,0.0071726824624397684,0.073445860563683,0.005129286033920324,0.0017056787026204646,0.00438123175077408,1.8846493672322513e-05,0.00839211328426013,0.0007555267474020535,0.0061803700687255055,0.0001169355379822672,0.0003665817904658291,0.006169180056268644,0.000842897698058978,0.0005893753069209444,0.001986221845440301,0.01572952215949508,0.06816061755075065,0.0001586119801912031,8.053677900306358e-05,0.007243520257618934,0.00013412485912300633,0.0019892350310397326,0.007237093363562143,0.0017421217633244222,0.0008058696231957798,0.0009762683398581604,0.023476426293611727,0.001950041202113806,0.01064897486854093,0.010032288794642717,0.0012827726424547142,0.004746621621640201,0.000838703427887659,0.0005702683511367448,0.0017641237283370632,0.00029833059562939116,0.01412807653220069,0.0028821818238047555,0.0006707532744800053,0.00010703348944701454,0.025181212107464327,0.008786149037393547,0.001032329035472377,0.0011046323701878445,0.01483956939689631,0.003094615175576859,0.0029096493380383615,0.0027257299403035127,0.0009176072775692316,0.01166320162261709,0.01614559722237731,6.784796693993223e-05,2.42056839097815e-05,0.13657641881665397
1958,0.013041924313783105,0.0007790147689681314,0.000767949337115487,0.002234722959582429,0.002086212691818017,0.4930866474294362,0.00021041469900214707,0.08151196815083263,0.0010841969880937183,0.00012761177027816815,0.0027060855437367076,2.0323714104045416e-05,0.002443478039376998,0.00017736823343450438,0.00024052566834006372,0.0032122542209291945,0.0010768843093589,0.0030683090794923202,0.0001125263547660208,0.0027377155278528373,0.001289175809649339,0.012845271704859088,0.0007798817831747499,0.00017104425867909857,0.0006699622239372127,0.00040662714388057733,0.0004084831741429262,0.012549225476312563,0.05467268379684626,0.00035215563247477464,0.0052873955635134,0.004464515612459419,0.001668983813621456,0.010117781517931862,0.028087214642283236,0.016117449497064527,0.00037389855449220427,0.0001391918788696486,0.017806442751783585,0.006091259889052988,0.010915793534507019,0.0004889882217740162,0.0038113583729273634,0.003568871268073406,0.011750165570296208,0.00047159764194970133,0.008388801196713612,0.00030329753994930327,0.007940505978307463,0.00041563611375191115,0.0001427083389706842,0.0014331090368280676,0.005308707038786504,0.0008989618161378164,0.0046491127479325964,0.0023065951894810297,0.028010174713660116,7.316600671735959e-05,2.6102966845114327e-05,0.12407156818105818
1959,0.0008995928204388891,0.007362407988849474,0.00015558396768347514,0.008612696006678308,0.0002299731447934779,0.406409345908549,0.0036999059159830085,0.1159969727999666,0.0009498747195294397,0.0007209749465575687,0.016721889355100227,2.45354782308066e-05,0.006161601305236893,0.0045298368311388415,0.0001503832282902179,0.009789834172346868,0.0010071495130921895,0.00036000108001228286,0.010142078505951422,0.00026500433474432704,0.0028041847685863533,0.002519362439265291,0.0014075171942114228,0.005515467447012776,0.013710726339786464,0.0001579437579722802,0.0001746116608446562,0.006936195344950865,0.026942215311664488,0.0036553718737647916,0.0010968577557609065,0.009032709186387064,0.01035979415105411,0.0005878797113802068,0.04853002138116037,0.014646895599341155,0.0006327063115249588,0.010967642338077871,0.0043148077291106065,0.018973867336117424,0.005444852378756254,0.0002377045614657224,0.00025951613295829997,0.0005820567270400362,0.0036077377550883223,0.00013934251622365254,0.001911970204828438,0.01616329730738947,0.00018147061038933953,0.0003613542935443254,0.002705258846465081,0.00011445746925235684,0.002183289221139862,0.0022657948772841214,0.03793577439083272,0.0014589681719962692,0.001606501377028776,0.00040161910549600243,3.151238850876468e-05,0.14525110200316282
1960,0.01039777621432566,0.00017580440065137162,0.0002358102597394217,0.02233355128859267,0.014124283468112082,0.365030961586772,0.00010284413840643461,0.07319648397766425,0.0007312584876254331,0.03508991941582379,0.002208856163712791,1.966483358540386e-05,0.0030282931165181042,0.00017161808004041154,0.0010094455121500189,0.0008310503417802506,0.0023640344964519565,0.00028853569767058415,0.0005583233381910073,0.020013884207768444,0.01195850624151697,0.0002762770729565408,0.00012371310001317186,0.0019837552059144372,8.403379345441042e-05,0.0007717649705816078,0.00013994873954688237,0.002492382153336403,0.05427817502303147,0.0003295863894855879,0.00017454376367711765,0.013439613991706212,0.0016290761446625512,0.011309617696503804,0.07016306167325141,0.00539075861340094,0.009484713689207298,0.005482477634546196,0.0020157832036758645,0.0012285572703937063,0.01094426676083389,0.00019051679367087043,0.01520250544413629,0.010374539112864557,0.014867088405165476,0.00633408962084275,0.0013435902962853341,0.002027782677550518,0.0021903207551634695,0.00012789878013219847,0.0008235073602006131,9.173601852309181e-05,0.00043171245579654466,0.0038621146971929586,0.0011902166417362002,0.002649815724553064,0.011579945066703788,0.0005469997744323955,2.5256727016855334e-05,0.17052735149075246
1961,0.023119271152519872,0.003784183150170162,0.007034151077845106,0.0003720515056459022,0.00505975454645842,0.3738162765644899,0.0029535114266597494,0.08638004646717795,0.0020726190727119054,0.0028023800319284587,0.0011036564491187205,0.00047118296244314146,0.005990170786259005,0.014589701551028254,0.002843062079645094,0.0004029883609024556,0.0005276421756807061,0.0019040517020464261,0.0007104083442182809,0.005841317688004836,0.0006103924056670012,0.00021643399769869867,7.174539687398857e-05,0.001947869992233454,0.02435134506939257,0.0014389566019082796,0.012137444061295967,0.00015312488191651102,0.005112908657547309,0.0003818650148007021,0.0007826499332187675,0.022399232162189475,0.0043449135943110255,0.0004175373477229945,0.011425631611961055,0.016393002542923318,0.0556409182922594,0.0002563607990374422,9.004037390480072e-05,0.0007571901287822829,0.005881186983494865,0.012877415507515252,0.02322536705211422,0.00169605842348167,0.000379686830253871,0.001371991681674406,0.0001333570776026606,0.0018782232497393813,0.004263259977948877,0.0006846794526401677,8.007831062933164e-05,0.0018582637441414008,0.0003657016009561029,0.0028991122342751463,0.007859859849909601,0.00012917762846377686,0.0007394934000048618,0.00019791957641226057,1.4647227362092104e-05,0.23275653023077938
1962,0.001208699320152769,0.005591826747929072,0.004003485113948409,0.0019262367233507309,0.0015539038783230126,0.4661348072068026,0.011300768687069754,0.16135688218113495,0.014342272508106779,0.009972722451662584,0.0005182718509205533,0.007564560348966867,0.010413339928462561,0.0012730347421889149,0.0026462348983004144,0.0056936469525198955,0.00037397273431227725,0.0013818077891500666,0.0001064512555132363,0.00020766249379532503,0.0030073524366103052,0.006693206878428464,0.0001209553350324375,0.0075530488904044174,0.0066523197599150435,0.004025891642408936,0.00415292344078681,0.012731185115008283,0.0015689555534821177,0.0005972047351711073,0.00027446385439633213,0.00020876030919995172,0.0034576466510755745,0.011078519997450244,0.007461271534513502,0.006750826265327052,0.0030779761050077287,0.0033125770810263897,0.00034459235230877814,0.005985731446072455,0.0008984492702784288,0.002725139228365515,0.00020336183331579042,0.0003884452955010413,0.0024564176513948164,0.008711956483941047,0.00022482627043945403,0.00959475002165183,0.003288091022296414,0.0007200086932674707,0.0001350037676704793,0.007782087447897563,0.0009752270419052476,0.0016422701885783276,0.00686604747267876,0.00021778015050882672,0.004001740386517185,6.921590317350771e-05,2.469371374430981e-05,0.1524484909606352
1963,0.00289963008986703,0.00014639546337924495,0.003350515400616742,0.005196811657288063,0.0278029888225278,0.3496299197335505,8.564015031516036e-05,0.15788438671941843,0.00010423389781417182,0.002190459542441073,0.0040042833366513006,1.63752580387335e-05,0.05136189162752037,0.00023703670974691547,0.00010036748192900675,0.014302394418159878,0.007666048710891814,0.004595343016399146,0.000902381657689393,0.0007896444028703376,0.010756866821004133,0.013403209509957256,0.00010301810725675779,0.00013781407559538354,6.997644021818545e-05,0.00010541346567910196,0.00011653781418096834,0.0004802921696695147,0.0035062044369973742,0.044492329787015956,0.0005369459800491566,0.013770191800624386,0.0002461645827717427,0.0001563501215278749,0.013319334204190339,0.00013486968972451806,0.003987775598237642,0.007171695192590667,0.001675944891162483,0.001827618275817748,0.001130233404297922,0.0003057064920233572,0.016598354812326004,0.0008262295563340225,0.012378401518716305,9.299878475829629e-05,0.0027777403450066317,0.000943524347571829,0.0010056385426868582,0.0047484581598209365,0.00011498320941538458,7.639022055475625e-05,0.0041579734087422585,0.0003314333601450181,0.008152473488046343,0.0014030592546438808,0.0003218269973180511,0.009529035200786481,2.1031727541383308e-05,0.18581920610787622
