idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
uj0002,3.084961009153687e-05,3.071992710952754e-05,3.668878325777815e-05,2.318744233392153e-05,5.04437443196597e-05,1.2869020940037212e-05,2.816571872899004e-05,7.354558504534493e-05,3.944688575838501e-05,9.36304147114932e-06,4.126042041456357e-06,3.028216595589025e-05,4.4374409696696354e-05,2.567693489319761e-05,0.033617772651707,0.1071591174626445,4.7151966432671855e-05,3.1949177768448686e-05,3.682417028638227e-05,1.719838709915612e-05,2.6832826046328765e-05,5.6743501228139447e-05,2.6572898800955587e-05,2.3283139657879883e-05,2.045126294762956e-05,0.1033542896778411,0.0051967353383357,2.395215357314805e-05,5.321527612658403e-05,2.3771231228194866e-05,2.3007814632439107e-05,3.6603066266618896e-05,3.176389802795226e-05,2.8553195921509182e-05,3.8071750803544473e-05,3.96120762473938e-05,4.775085203700941e-05,1.4082790200700394e-05,3.440339025191241e-05,0.0001251228523409,5.286841889909662e-05,9.126833891985188e-06,0.1162706009605125,3.123683624394263e-05,2.830818422218784e-05,3.214677607660746e-05,1.750707440048853e-05,2.522672315916169e-05,0.2214062493024569,6.231564049826786e-05,0.41054026018307,3.1759877607375855e-05,2.2860384354239155e-05,3.2404208950972644e-05,3.093311982110788e-05,3.628862514614107e-05,3.56631182526235e-05,2.8810478079136423e-05,3.376467438764952e-05,2.3438852711523087e-05,5.950335108411656e-05,3.679154171300707e-05,2.2689228421668684e-05,4.307424880207677e-05,3.531195207251416e-05,3.4068556683768804e-05,1.969725636890331e-05,1.5561139388662175e-05,3.3819728746587905e-05,2.066528298399304e-05,3.734931332370498e-05,3.735361425373655e-05,3.071689420388595e-05,1.321281625676397e-05,2.4664837756803985e-05,2.789934316948273e-05,3.6190320492502096e-05,5.08830861580557e-05,6.04837155896847e-05,3.3721379690646624e-05
uj0003,5.879631460361632e-05,5.8549151628579326e-05,6.992520282906271e-05,4.419297846141895e-05,9.614080216906042e-05,2.452708483464853e-05,5.368108233824896e-05,0.0001401706324067,7.518187420524939e-05,1.784503370872188e-05,7.86382924184082e-06,5.771482203951392e-05,8.457324890444811e-05,4.893770577836854e-05,6.825725227944998e-05,0.1500775623764199,8.986699813477017e-05,6.089198216206663e-05,7.018323715440548e-05,3.277842979396903e-05,5.114072032815958e-05,0.0001081475175867,5.064532463117457e-05,4.437536812370267e-05,3.8978090379170976e-05,4.800013429721973e-05,5.7710893396153065e-05,4.565044267147128e-05,0.0001014230684787,4.530562252362735e-05,4.385062577635917e-05,6.976183469688469e-05,6.053885724802135e-05,5.4419575656170405e-05,7.25610025901033e-05,7.549671098705854e-05,9.100841503760058e-05,2.6840409349752507e-05,6.556946913365859e-05,0.0051618489105841,0.0001007619928084,1.7394845356419075e-05,0.3988418747663552,5.953432946383796e-05,5.395260751906528e-05,6.126858505128216e-05,3.336675734914486e-05,4.8079646610875945e-05,0.0822654578010498,0.0001187674655397,0.3590388205291704,6.053119472287604e-05,4.356963820493048e-05,6.175922672310806e-05,5.8955475912876017e-05,6.916254092982993e-05,6.797038647507787e-05,5.4909930076756685e-05,6.435213968326712e-05,4.467214184832122e-05,0.00011340751925,7.012105031121545e-05,4.324343187597434e-05,8.209527045452455e-05,6.730109836600307e-05,6.493130937235178e-05,3.754102819639329e-05,2.965799711476764e-05,6.445706786222422e-05,3.938599146291778e-05,7.118410799662059e-05,7.119230514512503e-05,5.854337120951611e-05,2.518232480499298e-05,4.700874844424833e-05,5.3173396790424086e-05,6.897518195429646e-05,9.697814438739687e-05,0.000115275997319,6.42696242602813e-05
uj0006,3.926924645137658e-05,3.910416971407056e-05,4.670207718917248e-05,2.951587993773846e-05,6.421111390845007e-05,1.6381301202276273e-05,3.585285347098407e-05,9.361802940091706e-05,5.02129353981779e-05,1.191845154522357e-05,5.2521429384010334e-06,3.854693250497736e-05,5.648530484967026e-05,3.268481778035644e-05,0.0033338436366522,0.0147400865213365,6.002092684534745e-05,4.066891386910072e-05,4.687441475119675e-05,2.189226053616199e-05,3.4156180770961164e-05,7.223023330376198e-05,0.1480053255397421,2.963769547408097e-05,2.6032928213659703e-05,3.205862673747856e-05,3.854430861833757e-05,3.048930015368998e-05,6.773906662004035e-05,3.025899953947001e-05,2.9287227307832366e-05,4.659296587006941e-05,4.043306661623715e-05,3.6346082958234426e-05,4.846249144490571e-05,5.0423210536342105e-05,0.1184379834449619,1.7926338695154135e-05,4.379294281375247e-05,0.0001592720332832,6.729754331037036e-05,1.1617776962551164e-05,3.227909542419055e-05,3.97621563833375e-05,3.603420138904856e-05,4.092044173731162e-05,2.2285196384507063e-05,3.211173191357565e-05,0.3541752190604733,7.93231498628628e-05,0.3088504360960919,4.0427948921524485e-05,2.909955958976882e-05,4.124813453336761e-05,3.937554809155554e-05,4.6192705840271554e-05,4.539648234552745e-05,3.667358390315488e-05,4.297990528712829e-05,2.9835906545827675e-05,0.0099405099975598,4.6832881017531215e-05,2.8881690888097e-05,0.0164961081002584,4.4949474061429705e-05,4.336672472319605e-05,2.507313422993986e-05,1.980816664795506e-05,4.304998536862556e-05,2.6305359713719264e-05,4.754288256306408e-05,4.75483573253343e-05,3.910030905201519e-05,1.6818926928543585e-05,3.139649381892404e-05,3.551377730555191e-05,4.6067571368243806e-05,6.477036321102411e-05,7.699124646109818e-05,0.0230607137185625
uj0007,4.26338286287721e-05,4.245460814544513e-05,5.070350300600354e-05,3.204479537571676e-05,6.971271093335328e-05,1.7784848228216074e-05,3.8924719694508655e-05,0.0001016392058091,5.451517093316866e-05,1.2939622392004758e-05,5.70214562805179e-06,4.184962694960092e-05,6.132495590376608e-05,3.5485247259220365e-05,4.949405444833694e-05,0.0695529054008723,6.51635093745199e-05,4.415341930638835e-05,5.089060642024249e-05,2.376798559531417e-05,3.708267637387964e-05,7.841890707787864e-05,3.672345972244361e-05,3.217704804593745e-05,2.8263424956232825e-05,3.480540427715592e-05,0.0071818322236905,3.3101618065758594e-05,7.354293801709912e-05,3.2851585335135336e-05,3.179655182841557e-05,5.058504304813652e-05,4.3897364702091264e-05,0.0357393874362067,5.261474924770337e-05,5.474346240844524e-05,6.599116282452479e-05,1.946226426363565e-05,0.0393174650644349,0.0001729184332773,7.30635850673707e-05,1.2613186063603207e-05,0.0143150156535659,4.31689709976144e-05,3.912160547051964e-05,4.442649803841704e-05,2.4194588118517363e-05,3.4863059495465935e-05,0.4559207444256258,8.611954348895202e-05,0.3031827530141373,4.389180852418945e-05,3.159280477304539e-05,4.478226749600602e-05,0.0714426036925923,5.015048880889288e-05,4.928604502418328e-05,3.9815770166763424e-05,4.666241606548702e-05,3.239224180769291e-05,8.223298983133129e-05,5.084551408353055e-05,3.135626911906612e-05,5.952814756140556e-05,4.880073714837613e-05,4.708237812327722e-05,2.72213959916204e-05,2.1505326906762465e-05,4.673850059612716e-05,2.8559198339636045e-05,5.161634843747956e-05,5.16222922764249e-05,4.245041670253914e-05,1.825996965027658e-05,3.408653992578427e-05,3.855659154244352e-05,5.001463283715712e-05,7.031987661849635e-05,8.358784301100208e-05,4.6602583260888215e-05
uj0008,6.742756976668894e-05,6.714412345112642e-05,8.01901704892998e-05,5.068047476264492e-05,0.0001102542002739,2.812764260840327e-05,6.156142521713477e-05,0.0001607475767752,8.621851730572737e-05,2.0464671357305675e-05,9.018233513651851e-06,6.618731490020985e-05,9.698853881140164e-05,5.612172451348994e-05,7.827736604212307e-05,0.3076158410217619,0.0001030594064833,6.983087976082424e-05,8.048608406129058e-05,3.7590278858046366e-05,5.8648139957289375e-05,0.0001240234925664,5.808002054120407e-05,5.088963909141735e-05,4.470004499656527e-05,5.504651823767804e-05,6.618280953493163e-05,5.235189363248869e-05,0.000116311899341,5.1956454143934815e-05,5.028786495857292e-05,0.3049707625870511,6.942591637258017e-05,6.240832880372995e-05,8.321290369080653e-05,8.657957189245907e-05,0.0001043683825367,3.078056143820985e-05,7.519501833372718e-05,0.0002734793026748,0.000115553778255,1.9948395690409013e-05,5.542507573745207e-05,6.827392465835057e-05,6.187281009212792e-05,7.026276767349546e-05,3.826497245984304e-05,5.513770289971867e-05,0.0435268390661795,0.0001362024409639,0.338345824440848,6.94171289944544e-05,4.996562862107779e-05,7.082543517707146e-05,6.761009583752544e-05,7.931555039166953e-05,7.794838855146945e-05,6.297066688779844e-05,7.379898582729069e-05,5.122997897762524e-05,0.0001300556585535,8.041476823586795e-05,4.95915354461516e-05,9.414679497186013e-05,7.718084944680114e-05,7.446317719507934e-05,4.305202315639448e-05,3.4011768987188464e-05,7.3919317384716e-05,4.516782565539851e-05,8.163388199719647e-05,8.164328248099205e-05,6.713749447085284e-05,2.8879071318045662e-05,5.39095976803677e-05,6.09792118092659e-05,7.910068725816592e-05,0.0001112144637059,0.0001321984278106,7.370435720170909e-05
uj0009,8.773818053477729e-05,8.7369354191298e-05,0.0001043451466492,6.594650615021738e-05,0.0148371802108899,3.660028373754284e-05,8.010502912041099e-05,0.0002091681482876,0.0001121893590853,2.662906339862205e-05,1.1734716272044272e-05,8.612433465896112e-05,0.0001262035389601,7.302677546181141e-05,0.0001018561650279,0.025586506059675,0.0001341030804332,9.086541835272172e-05,0.0001047301956505,4.891326625313504e-05,7.631420069574639e-05,0.0001613819928406,7.5574951690239e-05,6.62186752006929e-05,5.816464439385503e-05,7.162769430456771e-05,0.0147798335847181,6.812139175055878e-05,0.0001513475045599,6.760683752062923e-05,6.543563396561122e-05,0.0001041013622764,9.033847142299144e-05,8.120703798760508e-05,0.0001082783910514,0.0074595167272213,0.0001358063477716,4.005231785413754e-05,9.784534896791988e-05,0.0003558570554098,0.0001503610213611,2.595727457656265e-05,7.212028133347729e-05,0.2204945661634653,8.051020970859593e-05,9.14274000433544e-05,4.979119184417926e-05,7.174634571626482e-05,0.1668409073564444,0.0001772294981996,0.3888347432008951,9.032703710063496e-05,6.501633322480386e-05,9.215955490494328e-05,8.797568732036619e-05,0.0001032070724713,0.000101428092556,8.193876420156032e-05,9.602880193076634e-05,6.66615326621529e-05,0.0001692311748625,0.0001046373979894,6.452955526985053e-05,0.0001225058017453,0.000100429354432,9.689306179269409e-05,5.6020203503600746e-05,4.425683348859658e-05,9.618537989948068e-05,5.877333048527729e-05,0.0001062237346119,0.0001062359667203,8.736072842189811e-05,3.757805867461598e-05,7.014830921837594e-05,7.934744071456869e-05,0.0001029274880156,0.0001447146134507,0.0001720193915604,0.1543799143507866
uj0013,4.4542004198918605e-05,4.435476228850067e-05,0.0075125248572849,3.347903428066513e-05,7.283286448770558e-05,1.8580850229428384e-05,4.066688551880284e-05,0.000106188303456,5.695512344793837e-05,1.3518765108703698e-05,5.957358339056663e-06,4.372270376051348e-05,6.406969608919025e-05,3.707347154257633e-05,5.170927528595322e-05,0.1360720985042328,6.808005289530416e-05,4.61296076706214e-05,5.316833317020443e-05,2.4831776742468264e-05,3.8742397290535305e-05,0.0038117047274569,3.8367103067351536e-05,3.361720622491112e-05,2.9528419885488503e-05,3.6363200616045366e-05,4.3719727559534645e-05,3.458315751358509e-05,7.683452224011025e-05,3.432193399002446e-05,3.3219680019462745e-05,0.223839409146849,4.586209275050802e-05,4.122634188421434e-05,5.4969643996144906e-05,5.719363263600327e-05,6.89447498890076e-05,2.03333428977169e-05,4.9673106029891386e-05,0.0001806577975479,7.633371474084763e-05,1.3177718367700269e-05,3.66132720601566e-05,4.5101098101733294e-05,4.087258337292121e-05,4.6414908672662965e-05,2.527747284790699e-05,3.642343632695033e-05,0.092159603344605,0.0075495260245419,0.5032411981314104,4.5856287893018265e-05,3.300681379356411e-05,4.678660141486912e-05,4.466257916612777e-05,5.239508988399907e-05,5.149195591910155e-05,4.159781701506156e-05,4.875090038050075e-05,3.384203148100422e-05,8.591351741478073e-05,5.312122262170898e-05,3.275969143951805e-05,6.219246743522736e-05,5.098492696727568e-05,4.9189658811144107e-05,2.8439752505382784e-05,2.2467847533019443e-05,0.0224274863955748,2.983743129049716e-05,5.392655744934622e-05,5.393276731854578e-05,4.435038324787676e-05,1.9077236809219e-05,3.561216182860605e-05,4.028228094017582e-05,5.225315336414783e-05,7.346720527686076e-05,8.732901018094267e-05,4.868838962039805e-05
uj0014,6.058604219747936e-05,6.033135571693717e-05,7.205368768144403e-05,4.553818850631064e-05,9.906727549818148e-05,2.52736758552172e-05,5.531510506530078e-05,0.0001444373496382,7.747036925346112e-05,1.838822675504168e-05,8.103199894277665e-06,5.947162959242574e-05,8.714761225166423e-05,0.0254166373102567,7.033496563120296e-05,0.0176683073021223,9.260250030737648e-05,6.274550072790143e-05,0.1116836434335808,3.37761872330409e-05,5.269741582784164e-05,0.000111439468753,5.218694055733654e-05,4.572613000995763e-05,4.016456208880087e-05,4.946123207928347e-05,5.946758136331403e-05,4.704001712816979e-05,0.0203974783051268,4.668470084400036e-05,4.518541479314025e-05,7.18853467128546e-05,6.238162688499881e-05,5.607607771509664e-05,7.476971974268973e-05,0.0406637307375491,9.377866131518813e-05,2.7657416700768976e-05,6.756536783946355e-05,0.1321500226001991,0.000103829132648,1.7924334916015534e-05,4.9801379302961286e-05,6.134652182558524e-05,5.5594895323814765e-05,6.313356720267161e-05,3.4382423156569874e-05,4.954316470419153e-05,0.1304287511933995,0.0001223826821016,0.496798815296488,6.237373111678745e-05,4.4895874114029405e-05,6.363914373809715e-05,6.075004828976632e-05,7.126781077196701e-05,7.003936778895939e-05,0.015276307338776,6.631098354774613e-05,4.603193736411001e-05,0.0001168595819842,7.225549665362143e-05,4.455973824319361e-05,8.459420549575372e-05,6.934970691664033e-05,6.690778284475899e-05,3.868375652074549e-05,3.05607702932033e-05,6.641910568296596e-05,4.058487945799125e-05,7.335091323237328e-05,7.335935989758584e-05,6.032539934508557e-05,2.5948860971161897e-05,4.843966898426569e-05,5.479196584763157e-05,7.107474869189834e-05,9.993010595474796e-05,0.0051920269290085,6.62259564005063e-05
uj0015,0.0001242529209947,0.0001237305970732,0.0001477713486165,9.339202122287334e-05,0.0002031721813997,5.183253329287285e-05,0.0001134430164144,0.0002962194251737,0.0001588801532687,3.771150587423732e-05,1.661845236541835e-05,0.0001219674272349,0.0001787267328783,0.0001034189460808,0.2706602425562086,0.0362350586322377,0.0001899138933205,0.0001286816478175,0.0001483166467165,6.926991385392422e-05,0.000108074526871,0.0002285457013603,0.0001070276183562,9.377746116840008e-05,8.2371516260136e-05,0.0001014375974884,0.0001219591249218,9.647204735316948e-05,0.0002143350752456,9.574334673857686e-05,9.266853504153972e-05,0.00014742610644,0.0001279353969285,0.0001150036576298,0.000153341524599,0.0001595454907144,0.0001923260238291,5.672122963631109e-05,0.0001385664751754,0.0005039570950952,0.0002129380389928,3.676013301781718e-05,0.0001021351886262,0.0001258125510963,0.0001140168244339,0.041747323060294,7.051321316145903e-05,0.0001016056290614,0.1426363460090282,0.0002509885970225,0.4986370791232298,0.0001279192038875,9.207473036604946e-05,0.0001305143761212,0.0001245892729874,0.0001461596324851,0.0001436402794563,0.0001160399125293,0.000135993920398,9.440462636415996e-05,0.0002396615438327,0.0001481852286682,9.138536591365112e-05,0.0001734900771008,0.0001422258880425,0.0001372178665944,7.933460527234797e-05,6.26755740934815e-05,0.0001362156627439,8.323352438894705e-05,0.000150431764416,0.0001504490872644,0.0001237183814444,5.32172370930457e-05,9.934252420209e-05,0.0001123701360359,0.0001457636910024,0.0002049417177592,0.0002436101562493,0.0001358195424221
uj0016,7.276877039661403e-05,7.246287119353872e-05,8.654234647033075e-05,5.469507271810724e-05,0.000118987865242,3.035574281931332e-05,6.643794567140285e-05,0.0001734810189162,9.304822213622929e-05,2.2085757745604537e-05,9.732602942812642e-06,7.143027010772055e-05,0.0001046713790262,6.056734507138856e-05,8.447802132689378e-05,0.2405826393868973,0.0001112231437903,7.536245594334596e-05,8.686170050981263e-05,4.0567951371090834e-05,6.329388773031033e-05,0.0001338478768489,6.268076536078079e-05,5.4920805768672e-05,4.824090979889254e-05,5.940696751537871e-05,7.142540785489698e-05,5.64988911917239e-05,0.0001255254182648,5.6072127399881776e-05,5.427136276108474e-05,8.634015525850511e-05,7.49254138265956e-05,6.735193579227268e-05,8.980452215116525e-05,9.343787726414556e-05,0.0001126358089393,3.321880969055062e-05,8.115150884170558e-05,0.000295142664246,0.0001247072434525,2.152858587072077e-05,0.176767741688668,7.368216835828584e-05,6.677399655610416e-05,7.582855538105359e-05,4.129609008300185e-05,5.9505375269932025e-05,0.0469747696536731,0.0001469915672217,0.5296686886941684,7.491593036599579e-05,5.392360082723832e-05,7.643579397083272e-05,7.296575506899742e-05,8.559844430554943e-05,8.412298424687056e-05,6.795881886794104e-05,7.964489115878155e-05,5.5288105303891295e-05,0.0001403578742169,8.678473547987338e-05,5.3519874273733e-05,0.0001016045295802,8.329464537789913e-05,8.036169571379167e-05,4.64623417248695e-05,3.670597378454104e-05,7.977475464791585e-05,4.874574518709349e-05,8.810041999427055e-05,8.811056512703011e-05,7.245571710589831e-05,3.1166695126071456e-05,5.817998704907428e-05,6.580961287006304e-05,8.536656102571712e-05,0.0001200241948835,0.0001426703805792,7.95427666309108e-05
