year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.011708604323763094,0.002541164820637929,0.0025055224916233506,0.00016032281598711828,0.00034877857686062866,8.897909680559077e-05,0.00019474365805007126,0.0005085095254616436,0.0002727440015001181,6.47380229885468e-05,2.852831586345193e-05,0.0002093772159224142,0.0003068139304839823,0.00017753568714963658,0.00024762293192206634,0.03868581685375171,0.009718249622872448,0.00022090328353367228,0.005432754025346865,0.00011891323805643798,0.00018552775984036573,0.026008705571039015,0.008440508719056803,0.000160984487258955,0.0001414043006140752,0.0001741343753286317,0.0016055454049595816,0.00016561018910592507,0.014731261063961993,0.003031773533542945,0.00015908083256713877,0.00025308123997112435,0.0002196222207362405,0.009031834692561472,0.006757160543943855,0.020125318779809456,0.07991255851323413,9.737135081212645e-05,0.00023787222088835682,0.0018209302765312184,0.00036554328298170515,6.310483448488203e-05,0.0001753319056331608,0.0033386479672085217,0.020023772096681547,0.03227502599250668,0.00012104756648714851,0.0001744228292521849,0.08105895183966144,0.00043086334494551234,0.5390197043820898,0.0002195944227092317,0.00015806146885194731,0.0002240494641039018,0.00021387804681383008,0.00025090712843389213,0.000246582243216107,0.02600593017240119,0.0033641997012176603,0.0001620611198123255,0.001367223348718187,0.0045082628164296165,0.0001568780610104313,0.0002978243466885897,0.00024415420695132246,0.00023555711171163878,0.0001361909417522676,0.00010759296565921407,0.00023383666341853006,0.0001428840798158123,0.0002582409478807401,0.014413002183192707,0.00021238301776565883,9.135616938250737e-05,0.0001705378363033876,0.0001929018818336469,0.005922065320051801,0.015965166086308016,0.0004181970337676116,0.00023315665751830336
1955,0.0001506549557209961,0.0001500216451587311,0.0019591577343087124,0.00011323653970778676,0.0009399200534340981,6.28462328742851e-05,0.0001375480952717135,0.00035916197402833974,0.0007929514925694462,4.5724681578290956e-05,2.0149644653991297e-05,0.0015503751488716736,0.002655963864469823,0.01029315538102576,0.0006627489351835212,0.14059048601791266,0.001221445581511886,0.00015602472600936195,0.0018683069132665762,0.0032002154067999784,0.009829287874921409,0.000657944563578424,0.00012976951346735274,0.00011370388033415463,9.987432919480205e-05,0.00012299169014080461,0.0001478737595686207,0.00011697102897825026,0.0002598783273027468,0.010959107152760954,0.008871588421948436,0.00017875212397458652,0.00015511990708239057,0.00013944035125512834,0.00198685897065425,0.0031249187394350574,0.00023319265552885232,6.877370987246772e-05,0.0001680099430649156,0.0021177282079679186,0.00025818444008365307,4.4571155090457706e-05,0.00012383750978940192,0.0015396991481517737,0.00013824382959397592,0.0001569897030148383,8.549629997862034e-05,0.0001231954261091879,0.04661825437315868,0.11998769035072109,0.4892934252088241,0.011945902153719424,0.00011163934268321823,0.00015824688384057613,0.046972625731309364,0.0001772165417438277,0.007294109896685313,0.002116712892229662,0.00037384215638324483,0.00011446430949783163,0.0010168549883574495,0.006182787494617236,0.00011080349777735276,0.0011860583942767862,0.002318560845265716,0.0005472108215255347,9.619211644091984e-05,7.599327053440087e-05,0.00016515961536287758,0.00010091950218097867,0.0007827079374214016,0.00018241744659713242,0.0019509413174953315,6.452516716437388e-05,0.017539501901294927,0.0001362472425865735,0.00017673646814816356,0.016273132058840796,0.016882343061184992,0.0001646793249272925
1956,0.00016435071302793274,0.00016365982939934863,0.004033301071747672,0.0001235306595307428,0.00298774351343366,6.85594651339611e-05,0.04229463636901122,0.00039181271031936,0.00021015253618717999,4.988142596706643e-05,2.1981410769362445e-05,0.00016132766515082324,0.05726457750109456,0.00013679338395354776,0.00019079644969389822,0.13937693692310926,0.00025120120743456003,0.00017020863898508097,0.00019618006922198856,9.16240812862828e-05,0.000142951372162665,0.00030229992725598,0.0001415666146897203,0.00012404048521025705,0.00010895371571280578,0.06242433545568986,0.0001613166835894183,0.00012760464416310252,0.0002835033749027,0.00012664078379966435,0.00012257369635584143,0.00019500214174761633,0.00016922156467944881,0.0001521166100641544,0.00020282653078008002,0.00021103258538626002,0.00025439175914016,7.502579786390919e-05,0.00018328340947267865,0.00066658962422236,0.00883931652864302,4.8623034566233575e-05,0.00013509534376809416,0.0015259163638651002,0.00015081131488006998,0.005609272183625899,9.326860703315367e-05,0.0001343948894739498,0.06566851318289402,0.0041698276679556405,0.5038292570168694,0.00016920014596503215,0.00012178826434317892,0.007848317357693944,0.04650018672008018,0.00019332696263827463,0.00018999458651915694,0.00015348727588233927,0.0001798806628122833,0.00012487004355209492,0.00031700297505250004,0.00019600624111578438,0.0001208764343565557,0.00022947724404808,0.00018812375535073888,0.000181499589984952,0.00010493675995638446,8.290167514160793e-05,0.000180173963866004,0.00011009390339990271,0.0001989777587995709,0.0001990006719228261,0.00016364367165201433,7.039102816740188e-05,0.0001314014556430521,0.02296906263270862,0.00019280324645932012,0.00027107867705052004,0.007997910397082541,0.005884757363831516
1957,0.016468642735165587,0.0012061080989011375,0.003240733840653058,0.000984893004552447,0.013309091383358833,5.372630131973687e-05,0.00493929131081068,0.001314893160651637,0.0013818062870326775,3.908934406837422e-05,1.7225628819015252e-05,0.0001264236634893153,0.0006185221375150716,0.005169842762998553,0.0012171221055010937,0.11339963671050304,0.0027654221420713274,0.004190935676032854,0.00520408555297101,7.18007789254589e-05,0.00011202316820699409,0.005994338423247709,0.00011093800954797461,0.0030120492356667627,8.53810651651827e-05,0.00010514375010425541,0.00036564640736214094,9.999677723143139e-05,0.0007172023117021272,0.0005610784824760398,9.605429872332239e-05,0.00015281250816434743,0.002619799414404262,0.0008368995122024139,0.0052904743687352965,0.07539295269554674,0.02449999842677508,0.0011453567345587543,0.005830145149993708,0.004883921225671273,0.001194414998134367,3.8103211585467345e-05,0.0007216098370143967,0.0010137929758746757,0.0005880954253860779,0.0003318355417431524,7.308950376646957e-05,0.00010531792092605798,0.07431909905445584,0.015905336030039758,0.46937810602724384,0.001102518630626148,0.002881961619190777,0.0025600972228486786,0.00012914130173631306,0.0018261192086115137,0.012329452036875745,0.00012027957943790501,0.00041319359929126425,0.00029548122102508934,0.0014828085915087486,0.020906277727184466,0.0005279896417810331,0.0032047106355864332,0.004633328816097451,0.00014223129719417141,8.223319674268075e-05,0.00030419685603284196,0.0006111053267014043,0.0008642719372667098,0.012614418690782721,0.0001559459374670602,0.013459699362382067,0.0011137871090344024,0.005300805825655386,0.00011647572295751339,0.016151197984306156,0.004176108040064997,0.015607677353205698,0.005586180411405636
1958,0.015029472180674415,0.0004754404717907976,0.0029608995477529323,0.00010436816486878059,0.00035740722541104363,0.0005425335408657259,0.0008785769017149095,0.0006653876907461558,0.0016998545322852523,4.2143650078420476e-05,1.8571579816216086e-05,0.00013630197084931006,0.001765860591121477,0.006063563894855458,0.0006829790124013465,0.13008918121028018,0.03931966960079508,0.00025968662289135565,0.007419577751465477,0.0022382262083133044,0.00018241138304014065,0.0046690605212883225,0.000562719636346979,0.003015567962159036,9.205244599014798e-05,0.007176226886236244,0.01811256018616338,0.00010781017919460619,0.0008203484343586336,0.00010699583611810501,0.0003583030881334656,0.00027620418056829187,0.001983935236372051,0.0009546205467121796,0.0008693985282396729,0.002326350550271693,0.002520389050938114,0.0061327263498209056,0.0001548518656843849,0.0030540662854965633,0.010533942633765808,0.00013296251818959768,0.0007700838473861738,0.02631082764043766,0.0017278205557018375,0.0007247630785947599,7.880046453968317e-05,0.00011354709863462728,0.10793927925144844,0.010780706007530689,0.4538709199425227,0.0031830133228558746,0.002510310379438754,0.0012866059717902868,0.00047317549596540145,0.0017695767755201307,0.008342850959823291,0.0005499767188946696,0.0025268580329737833,0.001931763307935744,0.00026782839895658653,0.00016560108855397302,0.00032368232951286317,0.007457935309423483,0.000467629241431839,0.011464508732633173,0.00898078094407861,0.0002990571076939558,0.0001522247678208955,0.0007800620281821759,0.002329492862890124,0.03156854047520286,0.00324839003901952,0.0042654445937881195,0.0001110180164070085,0.0036640779243490955,0.0013836798640415576,0.001803792630254152,0.021330386047284062,0.00015178209241333826
1959,0.0004804805317986342,0.00016680234803951235,0.0005981287162731795,0.0003167731751895306,0.00027389827347001395,0.007840560898640974,0.012225504630458935,0.0022817007880703223,0.0009470835756582788,5.083922551674278e-05,2.2403487422707094e-05,0.0004773994367859519,0.004535789520868527,0.00035186265268891673,0.00019446003288252288,0.1260057001629558,0.005925416199574607,0.00017347690476961255,0.000199947026126582,0.007622092401171281,0.0019064982689285797,0.01455787875060939,0.001965171076964553,0.0006086807755371194,0.0003521750552293847,0.00951543372204422,0.006623090897126051,0.00013005484818891854,0.0015488725468153777,0.00044921830062141495,0.025086374593940284,0.008121092806295865,0.00309728699341573,0.0013618170857279345,0.0024305809420332625,0.004070502345473897,0.0089144402366682,7.646640775055933e-05,0.01189054423404728,0.0054904816695294295,0.002207938637611017,4.955667107939156e-05,0.006598125543246703,0.008919001777312533,0.0007478300902938755,0.004816664215090929,0.006775528349281266,0.007860574058922857,0.11971665062872008,0.001565123219336336,0.4142544337627334,0.00017244904714356176,0.0001241267849945564,0.03536261875627302,0.00551331352871494,0.0003987505918352064,0.001474226054257535,0.008532053834118921,0.00018333464622391168,0.00012726773907031049,0.0003230899162508759,0.0035004294648378577,0.00012319744647978982,0.004037195783557397,0.00019173601872666,0.017142059184790025,0.00010695170599054585,0.006252454311968366,0.00398798236108565,0.00011220787446340641,0.002457940406042861,0.0002028217887064296,0.00016678588003876676,7.174264339837378e-05,0.0013441933020205796,0.00015148720675142407,0.0058964153031452375,0.0015844717302123089,0.04329978913874192,0.004760499051218695
1960,0.0005786525891561748,0.0001337823759862176,0.002892482129743965,0.00010097911747691814,0.000995563923127285,5.604336858730927e-05,0.00012265904015622576,0.00046411069327949235,0.002675360833511125,4.0775159719681e-05,1.796852270375169e-05,0.000946330651711447,0.009597224027752978,0.0006594842038534108,0.003057965436964122,0.06771586014601973,0.0326711469832878,0.00013913564629987376,0.0011353060598203453,0.0029070316547936976,0.04236606038630475,0.0012014192602402335,0.00011572246007479684,0.00489435151653169,0.00487078555833895,0.0003534133807828884,0.001386282299630811,0.0025476734149615554,0.02125665972845547,0.0010325374873382033,0.0009879748797742346,0.00015940289038025073,0.01576725362882469,0.00012434646666836425,0.00016579887257849832,0.001101522868610158,0.0026550553221887214,6.132921887632923e-05,0.012140057182698701,0.00158319848195102,0.011507696170317916,3.974649806127991e-05,0.001671559076752451,0.0012646119846152987,0.000410932721792026,0.0001399961682360764,7.624165257665742e-05,0.00010985999252362754,0.07774240436492322,0.017455335724812712,0.45417144580542657,0.011988952470761807,0.0012224398973326046,0.00014111726404683551,0.016470473458319604,0.0018010242745264684,0.001968849657955126,0.00012546690612199774,0.0005909309742735646,0.016188588644722838,0.001969633462300084,0.00016022368311659476,9.880944302773076e-05,0.004484855858693306,0.005129470102687685,0.019078938754173897,8.577968782433635e-05,6.776728971542021e-05,0.00870167764862247,8.999535214289896e-05,0.00909949821364876,0.02532769492117255,0.00557151367563286,5.7540564663352624e-05,0.006147407009277716,0.000436180589376424,0.013349858336969696,0.00022159102589877882,0.040427061747618,0.0027281210561747745
1961,7.798323149963399e-05,7.765541218595412e-05,0.02593772218171658,0.0005409190213395243,0.0002769156749019499,0.01503811298696089,0.005463298406362125,0.0007809785866500778,9.971586723165235e-05,2.3668377928243958e-05,1.04300213435907e-05,0.0018812361160636328,0.00037859855159359595,0.0003544789813860019,0.019279825815698686,0.0755680400635752,0.00022989372038257724,8.076277524245031e-05,9.308603213149489e-05,0.0009935016290246704,0.0020205748135714574,0.0047190111389020534,6.717234067668246e-05,0.0005295163829572591,0.02163945216333109,6.366394918030726e-05,0.00025701233625284196,0.0021644816590409483,0.006298097572083103,0.007237845220217426,0.0020997801476656083,9.252711401527421e-05,0.00022969579842956872,7.217823761774106e-05,0.0025025963396989653,0.00010013344424826345,0.00322032256740708,3.5599201582241645e-05,0.023846064329486463,0.000316291983303703,0.00013364350919815125,2.3071280257535254e-05,0.0005714259685094214,7.896208168919396e-05,0.0018089879106575136,0.004284252337792243,4.425528335054775e-05,6.376940863307591e-05,0.09759569153076872,0.0027427200436274334,0.5015612911173432,0.013645735015251315,0.0001839964444033448,0.0017581055576551918,0.00040463130588258805,0.006964195864543928,0.0025013389258691575,0.03006900228852588,8.535208099775502e-05,5.924993773552419e-05,0.002348820495973695,0.010929878656313122,0.000703897288017915,0.043906348618090764,0.002408770040457844,0.00037569175466934497,4.979173800791195e-05,3.9336248715740315e-05,0.020095118277328915,0.00044429174266687855,0.0010642269494100613,0.006584526754719683,7.764774545104453e-05,3.3400036689480046e-05,0.006332308997785358,0.0022082754246143207,9.148375401305652e-05,0.0005768290314980788,0.005946576201317571,0.006504262158679621
1962,0.0011554917290022909,0.00013083612009682282,0.010775783302234849,9.875527956569954e-05,0.004413428915248655,0.002845942730580487,0.00011995775071669643,0.0038017847751703857,0.003576275138129783,0.006457839161293417,1.7572806411159546e-05,0.0004639019760207343,0.001141256956213133,0.00010935802436728557,0.00015253020425243108,0.13597405405405194,0.0002467625358580481,0.0024508172715675294,0.005331979602967223,7.324790296390764e-05,0.011472117253361423,0.011973493327779956,0.00011317393320782096,9.916285431435256e-05,0.0014144964162938372,0.0001072628921323127,0.004051543718448783,0.00010201218350229319,0.0015062932446044768,0.00010124163552644201,0.01296093130030056,0.005313772387874671,0.0037678972957309923,0.0001216080154557472,0.0033373773642120905,0.0001687077689575985,0.0013944169871490308,0.00042569059057811847,0.00037515367264213446,0.003989084745321664,0.01907725871906976,0.0006614462398696622,0.00010800054409585462,0.0026913780076754765,0.002188638401706261,0.00041228956102254204,0.00048737770059346073,0.00010744057331691586,0.17225351585036994,0.005261968446834973,0.47356617487666536,0.012236969678606028,0.009764556955538841,0.0034873122734717247,0.007627242818462084,0.0021641348759029546,0.004677333449546104,0.00012270377975082345,0.0016884495129773937,0.004791874089927545,0.0043762752499142445,0.00015669511691703868,9.663338731559229e-05,0.0015629743398653782,0.008838943694272816,0.0007519032800110849,0.000999115637610491,0.0005907222301260399,0.0005568532691882322,8.801340695531271e-05,0.0008932209747562975,0.0001590889829630083,0.0019586492822682546,5.627336316339545e-05,0.00010504750429297427,0.006452482607500738,0.0034074233597045944,0.0013870233595949131,0.0007599954672692859,0.0012935853067976393
1963,0.001716000861509073,0.0001114375585724037,0.00013308978301483556,0.015365434360607413,0.003331862640930329,4.668280200216583e-05,0.016534062201099962,0.00958164479204798,0.0022895075654942886,0.010330455766800042,1.4967354903796834e-05,0.008339013210930817,0.005412037672061759,9.31439363745472e-05,0.0024032932103134974,0.11146426396598746,0.0012691950587748232,0.02346956458983241,0.008212966652318252,0.013330612943874385,0.0004051298222022696,0.0026620505209924788,0.0007062388596605027,0.00026924847057997303,0.003600690104546365,0.03895229859208032,0.00010984208795879666,0.0005034956659139557,0.002129995247401583,0.0001675872817976452,0.0008423915100353305,0.002035515724353958,0.00011522459784352884,0.0035730865470341004,0.01024412582642338,0.0006163724430493983,0.0005632936969543669,0.011190483987730964,0.003404553334421604,0.05790602381582297,0.00019178195009033523,3.310789386942779e-05,0.007198537311515657,0.007920176917667533,0.00010268888093682982,0.00011661350071497231,6.350749537849095e-05,9.15107783171477e-05,0.16404972706642332,0.0023024042597301776,0.39475365056508616,0.00011521001363399734,0.0021986403272894113,0.007381979970726045,0.00405910229888151,0.00013163819613949682,0.0016904041721324007,0.0013034811732178671,0.0001224824807147647,8.502521873172289e-05,0.0023101636478897944,0.0026717889192184145,0.0009496831511573283,0.00400771964694525,0.0001280952820414093,0.00029811092889272915,0.00231746279477999,0.0015206481918108728,0.0009349275253583234,0.0010140184955181985,0.0006590641929131079,0.001044622163807846,0.0010342569356508416,4.792993096207243e-05,0.002472932699789499,0.00010120579640361477,0.00323466081054429,0.003140572220509715,0.003981871545770442,0.00077170958458339
