,Number,Score,Rank
0,0,"0,01194",44.0
1,1,"0,01189",45.5
2,2,"0,0142",25.0
3,3,"0,00898",65.0
4,4,"0,01953",13.0
5,5,"0,00498",77.0
6,6,"0,0109",52.0
7,7,"0,02847",5.0
8,8,"0,01527",19.0
9,9,"0,00362",78.0
10,10,"0,0016",80.0
11,11,"0,01172",47.5
12,12,"0,01718",16.0
13,13,"0,00994",56.0
14,14,"0,01386",29.0
15,15,"0,48265",3.0
16,16,"0,01825",15.0
17,17,"0,01237",39.0
18,18,"0,01426",23.0
19,19,"0,00666",73.0
20,20,"0,01039",54.0
21,21,"0,02197",9.0
22,22,"0,01029",55.0
23,23,"0,00901",64.0
24,24,"0,00792",70.0
25,25,"0,00975",59.0
26,26,"0,01172",47.5
27,27,"0,00927",61.0
28,28,"0,0206",10.0
29,29,"0,0092",62.0
30,30,"0,00891",66.0
31,31,"0,01417",26.0
32,32,"0,0123",40.0
33,33,"0,01105",50.0
34,34,"0,01474",20.0
35,35,"0,01533",18.0
36,36,"0,01848",14.0
37,37,"0,00545",75.0
38,38,"0,01332",32.0
39,39,"0,04844",4.0
40,40,"0,02047",11.0
41,41,"0,00353",79.0
42,42,"0,00982",57.0
43,43,"0,01209",42.0
44,44,"0,01096",51.0
45,45,"0,01244",38.0
46,46,"0,00678",72.0
47,47,"0,00977",58.0
48,48,"0,70915",2.0
49,49,"0,02412",6.0
50,50,"1,92531",1.0
51,51,"0,01229",41.0
52,52,"0,00885",67.0
53,53,"0,01254",37.0
54,54,"0,01197",43.0
55,55,"0,01405",27.0
56,56,"0,01381",30.0
57,57,"0,01115",49.0
58,58,"0,01307",35.0
59,59,"0,00907",63.0
60,60,"0,02303",8.0
61,61,"0,01424",24.0
62,62,"0,00878",68.0
63,63,"0,01667",17.0
64,64,"0,01367",31.0
65,65,"0,01319",33.0
66,66,"0,00763",71.0
67,67,"0,00602",74.0
68,68,"0,01309",34.0
69,69,"0,008",69.0
70,70,"0,01446",21.5
71,71,"0,01446",21.5
72,72,"0,01189",45.5
73,73,"0,00511",76.0
74,74,"0,00955",60.0
75,75,"0,0108",53.0
76,76,"0,01401",28.0
77,77,"0,0197",12.0
78,78,"0,02341",7.0
79,79,"0,01305",36.0
