receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumannSabine,6.951232736115342e-05,5.483105506030313e-05,4.261658577934566e-05,5.8979615577595095e-05,0.0069826147941768,0.5315479800820342,6.604539786334215e-05,0.0002747389806303,3.099366311104845e-05,6.833849392949715e-05,8.790765911362097e-05,6.883973654815455e-05,5.966667968273272e-05,3.455623947545635e-05,6.789387584974404e-05,6.43391223932889e-05,6.638774944731978e-05,3.104822718128848e-05,2.210804117002337e-05,0.0760444389798356,3.009131478082556e-05,0.0650252749547783,3.9140064890900055e-05,0.0001209780230749,3.1807016587450274e-05,5.87204342998815e-05,3.681369345077288e-05,4.0037355891851616e-05,4.886124565184529e-05,5.599780840555791e-05,0.0001267212313037,0.0001642419740751,4.840338576659124e-05,7.3996509820131e-05,6.487995090735192e-05,6.400457096195124e-05,7.12546146035467e-05,5.611332741590141e-05,3.852995488145082e-05,5.654788849258261e-05,0.1226977337380302,5.0341519803631824e-05,7.62868845574848e-05,5.898434273964139e-05,5.541475862222812e-05,3.005595411435997e-05,0.0001244924367629,9.010270090172244e-05,4.767117033784866e-05,5.933952548613689e-05,6.877233236009028e-05,3.056612835574656e-05,4.6262617327453023e-05,6.833364796283219e-05,4.782218823620514e-05,3.580800692910058e-05,4.582680569370212e-05,4.843558984021938e-05,0.0001174030187564,4.475843255566159e-05,8.677284354737716e-05,4.701087491678389e-05,4.7243521342108246e-05,6.303681190488968e-05,9.678074087563277e-05,0.0001126344578796,9.149978516049454e-05,5.0502584245487966e-05,4.919217405141143e-05,3.816133091626299e-05,3.8322280981639374e-05,8.627879245998818e-05,8.62631256731776e-05,3.676541769468709e-05,5.234206247078776e-05,6.830771342454338e-05,6.54648507599969e-05,4.721707835325971e-05,1.7336672209177608e-05,2.934605234361764e-05,4.089156039838131e-05,4.574433590568709e-05,5.0003876830751936e-05,6.3803266566738425e-06,4.963923919913008e-06,5.42422566666676e-05,2.5206802519255347e-05,1.2329627863116836e-05,6.782430527894995e-05,4.569779381230594e-05,5.50808094021191e-05,6.288556329782103e-05,3.237424934281444e-05,0.1921308956692225,8.116229069739176e-05,5.742938039764616e-05,3.3922866668531826e-05,4.8401965746562256e-05,5.807977685188481e-05,3.5339021674639075e-05
BaumgärtnerKlaus,0.006468646353581114,0.012186415464782057,0.0007906878946088782,0.00020630558006381298,0.0024959935152354634,0.00045578958397486245,0.002141748886269774,0.03755458344912774,0.00022321664646148985,0.014633935014114252,0.0009809131950213668,0.0003280322357131667,0.0007731774401492085,5.3771349191155135e-05,0.001640429617544163,0.00027191033653049964,0.00010330287414757046,4.831269521433893e-05,0.00037723297952845864,0.025413967001239577,4.6823688551237865e-05,0.07795407549244278,0.015433953354639235,0.0005610742234075936,0.007798088720095049,0.00022059363464590277,0.0014504784342062199,6.230025827550868e-05,0.000514118082889329,8.713557248765561e-05,0.02265142075541267,0.0029688548842293477,0.0015182608991398483,0.006146869780457742,0.00010095665930958207,0.00029916944175023097,0.003071000160644938,0.0077087533143985225,0.005834586904955466,0.01247445067725468,0.3794173250431653,7.833408615242387e-05,0.009306105487187931,0.004090470791800417,8.622831596984037e-05,0.0005768087879520874,0.00156060048885934,0.0020152873514115363,0.0004244845674528215,0.0005870605025002479,0.00799258629106517,0.0003153252591096551,0.007566834749237125,0.0005657497653847404,7.441387204647315e-05,5.571916602185494e-05,7.130895053037459e-05,7.536835761389242e-05,0.00040797909598519445,0.0005868901635700262,0.0011257845010832985,0.0004459774011647948,0.0004595170035703647,0.0031861171811116444,0.0012082382990891522,0.032700570001801064,0.03259369286403153,7.858471100272294e-05,0.00025153449879111196,5.938106349086196e-05,0.0007336584495036432,0.0020642722366940387,0.00013423001817622118,0.012158012987263432,0.003231246442337747,0.00043148076260740803,0.00021500624942241394,7.347228883867117e-05,2.697678535983271e-05,4.5664020504066315e-05,0.00028441290511993517,0.005414162157289325,7.780869570276918e-05,9.928128112821608e-06,7.724130012629735e-06,0.009135560223565953,0.0003895288146085413,1.9185557667395833e-05,0.0018676105333914506,0.012290211767009711,0.0012972005110614268,0.0016659490547954827,0.001702632852849748,0.1663265628208344,0.00316498460834308,0.00021501263122508004,0.009006782536190604,0.0004944868284793459,0.0054456299331992215,5.49893999863737e-05
BaumgärtnerKlaus+BaumgärtnerSabine,0.0007207532835548272,0.0012738712132100048,0.007993530724550535,5.997468287562101e-05,8.162899920862282e-05,6.893308716376342e-05,0.0009778430224581796,0.012212080736982928,3.151656886935149e-05,0.007188405477850171,8.939078232446257e-05,7.000115765904167e-05,6.0673338697927946e-05,3.513925080077952e-05,7.975211334206186e-05,0.005862980398069778,0.001314417965082141,7.046666730502699e-05,2.2481034255454688e-05,0.00012070004135606262,0.0022052921904128255,0.16413481173484826,3.980041166043943e-05,0.003103972870052491,0.011684896705700519,0.00035915895968117756,0.005722197168381424,4.07128411956646e-05,0.03526844257600451,5.6942568512240144e-05,0.0017744096319898003,0.00047681049629870557,0.01711223662264876,0.004814112757181243,0.007040055305481274,0.0017615492386279844,0.005591910079107278,0.008209213223411772,9.714318050038526e-05,0.00657062170109992,0.31992761692522226,0.00705864309455073,0.0051113892962271,0.0002820416936939592,0.0015338176863157324,3.056303943116669e-05,0.0052662734687600144,0.00016864961940329175,0.013242152992781593,6.0340664959720243e-05,0.0005914558474630977,0.001906827841595369,0.0008173107505042006,0.001736115405438325,0.0008604269662982727,0.01713372463468532,0.00021152119468395545,0.008986142178259398,0.0007059096439740936,0.0005938092005341619,8.82368208575878e-05,5.8516787438693955e-05,4.804058457608762e-05,0.0013252523074386087,0.006704663340082605,0.0009182398591836316,0.026392329890324733,5.135463235662202e-05,0.0001566631818643596,0.008501639318190451,0.00028950116022070856,0.0003023382032375674,0.0011701157725693423,0.010338366602781788,5.322514511155274e-05,9.87140376639211e-05,6.656933290222973e-05,0.008672379984355804,0.02075369694233604,5.884390070654e-05,0.011347360382026451,0.013974381568816627,5.084751106134645e-05,6.487971549653296e-06,0.00647301570007888,5.515739819906523e-05,0.00020839728651163828,0.012006188107503214,0.0026568989248228745,0.013222692406484137,0.0004910511994655209,0.0028375234649848993,0.008713206670967491,0.12067514549656848,0.0003950926372201644,0.0030458717691623995,0.017024217271404685,4.9218573532195486e-05,5.905966263201263e-05,3.593523961313035e-05
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,5.693648730661572e-05,4.49112810484597e-05,3.4906595526148585e-05,0.1300811449507856,6.575174598298208e-05,5.552525304678036e-05,5.409677822423249e-05,0.0002250345093758,2.5386436813420664e-05,0.3053504587113907,7.20038230236855e-05,5.638557842842647e-05,4.887206743537017e-05,2.830448878565712e-05,5.561083835435189e-05,5.269919400672335e-05,5.4377193185945246e-05,2.543112941127425e-05,1.8108359383671287e-05,9.72232728113791e-05,2.4647337056582524e-05,0.2454836638019755,3.2059030281961616e-05,9.909125383471676e-05,2.605264224262953e-05,4.809701227213648e-05,3.015353491157791e-05,3.279398765751583e-05,4.00215011991732e-05,4.5866950921040814e-05,0.0001037954281133,0.0001345280963411,3.964647514933985e-05,6.060941277679363e-05,5.314217839517606e-05,5.242516803108882e-05,5.83635682176836e-05,4.596157078079495e-05,3.1559298477152866e-05,4.631751313182368e-05,0.1909574674119279,4.123397118331885e-05,6.248542379687084e-05,4.831317565064674e-05,4.538938373478899e-05,2.461837367391644e-05,0.0001019698564932,7.380174827881905e-05,3.904672865764624e-05,4.860410042190784e-05,5.633036868586966e-05,2.503624961508516e-05,3.789300436669543e-05,5.597104898583536e-05,3.91704251152281e-05,2.9329792417989224e-05,3.753603770344139e-05,3.967285301494955e-05,9.616302231482556e-05,3.666094955833106e-05,7.107431289885403e-05,3.850589074749045e-05,3.869644788670965e-05,5.163249134538429e-05,7.927162898403774e-05,9.225716681928974e-05,7.494607869020886e-05,0.0056949674464845,4.029255960473344e-05,3.125736420863404e-05,3.1389195952760366e-05,7.066964318725318e-05,7.065681076108881e-05,3.011399297595381e-05,4.287258517451895e-05,5.5949806401014224e-05,5.362126094499115e-05,3.867478883778871e-05,1.4200203829291258e-05,2.403690395921656e-05,3.349365354254073e-05,3.7468487957709227e-05,4.0957412973151845e-05,5.22602826707807e-06,4.065874384966693e-06,4.442900526317042e-05,2.064650754996872e-05,1.0099010160836009e-05,5.555385416073754e-05,3.743036603876884e-05,4.5115851021188365e-05,5.15086059178145e-05,2.651725394247799e-05,0.117796275875022,6.647879461809495e-05,4.703952970886586e-05,2.7785702778184625e-05,3.9645312032588845e-05,4.7572259526249617e-05,2.894565374789544e-05
BaumgärtnerSabine,0.010367671938911742,0.00010901530140825304,8.473044953479438e-05,0.000117263484389726,0.00015960235912041858,0.0001347791034981411,0.00013131169821160402,0.0005462370320812,6.162171276992361e-05,0.00013587084007989626,0.0001747783248713031,0.04054005375769682,0.0032265669188932177,6.87048399453553e-05,0.00013498684881029297,0.0001279192751686754,0.092197197873594,6.17301972511494e-05,4.395528718253338e-05,0.000235994702043675,5.9827660565633044e-05,0.07764504273176025,7.781841816700064e-05,0.000240528941760975,6.323882508490472e-05,0.00011674817923867334,7.319311808014782e-05,7.960241537100106e-05,9.714610481342673e-05,0.00011133504461694846,0.00025194760907314997,0.007908484532260975,9.623578613839253e-05,0.00014712012767817867,0.0001289945523707044,0.00012725411880639832,0.0001416686817204517,0.0001115647199299249,7.660539524596645e-05,0.00011242871582972433,0.3938605870696432,0.0775167264438738,0.00015167385899073752,0.00011727288295034196,0.08511618790554214,5.97573563610449e-05,0.00024751631172955,0.05767598462155077,9.477999278238304e-05,0.00011797905856779977,0.00013673339921213378,6.077168662761257e-05,9.197950260742713e-05,0.00013586120531149375,9.508024711249696e-05,7.11936085109515e-05,9.111302034554082e-05,9.629981439370764e-05,0.0002334211052824,8.898887701959396e-05,0.000172522080470017,9.346719104498561e-05,0.001647898445092725,0.00012533001675913048,0.00019241981802957167,0.00022394023535032498,0.00018192020283198268,0.00010040942012446189,9.780405785086764e-05,7.587249574900867e-05,7.619249724944444e-05,0.00017153980631637997,0.00017150865755434508,7.309713604780035e-05,0.00010406667736571773,0.00013580964216894587,0.00013015745236708546,9.387716546102929e-05,3.446883420757813e-05,5.834592710033418e-05,8.130074785137439e-05,9.094905361561312e-05,9.941788824401086e-05,1.2685388468189441e-05,9.869291438984257e-06,0.00010784465031865397,5.011625567214844e-05,2.451381058182158e-05,0.00013484852835055693,9.085651845770183e-05,0.00010951186389136299,0.0001250293037331031,6.436659929473286e-05,0.1375523935315226,0.00016136715906031927,0.00011418130121431469,6.744556584648344e-05,9.623296284943925e-05,0.004589475057716846,7.026117033673064e-05
BaumgärtnerSabine+BaumgärtnerKlaus,7.844088411806157e-05,0.002096405555135981,4.809050126112214e-05,6.655529121925791e-05,9.058558634704061e-05,7.64966394293605e-05,7.452864257318588e-05,0.014349350319478399,3.4974664621093336e-05,0.014116438586066106,0.057851529327315146,7.768190193426548e-05,6.733060572675198e-05,3.899483845746003e-05,7.661454953430381e-05,7.260320342446396e-05,7.491496773227459e-05,3.503623720934047e-05,2.4947723106510037e-05,0.0243836821585549,3.39564135641636e-05,0.14680341379352918,4.416743635311303e-05,0.0001365171250783757,3.5892489821478043e-05,6.626281923130279e-05,4.1542252598259166e-05,4.517998048877601e-05,5.513726059160019e-05,6.319048385740737e-05,0.00014299802347787394,0.0449450353014111,5.46205905912573e-05,8.350104035195142e-05,7.321349901389159e-05,7.222568031376814e-05,8.040696059498477e-05,6.332084078326182e-05,4.3478960360907626e-05,6.381121934419055e-05,0.40790434259990116,5.680766953359943e-05,8.608560378376918e-05,6.656062556475255e-05,6.253254385992151e-05,3.391651097356045e-05,0.0001404829499516358,0.0001016760017749373,0.023444862913672555,6.696142999349561e-05,7.760583997078738e-05,3.449221488202992e-05,5.220484973732802e-05,7.711080846664939e-05,5.396474076056674e-05,4.040739000768967e-05,5.171305999070156e-05,5.4656931138373064e-05,0.00013248292697117743,5.050745895995948e-05,9.791843869545372e-05,5.3049217766472206e-05,5.331174661541343e-05,7.113361680602846e-05,0.00649072194754055,0.00012710186514596202,0.00010325253544323697,5.698942200397116e-05,5.551069530781786e-05,0.06385816439365366,4.32446116499974e-05,9.736092889012748e-05,9.734324977259064e-05,4.148777603082727e-05,0.04684120235003165,7.708154274947669e-05,7.387352671406662e-05,5.328190713941335e-05,1.9563492511011706e-05,3.31154254014332e-05,4.614390385680967e-05,5.161999731634571e-05,5.642665778626798e-05,7.199851924267776e-06,5.601518403343951e-06,6.120943911698175e-05,2.844450690201955e-05,1.3913315049929625e-05,7.653604292563664e-05,5.1567477093068546e-05,6.215570031187298e-05,7.096294097182066e-05,3.6532581162404064e-05,0.14145981764548612,9.15872346824621e-05,6.480593505866884e-05,3.828011166240723e-05,5.461898817581866e-05,6.553987211464841e-05,3.98781656327502e-05
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,1.7579358554313277e-05,1.3866530058883188e-05,1.0777545080362772e-05,1.4915682570190106e-05,2.030110343798226e-05,1.7143634570777433e-05,1.670258749746316e-05,0.0681467545302141,7.838159610308186e-06,1.7282501298032465e-05,2.2231456173229847e-05,1.740926332788511e-05,1.5089438027855338e-05,8.739119334497303e-06,1.7170059362329444e-05,1.6271078016782786e-05,1.678916669103715e-05,7.851958621092974e-06,5.5910253247908445e-06,3.001805789969168e-05,7.609959729221499e-06,0.152599151475986,9.898348403462284e-06,0.0017761659391559,8.043853088513541e-06,1.4850136777314831e-05,9.31001940874984e-06,1.012526930845994e-05,1.2356791799841076e-05,1.4161596792789444e-05,3.204723602417016e-05,4.153606506272724e-05,1.2241001070396793e-05,1.871338836257693e-05,1.640785114359401e-05,1.6186471447133815e-05,1.8019975252118647e-05,1.4190811036935192e-05,9.744054294476984e-06,1.4300709601272377e-05,0.1270361238001175,1.273114655188006e-05,1.929261395119079e-05,1.4916878048455773e-05,1.4014146094686404e-05,7.60101717387749e-06,3.1483583793509143e-05,2.278657248280548e-05,1.2055827043723944e-05,1.5006702185986226e-05,1.739221710838669e-05,7.73003797141047e-06,1.1699610249487528e-05,1.7281275774606916e-05,1.2094018798828537e-05,9.055685758462687e-06,1.1589395424827094e-05,1.2249145337445674e-05,2.9690701497532e-05,1.1319208607950248e-05,2.194446636164767e-05,1.1888841267253512e-05,1.1947676513927209e-05,1.5941729484030208e-05,2.4475419103225383e-05,2.8484753651687624e-05,0.1414144018206346,1.2771879033171169e-05,1.2440482120862164e-05,9.650830932495712e-06,9.69153448848358e-06,2.1819523038080968e-05,2.181556097734739e-05,9.297810684658303e-06,1.3237074898465533e-05,1.727471704517248e-05,1.655576971600189e-05,1.1940989199606671e-05,0.4974921578309054,7.4214861721116705e-06,1.034129383057064e-05,1.1568539182079211e-05,1.264575814511932e-05,1.6135562460536098e-06,1.2553542909174587e-06,1.3717625562790785e-05,6.374688293653533e-06,3.1181080719807706e-06,1.7152465274269878e-05,1.155676889357823e-05,1.392969182157987e-05,1.5903479383717984e-05,8.187303730562827e-06,0.0084409132422702,0.0017660967174489,1.4523634985158988e-05,8.578942167451385e-06,1.2240641953644532e-05,1.4688117356927552e-05,8.937081472606594e-06
BierwischHedwig+BierwischWilhelm,0.012812922789923,5.063689794219488e-05,3.935674231291346e-05,5.446812525106387e-05,7.413425698698867e-05,6.260401632076784e-05,6.099342913390264e-05,0.0002537235460383,2.8622884496438763e-05,6.311112085706637e-05,0.0064555472067657,6.357402224200816e-05,5.51026341973779e-05,3.191295096656956e-05,0.1402987043869021,5.941767071117424e-05,6.13095934353037e-05,2.867327483186121e-05,2.041694479883909e-05,0.0001096180030501,2.778955892472481e-05,0.1620411588394146,3.61461487318029e-05,0.0001117241278862,2.9374022641239964e-05,5.422876936244059e-05,3.399772694674332e-05,3.697480382132587e-05,4.5123733378464106e-05,5.171440356382488e-05,0.0001170280245306,0.0001516787169227,4.470089627901497e-05,6.833634172677691e-05,5.991712997273175e-05,5.9108709910284506e-05,0.2231685376168465,5.182108625177816e-05,3.558270748034394e-05,5.222240672364133e-05,0.4447792120604902,4.649077785842253e-05,7.045152028201744e-05,5.447249082130196e-05,5.1175952637771765e-05,2.775690307929165e-05,0.000114969715757,8.321053214932257e-05,4.402468974065526e-05,5.480050479924459e-05,6.351177395975036e-05,2.822805288601009e-05,4.272388028230848e-05,6.310664556985596e-05,4.416415592269592e-05,3.3068967766316204e-05,4.232140491144437e-05,4.4730636986864514e-05,0.0001084225841056,4.133475416223587e-05,8.013538346161982e-05,4.341490187844134e-05,4.362975262830946e-05,5.821497703297317e-05,8.93777530470582e-05,0.0001040187817315,8.450075012798969e-05,4.663952210008296e-05,4.5429348281853696e-05,3.524228043432532e-05,3.539091904843351e-05,7.967912351070638e-05,7.966465511348263e-05,3.395314391744888e-05,4.8338294284184725e-05,6.308269482575549e-05,6.045728945192133e-05,4.360533232623544e-05,1.6010549137672557e-05,2.710130337444322e-05,3.776366820431715e-05,4.2245243432617474e-05,4.617896199531695e-05,5.892280376449731e-06,4.5842216358779165e-06,5.009313813063808e-05,2.327867456157495e-05,1.138650545905505e-05,6.263626371284112e-05,4.220226145406599e-05,5.086754798354912e-05,5.807529778967553e-05,2.989786642121567e-05,0.0053265259893348,7.495399507229286e-05,5.303647122749746e-05,3.132802634404814e-05,4.469958487967741e-05,5.363711731827626e-05,3.263585630347013e-05
BierwischManfred,0.014465868074189784,0.01148715070893716,0.005602733394715626,0.0006224510774856954,0.0004103585804409762,0.012943774562397144,0.0038317177584167813,0.03625569764660027,0.0010080731997495606,0.005534432774728524,0.0021278214272412105,0.004280327577525093,0.00019053803707716214,0.001006221579148045,0.006026226637836405,0.006960182093110593,0.007492187380847586,0.0061231082452886006,0.00023281619562035862,0.0011010991752236916,0.001213287234096905,0.11636128656306571,0.0040492692810801464,0.009649050120281876,0.002533507026684354,0.00638256374118572,0.0020386091110941797,4.422494774294428e-05,0.00044955644675108365,0.000518858098095257,0.0208301163131146,0.002884202138436542,0.003513583163920257,0.00015289157144600474,0.006925562059252282,0.007417293921194041,0.009564845571665296,0.00013585185475322717,0.003052536583090369,0.0003815163433142546,0.36612062334593864,0.0026823175283287545,0.0006046503521838994,0.006101178519921349,0.006014484434877198,0.00343422496155496,0.00027451010375400116,0.0019922774318680944,0.004133901431674842,6.554597213672703e-05,0.0008644151660211074,4.7212333260350286e-05,0.000246702354986085,0.0010083991441242979,0.009775362946877007,0.0034200363590653395,0.003827917272822701,0.003818060335817346,0.006529241053180024,0.0009711190929355819,9.584859903723962e-05,5.192784189247422e-05,0.0010337290612680437,0.00270428858083496,0.003996296814956419,0.0015750113930614225,0.01745187994713833,0.0033157326560458683,0.0010408405344472956,0.0001629684163968133,0.0022252719062627164,0.011732482834405642,0.010273926309661636,0.00029652532485989795,0.0035996644256398947,0.0003577222976875024,0.01228324989603487,0.005785652955342252,9.9446387654609e-05,0.0045816517791016234,0.00015059105977325093,0.0059179621097709655,0.0025598302482054153,0.002467705668785524,5.483111236194439e-06,0.0010733656412424768,0.0017912235659851687,0.00019007209368568788,0.01343713634050019,0.0016313363540833604,0.00801508557356433,0.002482914164927407,0.0035452559179768683,0.11113832700322149,0.0034613078365076655,0.00173268940060294,0.0013811392509378703,0.00045212073145318646,0.003303098001965477,0.004865659605670325
BierwischManfred+BaumgärtnerKlaus,5.082646037598692e-05,4.0091715429362535e-05,3.116066301765412e-05,4.312508598037303e-05,5.8695726939720814e-05,4.956666993962781e-05,4.82914890775677e-05,0.027993105529053902,2.2662141375814993e-05,4.99681694703737e-05,6.427687465376334e-05,5.0334671198384954e-05,4.3627457830679625e-05,2.5267048351253103e-05,4.964307082858017e-05,4.7043883856142684e-05,4.8541811860277744e-05,2.270203787560558e-05,1.6165096482538988e-05,8.678994888741486e-05,2.2002356652838763e-05,0.26158452335596316,2.8618678625952988e-05,8.845747120845103e-05,2.3256854282278702e-05,4.2935576184887896e-05,2.6917667736084118e-05,2.9274765499129394e-05,3.572667266831778e-05,4.09448294729053e-05,9.265682629484433e-05,0.00012009147879664999,3.5391891799958825e-05,5.410523308756338e-05,4.7439330247937494e-05,4.6799264438060645e-05,5.210039691143053e-05,4.102929538887718e-05,2.8172574554956306e-05,4.134704048796052e-05,0.2002196786581122,3.680902882552827e-05,5.57799236820741e-05,4.3128542416426286e-05,0.08127931588638392,2.1976501418505374e-05,9.10271622955011e-05,6.58818591033118e-05,3.4856505921101473e-05,4.338824716918466e-05,5.028538618054885e-05,2.2349533826555286e-05,3.3826591278790704e-05,4.996462616601274e-05,3.496692813710643e-05,2.6182323544846365e-05,3.350793178952991e-05,0.021414046327112628,0.008812943533929522,3.272675200417673e-05,6.344711307619346e-05,3.43737069654453e-05,3.454381484079996e-05,4.6091652288755314e-05,7.076475034013858e-05,8.235677077318739e-05,0.1347522779832069,3.6926796936347655e-05,3.596864297525986e-05,2.7903041767442e-05,2.8020726247748103e-05,6.308586969721084e-05,6.307441435757143e-05,2.6882369165356265e-05,3.827179818547774e-05,4.994566318731894e-05,4.7867000998046705e-05,3.452448009003051e-05,1.2676336939678868e-05,2.14574309803367e-05,2.9899348118533735e-05,3.344763101164077e-05,3.6562148914672334e-05,4.6652073425254564e-06,3.6295530879587245e-06,3.966119411955115e-05,1.8430868280296354e-05,9.015254787535482e-06,4.9592201781404854e-05,3.341360007130465e-05,4.027433237861367e-05,4.598106138170428e-05,2.367160709316776e-05,0.10010830422940575,5.9344753783350584e-05,4.199157527891479e-05,2.480393484180143e-05,0.16003222522901195,4.246713624579615e-05,2.583940795911199e-05
