sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumgärtnerKlaus,0.0012594178084646423,0.00021133746240251946,0.0059464426710858775,0.0064119520003339935,0.0034792167681913884,0.0017779343173511177,0.0015834177630647392,0.010076029811235801,0.0041010938314839235,0.0015119029686041544,0.0010022895560731957,0.0028889842920323907,8.966254861871503e-05,0.00025277966579389117,0.008200478349926517,0.00019889259508700102,0.0014407152551505391,4.665691461248208e-05,0.005978603949155154,0.038491380586609836,0.00014742759432837416,0.08004681196428509,0.009594352168104872,0.00023513585948446982,0.005191610056460551,0.004079124064025136,0.0073116986673306345,0.006853404938185684,0.00020042467113772362,0.009256594682522483,0.00605713268145677,0.0019051590367535757,0.0013428238329304268,0.003864149165969375,0.0064542211122263285,0.0002474907308403463,0.0003844336257322414,0.009367998743534124,5.7899886020220316e-05,0.007948507356460615,0.11277701315477412,0.010678600158899248,0.016604799901665763,0.0028844007008707287,0.008071696831585925,0.0004836050175897896,0.006992951274569952,0.0001353994866688728,7.163660942517156e-05,0.003908428143636921,0.01712074686932201,4.5932453160729746e-05,0.001675411134719432,0.001816657681474853,0.0005356002296451908,0.0001518107790253854,0.00334317791190843,0.007748685626058793,0.00040734287756202234,6.725956859773116e-05,0.023556981619174164,7.064436768138543e-05,0.014011677209836149,0.007625366506583568,0.004338445806342198,0.024224830593328778,0.0008963913422209221,0.004640958057518888,0.008677371443947013,0.004276231009368914,0.0018021075351319347,0.00029727230712091974,0.0002809701810980627,0.004516866714431211,0.010659116609247602,0.007875827953834865,0.0002153990770296719,0.0010463315813801794,0.005330140307649852,0.0002805259940319107,0.0012192014891716071,0.0019835669917756273,0.011816148255442256,9.587869680353052e-06,7.459407363967845e-06,0.012555293390556289,3.787886586656201e-05,0.0012960466198277652,0.0007926933978236032,6.867116925646241e-05,0.0001383240070457914,9.449964212166296e-05,0.00235379495371834,0.3686559259912119,0.0012047076235544804,0.005977267903154971,0.004772100895776657,0.008431338284008353,0.0006531119870285595,0.0022921786744269155
BaumgärtnerKlaus+BaumannSabine,0.00014310397379970502,0.00011287986123658705,8.773411862784474e-05,0.00012142043983768648,0.0001652602150140034,0.00013955698240457153,0.0001359666586377179,0.0074263442864616,6.380618405648347e-05,0.0001406874207216113,0.0001809741642116251,0.0001417193212965289,0.00012283488828780136,7.114040597173081e-05,0.00013977209222592406,0.048710099477822504,0.00013667145264998753,6.391851428012107e-05,4.551348896607525e-05,0.00024436064364483643,0.039294142107442885,0.09142546391323797,8.05770578154503e-05,0.0002490556208039242,6.548062251934741e-05,0.00012088686727318058,7.578779222394107e-05,8.242429718673478e-05,0.0001005899051725656,0.02146221069520077,0.0002608790764570104,0.000338122460390992,9.964731597276754e-05,0.0047261643688493804,0.00013356737066985559,0.0001317652392562412,0.00014669079411417955,0.00011551965588230344,7.932103359469332e-05,0.00011641428017836028,0.06342911589664993,0.00010363732311230457,0.0001570506519261697,0.00012143017157447169,0.00011408152290443093,6.187573677054853e-05,0.00025629069094798557,0.00018549306344083606,0.0018185096319033346,0.000122161380906368,0.06255613692342382,6.292602474167418e-05,9.524014846371339e-05,0.0024275918827279517,0.02168851548126066,7.371740063858027e-05,9.434294966479025e-05,9.971361401058081e-05,0.00024169581364817468,9.214350609329371e-05,0.08843143322059284,0.0011728936158063319,9.725952067783711e-05,0.00012977292836690075,0.0001992410430257442,0.08801258381361833,0.00018836921960986453,0.00010396890403531233,0.00010127118244838148,7.856215302976079e-05,7.88934984876758e-05,0.00017762084114254076,0.0001775885881662043,7.568840765726723e-05,0.0001077558099518861,0.0001406240533630221,0.00013477149512325032,9.720508289783957e-05,3.569074407057058e-05,6.041427276469945e-05,0.08012618817639977,9.417317036331149e-05,0.00010294222264626037,1.3135081695173123e-05,1.0219154868580332e-05,0.00011166771091600812,5.189286194588377e-05,2.5382817834839464e-05,0.00013962886834724522,9.407735486172597e-05,0.00011339402671118791,0.00012946155515403238,6.664837598760581e-05,0.34583310625167146,0.021706299355464715,0.00011822899419059486,6.983649098272212e-05,9.96443925990795e-05,0.00011956795550410172,7.2751907809972e-05
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0001120495551891,8.838425590530115e-05,6.869528990805235e-05,9.507147784541704e-05,0.0001293977594829,0.000109272282151,0.0001064610801251,0.0004428621762701,4.995986031705686e-05,0.000110157408589,0.0001417016876766,0.0001109653805646,9.61789825181804e-05,5.570251219066582e-05,0.000109440711854,0.0001037106700222,0.0001070129296194,5.004781421001088e-05,3.563678951986732e-05,0.000191332921785,4.850533084199152e-05,0.0269336995251876,6.309135411789536e-05,0.0001950090608071,5.127093561408887e-05,9.465369372015976e-05,5.934138781743207e-05,6.453773149222101e-05,7.876129384698006e-05,9.026498984580164e-05,0.000204266755835,0.0002647478632515,7.802325214374162e-05,0.0001192777788581,0.000104582452003,0.0001031713938896,0.0001148580140328,9.04511993170748e-05,6.210789466875215e-05,9.115168478768325e-05,0.0753935470356441,8.114740385886315e-05,0.000122969720709,9.50790977370924e-05,8.932514980080023e-05,4.844833164344539e-05,0.0002006740774371,0.0001452399587332,7.684296634109531e-05,9.565163026860908e-05,0.000110856729199,4.927070084019738e-05,7.457246635545629e-05,0.0001101495971917,7.708639781546583e-05,5.772028359475681e-05,7.386996506450751e-05,7.807516311064919e-05,0.0001892463758432,7.21478139089065e-05,0.0001398724354526,7.577861112479857e-05,7.615362271574292e-05,0.0001016114263847,0.0001560045444839,0.5119841694134233,0.0001474919718034,8.140702973749346e-05,7.929472987737226e-05,6.151369572736471e-05,6.177313723821211e-05,0.0001390760557789,0.0001390508018914,5.926357029640833e-05,8.437215441033296e-05,0.0001101077923264,0.0001055252742448,7.611099825975317e-05,2.794563904336816e-05,4.730401407188104e-05,6.591465611308685e-05,7.373702888736555e-05,8.0603144353245e-05,1.0284690370496728e-05,8.0015371134026e-06,8.743514945745915e-05,4.063180039060035e-05,1.987459448067066e-05,0.000109328568414,7.36620059229662e-05,8.878684439527722e-05,0.0001013676230222,5.218527959220195e-05,0.3764599351687152,0.0001308285726577,9.257259500051616e-05,5.468155455654572e-05,7.802096315963408e-05,9.362099369698676e-05,5.6964308487209626e-05
BaumgärtnerKlaus+BaumgärtnerSabine,8.033070531433958e-05,0.0007506876889647589,0.01708552277242209,0.00380356715530593,0.00036564943585357817,7.833961930219969e-05,0.0064222595217138315,0.0009756644176535622,0.02207086555577879,0.0001957339356489009,0.000548697120982758,7.955343750520272e-05,6.895275477939872e-05,3.993431374628517e-05,7.846037013259355e-05,0.0003536355562362624,7.671984149843363e-05,3.588034069517716e-05,0.015149190939634488,0.011326557698905238,3.477450161639337e-05,0.077676600285149,0.00025671083000360854,0.00013980613640876725,3.675722240085367e-05,6.785924285294655e-05,4.254310094901649e-05,0.03330841653530154,0.0005035738162042688,0.00037679376236914285,0.0037233085527149145,0.001368068566502315,5.593652616507959e-05,8.551277234277152e-05,0.0009696399208106186,0.0035272968245744175,8.234414909265994e-05,6.484638538189736e-05,0.00018688342554124704,6.534857828950481e-05,0.15189870569938543,0.00046323720009633216,0.02610025151963106,0.003220958106180141,6.403909657375634e-05,3.4733637680666e-05,0.00043216865993988976,0.002577374861660059,5.5090354211617214e-05,0.01558316687496394,0.018808648588106987,3.532321161955866e-05,5.346258456134798e-05,7.896858508327925e-05,5.5264875404483127e-05,0.000298543173762278,0.012702613760238388,0.026040162499780747,0.00013567474519649006,0.00033643821391470826,0.029205607918730326,0.002068751212813445,0.02892191462662205,0.01344469760889036,0.00011184297045602671,0.007135749065763643,0.0012020882478275018,0.01687436574544441,0.014648919678194594,0.029440956449144007,4.4286473743216174e-05,0.0019902043200556566,9.96884724049377e-05,4.248731191586016e-05,6.048818900913261e-05,7.893861428771731e-05,7.565330977232594e-05,0.007659003340569077,0.00015432974984308897,0.0028844183679572455,4.725561656337149e-05,0.013989529369690456,5.7786105670097054e-05,7.37331290612195e-06,5.736471856878633e-06,0.0002819537394918771,2.912980045353542e-05,1.4248518789505517e-05,0.01419304269972096,0.021260398154819095,6.365317399845945e-05,7.267260132950656e-05,3.741273501344426e-05,0.3224762225262375,0.009083848377796312,6.636725899191701e-05,0.0006518327853269182,0.00020798924866506204,0.00013426634219375317,4.083892230357299e-05
BaumgärtnerKlaus+BierwischManfred,0.0001835118133062,0.0001447534088066,0.0001125073383409,0.0001557055649499,0.0002119242458427,0.0001789632685984,0.000174359155887,0.0007253080199638,8.182294471255393e-05,0.0001804129053896,0.0002320752957045,0.0001817361806323,0.0001575194069629,9.122810885384212e-05,0.0001792391183342,0.0001698546065877,0.0001752629604689,8.196699328424246e-05,5.836499622120643e-05,0.0003133600250592,7.944075460902358e-05,0.0623334098066344,0.0001033293597513,0.0003193807088251,8.3970189337784e-05,0.000155021329102,9.718776361138558e-05,0.0001056981985587,0.0183510985628249,0.0001478336253696,0.0003345427181589,0.000433597084542,0.0001277844294586,0.0001953500078464,0.000171282388178,0.0001689713943268,0.0001881114333059,0.0001481385943422,0.0001017186757417,0.0001492858310152,0.2145880945643351,0.0001329010829368,0.0184235019611532,0.000155718044608,0.0001462943800724,7.934740282137441e-05,0.0003286587240072,0.0002378701829441,0.1459026944930947,0.0001566557233239,0.0001815582342845,8.06942574541159e-05,0.0001221328232897,0.0001804001120886,0.0001262500740898,9.453276176903736e-05,0.0001209822851591,0.0001278694478744,0.2554194181681859,0.0001181617913087,0.0002290793945423,0.0001241082154575,0.0001247223995741,0.0001664165205922,0.0002555001382551,0.0002973537844429,0.0002415584706968,0.0001333262913697,0.0001298668222364,0.0001007455123497,0.0001011704188299,0.0002277751048666,0.0002277337447141,9.706031612294216e-05,0.0001381824945422,0.0001803316451802,0.0001728265176387,0.0001246525903616,4.576863233586408e-05,7.747326961128322e-05,0.000107953289474,0.000120764565786,0.0001320097090387,1.6843995284021714e-05,1.3104706952550548e-05,0.0001431989872387,6.654569359947868e-05,3.255008791169784e-05,0.0001790554527589,0.0001206416951488,0.0001454127576428,0.0001660172258599,8.546767784745185e-05,0.2703361742513676,0.0002142675940137,0.0001516129603756,8.955601130352234e-05,0.0001277806806207,0.0001533300001759,9.329464562867297e-05
BaumgärtnerSabine,4.1983083037037134e-05,3.311609357639647e-05,2.5738969294375192e-05,3.562168312135214e-05,4.848316329330275e-05,4.094248555872212e-05,3.988917545955174e-05,0.0001659330060607,1.871911906002841e-05,4.12741275423256e-05,5.3093238167438965e-05,4.1576861047009785e-05,3.603664648789136e-05,2.08707940939492e-05,4.100559333449999e-05,3.885864307108595e-05,4.009594417991581e-05,1.8752073903848044e-05,1.3352505425476884e-05,7.168922651640941e-05,1.817413133894039e-05,0.2352056612267467,2.363926884295321e-05,7.306661395501387e-05,1.921035691429889e-05,3.54651464390546e-05,2.2234219565313404e-05,2.418120210905744e-05,2.951053160451183e-05,3.382077293957006e-05,7.653531651643486e-05,9.919656983914195e-05,2.9233999796245952e-05,4.469137682714965e-05,3.9185285111090415e-05,3.865658537779315e-05,4.303536531197424e-05,3.389054249538439e-05,2.327078313457872e-05,3.415300261518706e-05,0.1157930491116083,3.040456687841583e-05,4.6074685319824205e-05,3.562453816655424e-05,3.3468630688008206e-05,1.815277469828648e-05,7.51892003694355e-05,5.441896879908417e-05,2.879176656492016e-05,0.4169137227383923,0.0083790938248468,1.846090259951771e-05,2.794104842265067e-05,4.127120074317195e-05,2.8882976242504945e-05,2.162681908900317e-05,2.7677833008883703e-05,2.925344996211705e-05,7.09074328592567e-05,2.703257194697368e-05,5.240784813723892e-05,2.8392970573706808e-05,2.8533481107067555e-05,3.807209180097233e-05,5.845227796010085e-05,6.80273841706771e-05,5.526276020519015e-05,3.0501844326797444e-05,2.9710401109759653e-05,2.304814678894873e-05,2.3145355157824167e-05,0.0083896671317113,5.2099995866276965e-05,2.2205062649506288e-05,3.161282665193738e-05,4.125553716354744e-05,3.953854474163571e-05,2.8517510440586952e-05,1.0470760749560956e-05,1.7724018157962792e-05,2.469711259701916e-05,2.7628024060029306e-05,3.020064199911147e-05,3.853500436531992e-06,2.998041326346185e-06,3.2760479359602324e-05,1.5224051955070866e-05,7.446676151463152e-06,4.096357507440912e-05,2.759991421756947e-05,3.326693670982865e-05,3.7980742783167065e-05,1.955294621858235e-05,0.2119224437983916,4.901926491572162e-05,3.468539376437826e-05,2.048825844659043e-05,2.923314215241421e-05,3.507821111608954e-05,2.134356793588172e-05
BierwischHedwig,9.983142822389978e-05,7.874664459519141e-05,6.120460623155604e-05,8.470467732459167e-05,0.0001152879466263,9.73569950724628e-05,9.48523326237791e-05,0.0003945715222942,4.45121285925395e-05,9.814560540041168e-05,0.000126250227755,9.886547435613336e-05,8.569141728138955e-05,4.962858922789879e-05,9.750705883463051e-05,9.240183321474886e-05,9.534400725014618e-05,4.459049180189474e-05,3.175087655703528e-05,0.0001704695642548,4.321620417191732e-05,0.1132131136511464,5.621173577649914e-05,0.0001737448490902,4.568024139040628e-05,8.433244928813689e-05,5.287067394957238e-05,5.750039701915964e-05,7.017299122901341e-05,8.04222992202571e-05,0.0001819930649367,0.0002358791809838,6.95154271967539e-05,0.0001062714706781,9.317855419407395e-05,9.19213609233916e-05,0.1983608297470928,8.05882040061764e-05,5.533551488260555e-05,8.121230701901615e-05,0.4042119142184279,7.229891462052908e-05,0.0001095608351675,8.471146632672184e-05,7.958494137589902e-05,4.316542028983166e-05,0.0001787921399977,0.0001294026780475,6.846384232261836e-05,8.522156866697161e-05,9.87686705715648e-05,4.389811656248057e-05,6.644092258888128e-05,9.81386457748078e-05,6.868072950008215e-05,5.142633845376248e-05,6.581502356513116e-05,0.069460035312847,0.0001686105398163,6.42806595135221e-05,0.0001246204411683,6.751554671179645e-05,6.784966622401832e-05,9.053149566480064e-05,0.0001389934699781,0.000161762081982,0.0001314091267192,7.253023032922409e-05,7.064826023557237e-05,5.4806108684895295e-05,5.5037260129671033e-05,0.0001239109004646,0.0001238884003159,5.280134182012728e-05,7.517203136495041e-05,9.810139940289096e-05,9.401856905005948e-05,6.781168963132647e-05,2.48983858402504e-05,4.214588159270715e-05,5.872717878750836e-05,6.569658303759585e-05,7.181400235400066e-05,9.163225385354154e-06,7.129032120375143e-06,7.790103077669304e-05,3.620122058898793e-05,1.7707425513881097e-05,9.740714375901176e-05,6.562974074024864e-05,7.910533396145397e-05,9.03142771507076e-05,4.649488331440879e-05,0.2065419033796547,0.0001165627408236,8.247827809480952e-05,4.871895903259631e-05,6.951338780844708e-05,8.341235711939835e-05,5.075279651456673e-05
BierwischManfred,0.007337962043445123,0.0024464610507116107,4.226173557045204e-05,0.0011120211322785936,0.017614011585700362,0.00102838985485957,0.004869754373482997,0.003842757389935637,0.0005334068741387061,0.0029712879395220374,0.0025391514291006447,0.01019903934051712,0.00018184563189087492,0.00465549354929394,0.002336286826296553,0.0038388949985148028,0.008246705867064594,0.003665104632050605,0.0027769639794896573,0.0050710463114583305,0.003001280333155487,0.06316080542577251,0.0005708082316386523,0.00232511114358236,3.154217306998276e-05,0.002940117954528956,0.006455186376267683,0.0010377154226728967,0.00023486925135828804,0.005840439698810272,0.015037595563289242,0.003558423867034172,0.0017348014547981952,0.001486405441545093,0.004957326924594042,0.008506489000404113,0.0059004019543039705,0.0030101123145530153,0.0016285517495817823,0.002577110383702462,0.11730346928772463,0.00022085932940255393,0.00011629697770401857,0.004371543202172072,0.0014939694277673447,0.008397673146253618,0.0010286506675031247,0.0011709641891986683,0.00012730593630198625,0.004753277662855561,0.001571082965434022,0.009027202386505099,0.005826492272089526,0.01015211763878159,0.0064565183570427735,6.833851875954867e-05,0.0021456775207729967,0.0010233770083278486,0.016448735860845446,0.0020108095572728022,0.0037315011563979093,0.0005718032663141742,0.0017494105764643054,0.0071159474241827,0.024083634698850827,0.0008912285876173718,0.00029913246964953283,0.007414940543986054,0.003132640564432361,8.958900134230702e-05,0.010628607655194225,0.01394474367227522,0.013279276963387526,0.0011174447804451753,0.0019625471506863248,0.0007879522158401427,0.0037812906817705997,0.00027865738188467647,0.0004439526004768603,0.0018887902182260327,0.007730057977962229,0.0006961628326988778,0.0009362229137277699,6.327200386572549e-06,4.922591433800291e-06,0.0037742151529541993,2.4996916180970383e-05,1.2226964288765324e-05,0.0065968270411962595,0.004064408832692668,0.014618534094400271,0.0003630207733214896,0.000791572214860261,0.4151627405113628,0.006976500249622694,0.0031581519334526473,0.0002653193510178164,0.0038336575829963815,0.012213682447198216,0.008559057686119398
BierwischManfred+BaumgärtnerKlaus,0.00010857038256845715,8.563989799393224e-05,6.656228035332202e-05,9.211947966768893e-05,0.0001253799198653358,0.00010587934469921696,0.00010315543134750158,0.00042911117158446667,4.8408591524811265e-05,0.00010673698769327218,0.00013730180736252703,0.00010751987189428398,9.319259598496896e-05,0.0578815073775516,0.00010604254460889497,0.00010049042231121269,0.00010369014574792299,4.8493814422753885e-05,3.4530256413346186e-05,0.008826414823827332,4.699922563042352e-05,0.024445285961080237,6.113234846648113e-05,0.003645363109296367,4.967895753683602e-05,9.171466786604377e-05,0.0069703170975195,6.25338153853378e-05,7.631573182163085e-05,8.746223457601178e-05,0.00019792421120806236,0.00025652736192370004,7.560060653678271e-05,0.00011557416770357431,0.00010133513519748178,9.996789086582523e-05,0.003567700776796675,8.764266218681695e-05,6.017942573106937e-05,8.832139737142694e-05,0.047776323968552574,0.012929190962446819,0.0001191514736419294,9.212686295943552e-05,8.655157684902789e-05,4.694399627425337e-05,0.00019444308656237918,0.00014073021403134193,0.001802661538406819,9.268161818246046e-05,0.13145096187170738,4.774083065840722e-05,7.225696869222826e-05,0.00010672941884218079,7.469284181911872e-05,5.592805130964087e-05,7.157628027909741e-05,7.565090565244241e-05,0.00018337021856366326,6.990760243842977e-05,0.00013552935397409256,7.342566230123094e-05,7.378902966870514e-05,9.84563608243414e-05,0.00015116055613464992,0.00017592226654785737,0.05717366309296879,7.887931681153006e-05,7.683260450175986e-05,5.9603676846740356e-05,5.985506262010518e-05,0.0001347577021304113,0.00013473323238378333,5.74234184918486e-05,8.175237346535318e-05,0.00010668891203064,0.00010224868252321111,7.374772871499893e-05,2.7077918488262117e-05,4.583521010982109e-05,6.386798607975251e-05,7.144747181052494e-05,7.810039231192135e-05,9.965347619968393e-06,7.75308696291692e-06,8.472026158871553e-05,3.937017068389817e-05,1.9257482303399925e-05,0.00010593388325666146,7.137477833190077e-05,8.602998598936273e-05,9.822012763010819e-05,5.056491085753687e-05,0.5093081172096937,0.12623176068815095,8.969818789186737e-05,5.2983675728287985e-05,7.5598388626325e-05,9.071403349131966e-05,5.519554945811585e-05
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0001627520218467,0.0001283781655689,9.977993491369055e-05,0.0001380913579993,0.0001879502952308,0.0001587180316947,0.0001546347596748,0.0006432574807256,7.256671625384135e-05,0.000160003678185,0.0002058217556466,0.0001611772577891,0.0001397000089609,8.090792030069287e-05,0.0001589626759027,0.0001506397879465,0.0163161642917744,7.26944693170587e-05,5.1762450432696143e-05,0.4204568383751459,7.045401163397116e-05,0.0067997529396314,9.16402160312054e-05,0.0002832507355447,7.447105362515022e-05,0.0001374845263973,8.619338854289314e-05,9.374107972162754e-05,0.000114400809492,0.0001311099323382,0.0002966975411201,0.0003845463728174,0.0001133288036352,0.0001732510194955,0.0001519060516076,0.0001498564891572,0.0001668313093933,0.0001313804016665,9.021174080448889e-05,0.000132397857081,0.0448662440761245,0.0001178666351985,0.0001786135664486,0.0001381024258949,0.0162904727848103,7.03712202762423e-05,0.0002914791743706,0.0002109610957121,0.0001116144380546,0.0001389340296163,0.000161019441639,7.1565711849635e-05,0.0001083165359555,0.0001599923321274,0.0001119680223644,8.383873403829245e-05,0.0001072961525612,0.0001134042043345,0.0002748804334266,0.0001047947273478,0.0002031647660904,0.0001100684616951,0.0001106131661746,0.0001475906357586,0.0002265966606398,0.0002637156090932,0.0002142321455595,0.0001182437418867,0.0001151756255305,8.934866661444209e-05,8.972550550835913e-05,0.0002020080243092,0.0002019713430279,8.608035856378851e-05,0.0001225505866102,0.0001599316105446,0.0001532755012752,0.000110551254136,4.059105141853272e-05,6.870909856507241e-05,9.57410632610368e-05,0.000107103062713,0.0001170760980581,1.493851670397177e-05,1.1622235723197734e-05,0.0001269995880898,5.901770563639384e-05,2.8867856098600705e-05,0.0001587997875132,0.0001069940918284,0.0001289629255049,0.0001472365112812,7.579913860371226e-05,0.4821652882002027,0.0001900285519155,0.0001344617297096,7.942497894592907e-05,0.0001133254788849,0.0001359845292179,8.27406799049102e-05
