year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.00013772817688428355,0.00010863945341466466,8.443832752032753e-05,0.0009082097962675378,0.00015905210401243744,0.0001343144306038572,0.014348911513071648,0.0553349386346437,6.140926188634127e-05,0.0001354024032460624,0.00017417574815155234,0.006113831090998081,0.00011822051318674966,6.846796882809112e-05,0.002160197277261053,0.0008383808793144651,0.0001315372977130308,6.151737234966469e-05,4.3803744176347336e-05,0.00023518107190075818,5.9621394969002055e-05,0.11277736774106817,7.755012650558994e-05,0.007545454241685354,6.302079894341716e-05,0.00011634567089025069,0.052505060851137146,7.932797308889174e-05,9.681117780677003e-05,0.00011095119893110484,0.00025107897868699745,0.00032542066301007743,9.590399760352149e-05,0.0001466129070945571,0.0001285498226578462,0.0001268153895214878,0.00014118025588397774,0.00011118008240106263,7.634128567849881e-05,0.00011204109953440343,0.10250064381941418,9.974411744431123e-05,0.00015115093867732748,0.0001168685656004505,0.00010979597385465263,5.9551333149604284e-05,0.1403405165777657,0.001679386734409087,9.445322333203072e-05,0.00011757230656258668,0.0027014748062256805,6.056216634749095e-05,9.166238830273502e-05,0.00013539280169509716,9.475244248647379e-05,7.094815695898628e-05,0.028785968976213838,0.05707321077648508,0.00023261634803319693,0.00047645464207029875,0.002451584677226259,9.314494769227707e-05,0.0040503588855661955,0.020030171467763657,0.00019175641939101035,0.019620433029176664,0.00018129300332562682,0.0001000632423071863,0.001435561666041812,7.561091297183671e-05,7.592981121500264e-05,0.0009622989917410226,0.00017091735354476874,7.284512177488622e-05,0.00010370789055888918,0.00013534141632486608,0.009248338292192185,0.005780774521978918,3.4349997291922173e-05,5.8144770020983375e-05,8.10204502916698e-05,9.063549195150264e-05,9.907512889424826e-05,1.2641653526926882e-05,9.835265450543343e-06,0.00010747283833521469,4.9943471724407365e-05,2.442929523027314e-05,0.00013438361610278648,9.054327582362702e-05,0.030891688115841844,0.00012459824486022437,0.03716085337846449,0.2743297256169485,0.0001608108195173228,0.0001137876425956373,6.721303628162692e-05,9.590118404832312e-05,0.00011507630492782673,7.001893351712834e-05
1955,9.921987505200626e-05,7.826425381771798e-05,6.0829675493399724e-05,0.012611883242791009,0.00011458170901465582,9.676059992715609e-05,9.42712806854384e-05,0.0017544512683795443,0.0020996741030321437,9.754437934007042e-05,0.00034794490077466806,0.008870007636738482,8.516648381129236e-05,0.03129129078792527,9.690974441999521e-05,9.18357926882739e-05,9.47599433827734e-05,4.4317336772644036e-05,3.1556375189945546e-05,0.0005038673664355935,4.295146783379551e-05,0.0827839906202142,5.586739065469724e-05,0.0026894268156223344,4.5400410709712366e-05,0.0021370892296641636,0.0033342393019132697,5.714815774133186e-05,0.00048398399179731876,7.99296436201758e-05,0.00018087820122995768,0.0005688762931284353,6.908958554794047e-05,0.00010562046671942256,9.260775558503824e-05,9.135826370204277e-05,0.00010170676520599559,0.0002618448248852675,5.499653736574068e-05,0.026773268868955074,0.0784002107970532,7.185602172250392e-05,0.00010888968102844751,0.0005291286639189183,0.001307516532524858,4.2900995046569676e-05,0.0015399937199785632,0.00012860997559282724,6.804444253362689e-05,8.469951342285848e-05,9.816362770233778e-05,4.3629202925758464e-05,6.603391491930055e-05,0.00027928775513650896,6.826000109099334e-05,0.00038555338255384067,6.541185006420951e-05,6.913555270633172e-05,0.0011709038792301761,6.388688530918512e-05,0.0001238570340185536,6.710195604722841e-05,0.0010707602524602498,8.997691256091353e-05,0.2547240851774007,0.00016077115040777202,0.00013060413304451387,0.015438586881275891,0.0027948091495630014,5.447037423531632e-05,5.4700109679127e-05,0.002605706419597983,0.0006196403934920955,0.0011513132861937006,7.47115381611876e-05,9.75004441422255e-05,9.34426246291296e-05,6.739628483723665e-05,2.4745861859516908e-05,4.1887701898919534e-05,5.8367424418540235e-05,6.52941350865415e-05,0.016015716294532887,9.107092766111303e-06,7.085360680597762e-06,7.74238201095462e-05,3.597945704547671e-05,1.7598952336332664e-05,0.00039892027891116086,6.522770225563518e-05,7.862074590378817e-05,8.976102469663902e-05,4.6210062252818074e-05,0.42780754988319736,0.00011584869400346417,8.197302785970656e-05,4.842051359855893e-05,0.012193956825679848,8.290138484865706e-05,5.044189208053955e-05
1956,0.00010899933736569018,8.59782558794476e-05,6.68252637636959e-05,9.248343797552889e-05,0.00012587528809400697,0.00010629766737396916,0.0028860400396068294,0.0087782377057973,4.859985084499055e-05,0.008628820705694007,0.00013784427822377253,0.0001079446761894835,9.356079410833511e-05,5.4186176001644674e-05,0.00010646151207625601,0.00010088745369036055,0.00010409981903439157,4.8685410453277566e-05,3.46666832987235e-05,0.0031766265852218797,4.718491663402192e-05,0.19961182514797565,6.13738785552879e-05,0.00018970051574402,4.987523599374673e-05,9.207702678775892e-05,5.7725993999172835e-05,6.278088258235474e-05,7.661725050928708e-05,8.780779239952949e-05,0.0001987061973987,0.00025754088550088004,0.007100936492996939,0.0001160307940181917,0.00010173550398445126,0.00010036285775586269,0.006502977849345679,8.798893286854004e-05,6.0417190881680885e-05,8.867034969346333e-05,0.08234331172576778,7.893840573151565e-05,0.00011962223366881214,9.249085043819415e-05,8.689353672076772e-05,4.7129469070116695e-05,0.00854264246183512,0.00014128623031306342,7.475114379750323e-05,9.304779746444746e-05,0.00010783898253608135,4.7929451697130086e-05,0.0018288017497573267,0.00010715110010675704,7.498794856976992e-05,5.614901954555725e-05,0.04180901478762998,0.027771351319857758,0.0036749347255772397,7.018380300730894e-05,0.00013606482198271738,7.371576250479533e-05,7.408056551403948e-05,9.884535575367663e-05,0.0360377834198652,0.00017661732443002666,0.005708431034178367,7.919096406329208e-05,0.005642090260513061,5.983916724950068e-05,0.010597647336014078,0.002917767168986842,0.017697858537935318,5.765029483006228e-05,0.025124368800348473,0.00010711043325532506,0.00010265266067858327,7.403910138284099e-05,2.7184901652175912e-05,4.601630216083409e-05,6.41203245018116e-05,7.17297563070896e-05,7.84089620816297e-05,1.0004720085704529e-05,7.78371892503584e-06,0.0030755571225331794,3.952571976812395e-05,1.9333567412627384e-05,0.00010635242140985759,7.165677562106251e-05,8.636988508819765e-05,9.860818921683316e-05,5.07646896606566e-05,0.3812375823638502,0.00012726715161084608,0.03872775714236021,5.319301092026931e-05,0.0640746308233403,9.107243896915849e-05,5.54136236249891e-05
1957,8.246915955374676e-05,0.0003623331982478084,5.056015451781836e-05,6.997319054239043e-05,0.04027647324387058,0.01961954073731034,7.83560076457208e-05,0.039997516190846974,0.00016604284338534928,0.00039716987494591715,0.0004885332032846935,0.018659303126828897,0.0002243598786765649,4.0997390463894095e-05,8.054903486519758e-05,7.633168894823955e-05,7.87621722567261e-05,3.6835498083263696e-05,0.0004626679986570884,0.009642388511514628,3.570022086800465e-05,0.10393586692053665,4.643562342059931e-05,0.0001435278642826708,0.0007691980083789804,0.0009866419302471138,0.009351265378502754,4.750016603530831e-05,0.0002877681441479915,0.040350550460335255,0.0003871876175332347,0.0006413034352727606,0.00048557698749828387,0.0016247487462233605,7.697332583065598e-05,7.593477840852136e-05,0.0007468414735267476,0.0028227785030661896,0.0076687599189848195,0.01224334580314886,0.10927019617295265,5.972498672492981e-05,0.0006543122737420621,0.0014459446123910133,6.574385787293497e-05,0.005992742972688477,0.0014682510445634721,0.00010689750004025203,5.6556894322930604e-05,0.0037788779023647254,0.009691219011127357,0.0008041213274054603,0.0007240216107200026,8.107077881965778e-05,5.6736061380458354e-05,4.2482482587517566e-05,5.43687471569875e-05,0.00028169802867147073,0.00013928649282039332,0.0006852879271284402,0.02836606150497628,0.002433689201542963,0.0008678000401437464,0.02451754314033246,0.003954109248779387,0.002561769091288754,0.00010855499546618274,0.014243401029315868,5.836140731649042e-05,4.527445717312133e-05,4.5465407715649646e-05,0.00032659505964929326,0.000326576472633279,0.010701656801838152,0.016155701191229086,0.0003736249243600653,7.766724878075264e-05,5.6018161327634335e-05,2.056816166032804e-05,3.481604436037316e-05,4.8513590997680815e-05,0.0006393707222421099,5.9324408392138896e-05,7.569595164330162e-06,5.889180369938092e-06,0.000267290432772139,2.9905254186068623e-05,1.4627823381584364e-05,0.005234775526881528,0.003272649743906652,0.08574804806289524,0.001886236167779062,3.8408685708568474e-05,0.3290453573891327,0.003810247228406924,0.0031574891247901343,0.006046019550294625,5.7423907203243336e-05,0.001373467613372334,0.004903523306056092
1958,0.00026543865498910576,7.396230732176864e-05,0.002502029136351156,0.0005500561808206378,0.024723389657027552,0.0019524785099409954,0.0011114883839525398,0.0014627182255350897,0.006811492747780692,9.21826633531146e-05,0.00011857975908265931,0.030008003969712017,0.0004930246256764201,0.0035870746433599634,0.006419982576965252,0.006428455571069171,0.005399035257323412,4.188134840836378e-05,2.9821817827533506e-05,0.0032836997583114633,0.0058062926564128635,0.06513871894244193,0.00623812597569101,0.000783140647657018,0.006463426343832813,0.0037173406864432134,4.965845916444576e-05,0.0005406199742396795,0.0004377892573050236,0.0028611184044435877,0.00026503544560012147,0.007707061091037824,0.0019691095252766136,0.019320566838861415,8.751739069680497e-05,0.00030812780612180077,9.61162556074349e-05,0.00048823146362450207,0.001160898080226943,0.007634447402614483,0.13250592188769095,0.000854675492257346,0.001196728145261728,0.0032129920179496804,7.474967247796433e-05,4.054285865210192e-05,0.0010064277310586382,0.00012154067885954804,0.003249999378499852,0.004312856827761803,0.00016390659718163955,4.123103917293347e-05,0.006253990397798155,0.002053291830883493,0.002826238582506162,0.00021430395825746914,6.181636086639083e-05,6.53353829710811e-05,0.005601796920912665,6.0375218756631174e-05,0.003160499708662459,6.341356689628572e-05,0.0056453292679057255,8.503115706174576e-05,0.002820648064464795,0.09367517924906386,0.0007846485195394177,0.0002669456945784352,0.011930027220861072,5.1476304476216144e-05,5.169341206580542e-05,0.00011638256014329748,0.0017798449184566628,0.004580252312010616,7.060487357140719e-05,0.005449577780624507,0.00018990098200801877,0.0017158615089468902,0.0014430168043032053,3.95852631274829e-05,0.01586722120550509,6.170511632077454e-05,0.008477971386399136,8.606503750023796e-06,6.695900089516066e-06,0.014701559095232283,3.400177641079647e-05,1.6631591789946414e-05,9.148906774472788e-05,0.0034963643156793105,0.00045295366423678057,8.482713589261811e-05,0.0005677733334315669,0.3910899670828498,0.00250626186962641,0.0007296352321327318,4.575898616238993e-05,0.005629469587225371,7.834454945239616e-05,0.031785984009414285
1959,0.0605590101736131,0.0016425371091424428,0.030033685376822866,0.0002752455189323446,0.0001296673583298821,0.012414223152538704,0.00010668289064612137,0.014634836517300392,0.0010184976438830705,0.003658570281542567,0.0008619007643478659,0.00029928687771860137,9.637937039883978e-05,5.581856777862128e-05,0.0016015433643342663,0.00037389069111382143,0.00010723588991294716,5.015208829524906e-05,3.571103838941163e-05,0.057424520853210134,4.860639117963801e-05,0.10701144012058232,0.0006553711997246443,0.00019541536009810604,5.13777580596836e-05,0.006265411814215672,5.946502496380624e-05,6.467219516503216e-05,7.892539215971398e-05,0.010227450930241636,0.00020469234343458285,0.001257642926749437,7.818581275448669e-05,0.00011952629283375081,0.0002928906503936671,0.00010338635038453546,0.00011509731947576556,9.063965342273673e-05,6.223729580254718e-05,9.134159834732574e-05,0.17161947869610944,0.001526613113650072,0.005961213447256142,0.005520666271134074,8.95112577943545e-05,4.8549273223871546e-05,0.0005040678353225803,0.00014554256463269506,7.700306783900645e-05,9.58509194165033e-05,0.021270758441188503,4.937335581804726e-05,0.011852345577078415,0.00011037909269852741,7.724700650024523e-05,5.7840543187837844e-05,7.40238723460734e-05,0.0005222288906161746,0.000189640668641832,7.229813310697202e-05,0.0176600352400899,0.012519765333641698,0.004251440503256267,0.0020386905181675637,0.0001563295782826324,0.007187523054163819,0.00024649066898897325,8.157664041264527e-05,7.945993959836977e-05,6.164185885402448e-05,6.190184090848284e-05,0.0030253077010550756,0.0003128132306405438,0.015036367709528976,0.008310846537686673,0.015676584965255518,0.00030312793350621285,7.62695747100012e-05,2.8003863483213174e-05,4.740257147890018e-05,6.605198859360687e-05,0.005821555467112998,8.077108014179818e-05,1.0306118412806739e-05,8.018208230338017e-06,0.01889664751678207,4.07164563118273e-05,1.9916002985553594e-05,0.00040563055103902407,0.04158077270332149,8.89718308352783e-05,0.00010157882137983289,5.229400706368714e-05,0.2798489877851022,0.017101285324675208,0.0011692855456576264,0.014049556479391401,7.81835190013032e-05,9.381605203531476e-05,0.0010062712924137462
1960,9.286231823160907e-05,7.324943757861354e-05,0.0002780750308572619,0.005280104973208217,0.00010723983597502971,9.056062223426913e-05,8.823080720997878e-05,0.008565369797163807,0.022314093748204873,0.014549365097835254,0.00011743685365607789,9.196379642278875e-05,7.970940417135924e-05,0.00043878900885449594,9.070021022860718e-05,8.595137416974397e-05,0.0010676392565642243,4.1477684066837304e-05,2.953438666989215e-05,0.07049130009017429,4.019933377667837e-05,0.09846513979747144,5.2287663202831705e-05,0.0003387023653666065,4.249135956844374e-05,7.844530407280635e-05,4.917983681865839e-05,0.028494089145041104,6.527430047537354e-05,7.480811680225426e-05,0.00016928835150187093,0.002845039730748111,0.0008553539985072786,9.885278919298374e-05,0.011707832291595006,0.0005878520796763696,0.0010160171242451943,0.054585985879477474,5.1472610218636795e-05,0.02634418894429031,0.09703366541125251,0.0030464455845696076,0.00010191252716758032,0.007478488174931892,0.0007204583327055171,0.0014957702904510298,0.0004892081703804204,0.0052788447729169964,6.368446516524945e-05,0.0016743379456591097,0.019424525046352323,4.083364269667967e-05,0.010912846526916285,0.00026837413870018354,0.0004861852916549619,4.783632861857365e-05,6.122055720788407e-05,0.004392585847509019,0.005509461412303209,5.979330523545e-05,0.016022484059512784,6.280236891202277e-05,0.04281421501616402,0.003194273214111452,0.0048029014247804366,0.0001504696687412998,0.0013501455122434274,0.0012701862563229336,0.00037134359819442314,0.04272244627451118,0.0005116088084815679,0.00011526083194469624,0.0009032969207293145,4.911534468043863e-05,0.0013246924573714573,9.125306060819198e-05,0.0002549044598571809,6.307783845628271e-05,2.316025995506715e-05,0.0032317694588510195,0.020008259033425645,6.111038486882755e-05,0.0025715597716860416,8.523551820319061e-06,6.63136310101665e-06,0.00031804483423824545,3.367405762409608e-05,1.647129178042935e-05,9.060727010230427e-05,0.01564079816148335,7.358308727859906e-05,8.400954784316175e-05,4.3249132335370945e-05,0.3218117139621148,0.010177286785996602,0.0002978636136880042,4.531794804589701e-05,6.46607431634459e-05,7.758944241384599e-05,0.000717006654638362
1961,0.0012598719451601852,0.0011583952633796729,0.0005954289288725709,4.161395598006543e-05,0.004495662079528306,0.0007971494392447787,4.6599325079611097e-05,0.010567960550932376,0.0022839892899362184,0.003542015782741907,0.00709655496461868,0.00016238378963347313,4.20987244063544e-05,2.4381675164979456e-05,0.0002952644555886347,4.53954367258927e-05,4.6840876395363424e-05,6.987656794141541e-05,0.0010898321090377595,0.0009927215703322198,2.123138030671217e-05,0.13870718165782228,0.0021683377916471144,0.0012902778150862112,2.2441919554155552e-05,0.00031270197859669714,0.0007894158520142479,0.0010911809056531946,3.4474787700371444e-05,0.0011245936645061735,0.000932538848881969,0.0010440220577253383,0.0014871563656656407,5.220935186127282e-05,0.0007351576559581502,4.515938892530372e-05,0.00039591568028758613,0.0001534044800156109,0.008782460361742867,3.989821431440089e-05,0.12894131144842438,0.0005385246020453814,0.04490091917271499,0.01668254145085658,0.007988558439125428,2.120643105596996e-05,8.78375135641494e-05,0.002371939285409858,0.0002064555690846312,0.009633818567004555,0.013182878082532417,2.15663921749992e-05,3.2641286351798205e-05,0.0005256389758909736,3.3741665092978834e-05,2.526487854301265e-05,0.0011540965640450412,0.0021656586646529538,0.010683827263412077,0.0002973129726979451,0.041202737249148046,3.316923076240815e-05,0.004607711669380243,0.01631498933868208,0.0008962397631118153,0.00012434144883283609,0.11745815364935518,3.5632858863014806e-05,0.003789412588688075,0.0054792993716374075,2.703886246473762e-05,0.0015554781011888935,6.086424740669126e-05,0.00010241432191123415,0.0046566365247792925,0.01603345091687565,4.618971132803833e-05,0.0037749765677299795,0.030928546304446067,2.070554917078749e-05,0.00035266739631393217,3.227560508956165e-05,0.0023384243139217328,4.501735557770111e-06,3.5023712763928324e-06,0.0013776135956020186,1.778503912177074e-05,0.01472925131315722,4.785445999632372e-05,3.224276661466985e-05,3.8863094568504615e-05,4.43698562160691e-05,2.2842139166999945e-05,0.2583392971366371,0.00011545098097166155,0.013100220926850903,0.0004500854379387412,0.02829664343511889,0.00010365002753679442,2.4933978933997985e-05
1962,0.004922853009111936,0.0010628342548356163,0.02298971922782479,0.00839063864193845,0.004767682023753029,0.0007741204805996957,0.004557207923015504,0.0030253400592627597,3.829864942207772e-05,0.008709618420225013,0.00010862687013936979,8.506477362547306e-05,7.372969239422621e-05,0.0029302237897844306,0.009504117480131928,0.00029702438017549065,8.203487057639444e-05,3.836607385621696e-05,2.7318749485850737e-05,0.0016064464119314654,0.00025470460750053037,0.10178627292139134,0.03969754706059488,0.0008981317430691268,0.000990041775876775,7.256042369387614e-05,4.549041958516583e-05,0.01046817384081913,0.00011853644606498976,0.002921829819749341,0.0029099060542360864,0.008469922048720914,0.0012477914246168485,0.007127435584375727,0.00019220072650311113,0.00030425144234444586,0.0048537832140431465,0.0003260612694702564,0.0013151626981007386,0.0021757972488832414,0.2958463822688096,0.0007836944593700618,0.02950314125074436,7.288653347888987e-05,6.84756237324123e-05,3.71399290734882e-05,0.00015383442009424958,0.00011133926769006003,0.00045412359952730894,0.011043867235568121,0.0018499874986954816,3.777034776085124e-05,0.00358817451745299,0.0015965721496770328,0.006364766071597668,4.424769989166006e-05,0.002939777073983699,0.012052465384959693,0.001034483015165528,5.530767728193733e-05,0.0001072245866024316,5.809100431310358e-05,5.8378483848869244e-05,0.0008480614285700219,0.00011959127426544137,0.00013918159979101508,0.00011306563478800337,0.0007342079831561121,0.00014105529641799338,0.00012237613255023448,0.003997734914713295,0.00021864312305773146,0.0011334844488047509,0.002728978006636367,0.013864609554230266,0.005692009287266413,0.00039562565882122054,0.005945388968914383,2.1422802742154158e-05,0.009369004204081504,0.008200211271122713,5.652595105071264e-05,0.0010502942978367312,0.008462452672383205,6.133885539294133e-06,0.006358965176668434,0.0012249219887973189,1.5235633598464936e-05,0.010715397841527708,0.004507722288967281,0.0003354957285293911,7.77072440202819e-05,0.000990742701364691,0.28347540871516197,0.00010029166628591548,0.0003919658166209199,0.00015394727733372007,5.980996537340279e-05,7.176876783465711e-05,0.00013156414012594842
1963,0.01403049632599424,6.0887365580209166e-05,0.00024780054012801215,0.0009588685977676238,0.0012682002675816794,7.527699727702637e-05,0.009970825355542714,0.004816895026276928,3.4417037834433705e-05,0.0028980158462911954,0.009525443867317109,0.0004446171233711371,6.625710438736178e-05,3.837311508423889e-05,7.539302745449902e-05,0.000601470782484885,0.0027168289961164373,0.03625141760568007,0.015445383659887816,0.013398647681560455,0.01821556266578114,0.10546627374301652,0.0036534533625122664,0.001156560361167379,3.5320229472988145e-05,6.520634239690362e-05,0.02860919822911907,4.4459642849679124e-05,5.425816671658844e-05,0.003188993554199533,0.002606361893599357,0.0010675669205453876,0.012395508185445159,0.00710271041965412,0.006353799865703945,0.059479742670783584,7.912497331797312e-05,6.231127007380024e-05,0.001512105665225033,6.279383016887067e-05,0.24611704508446597,0.005044945994376112,0.0023270891815829484,6.549940058507099e-05,0.011157641900357326,0.0007621809235200748,0.00013824312701665205,0.00010005490654034659,5.293664279859071e-05,6.589381469418396e-05,0.002998036029837655,3.3942280146191694e-05,0.0033270788131991498,0.0002945988280282002,5.3104341231096356e-05,3.976314528679023e-05,0.01632712059925249,0.005560261438804732,0.020503327591883013,0.0045960270553117655,0.003669855038965708,5.220341509306166e-05,0.00017504000420492312,0.00024276748390902016,0.0001074705628833374,0.0006002014615958079,0.00010160630437349706,5.6080797758103546e-05,5.462564748862294e-05,0.00033465285900958434,4.255513101891607e-05,0.0013385312431177646,0.01171024108595086,4.082630592140872e-05,5.812345375035742e-05,0.0011305957597381412,0.0003500600556978704,0.006055523937430709,0.0003554929038746186,0.008811781464550588,4.540819767890955e-05,0.0024510224913906775,0.02347401362271627,7.085059392689771e-06,5.5122092779669e-06,6.023353203630036e-05,2.799099521995508e-05,1.3691484840916513e-05,7.531577253440017e-05,5.074529890039167e-05,6.116470629339934e-05,0.004006745696163046,0.0012127947581350822,0.23411637842625485,9.012699207746506e-05,0.0002445355803424899,3.766978370385322e-05,5.3748157498892835e-05,0.0025241930303266536,0.012451769874596128
