receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumannSabine,0.0001517434165632,0.0002061128867869,0.0002472607689617,0.0087271442697017,0.0072348059614712,0.0002454955935528,0.3070055946983481,0.0001008401726652,0.0002225622505821,0.0002268830404475,0.0070781501175265,0.0002410973147952,0.0002181501410201,0.0003872150145596,0.0003009729578056,0.0003054280737343,0.0004085487681642,0.0002237188235457,0.0002487336709109,0.6662195420588568
BaumgärtnerKlaus,0.014297917620929716,0.009394034264957196,0.012592568674056854,0.18835283766753397,0.0004664264199293162,0.006767927743600477,0.4944507102429064,0.00015785699508371744,0.00794620313793316,0.019434312842418994,0.04167902144261672,0.019246133532343165,0.01728764032967209,0.015092146743023609,0.005863320855755444,0.04151631165989632,0.00365927259124433,0.0115259359814949,0.012102022000482576,0.07816739925412022
BaumgärtnerKlaus+BaumgärtnerSabine,0.03377093740825522,0.019204611491991833,0.01455047810645148,0.24321852935937174,0.0009387562566842633,0.00716637628156079,0.4449577118591366,0.07153269663504234,0.004179205450447762,0.000967586085901549,0.04485932249887709,0.0029745335592787853,0.011056582647007896,0.007328212499782269,0.01199262664573291,0.021819352089469758,0.0005681731536558195,0.025632942583775683,0.01071193160160871,0.022569433785966875
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0001241783974537,0.0001686713569224,0.0002023445019116,0.3590992515423672,0.0002438310923258,0.0002008999802416,0.353417546689461,8.252200539664886e-05,0.2840187782656339,0.0001856684989063,0.0001156326367129,0.0001973006728051,0.0001785219782823,0.0003168752955948,0.0002462995787474,0.0002499453985729,0.0003343336565195,0.0001830790792599,0.0002035498431897,0.0002307695296945
BaumgärtnerSabine,0.000303725346698225,0.00041254974625035004,0.08884884308749527,0.290955689285989,0.0005963813720502749,0.0004913770623693,0.43330636378274945,0.00020183884808673707,0.02829906540993505,0.0575582233481521,0.00028282344912974996,0.000482573591544875,0.0049691050158472755,0.00077503866202245,0.0006024189913914,0.00061133622589605,0.00081773970208535,0.00044778929315875,0.08947268341011845,0.000564434369029125
BaumgärtnerSabine+BaumgärtnerKlaus,0.00017138575913355,0.020729041837167998,0.0023258028623053,0.2196370384036583,0.00033652533544885,0.0403120662664911,0.5577940250188708,0.00011389337300306725,0.0153171018788871,0.00025625179004340004,0.00015959126249025,0.000272306023266775,0.0028084195630117747,0.000437337847804125,0.014431103273254874,0.01956019727465665,0.00046143313733635,0.000252677982836075,0.0064789653117316,0.0981448357986012
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,3.823242727067753e-05,0.0122863210860422,6.229844813255102e-05,0.024919852786245,7.507146729887717e-05,6.185370435407522e-05,0.2294074125023235,2.540712905183095e-05,5.607554680987174e-05,5.716418899297385e-05,0.6065117927918335,6.074553850066779e-05,5.4963896223880925e-05,9.756054145580644e-05,7.583147249718236e-05,0.1259163942616025,0.0001029356753599,5.636695050113672e-05,6.266955231569426e-05,7.105003318808976e-05
BierwischHedwig+BierwischWilhelm,0.0001400826311051,0.0065940584419355,0.0002282599131461,0.2962268005914069,0.0066788443121381,0.0002266303833699,0.3730666044868994,9.309106798817486e-05,0.0002054593626026,0.0002094481195879,0.0001304423661805,0.0002225700921583,0.0002013863034203,0.0131650280869533,0.0002778445666756,0.0002819573273825,0.0003771536694993,0.0002065270582395,0.3012074857234001,0.0002603254959102
BierwischManfred,0.0062710216682767,0.008683702953032469,0.010964219474086512,0.2749702866565373,0.018773737895690937,0.013547155213542807,0.4215126670082081,0.0023190036619625165,0.02921341555995994,0.03480331517685058,0.03975829612102191,0.017755641468647682,0.015486290787665464,0.003138141799910504,0.004851856091475314,0.042557208025207564,0.01787880735698749,0.002670564901119815,0.0114452231997572,0.023399444980058418
BierwischManfred+BaumgärtnerKlaus,0.00225528492964855,0.00015051751702989998,0.13748087586039184,0.1214848899711884,0.00021758792518915,0.00310056060142215,0.4833594385223516,0.004362583614271313,0.0001625299507685,0.00016568528264645,0.18881669361556921,0.00017606550347864998,0.00015930793109515,0.007492996997119901,0.0002197907321967,0.04954589240662455,0.0002983498369673,0.00016337455827194997,0.00018164208522275,0.00020593215854525
