sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumgärtnerKlaus,0.01647491652569146,0.011815705867668275,0.04813422499523968,0.008393247018936999,0.006015048813756062,0.027400036312590925,0.5604624877904133,0.00022585406513654971,0.017243043234810865,0.00899666720089786,0.00023454345366955465,0.00886244263519788,0.03740349966969781,0.12977442265452133,0.021336142256858672,0.01598707676252466,0.005341432077472339,0.047685251844003095,0.004753094726020007,0.02346086209489182
BaumgärtnerKlaus+BaumannSabine,0.053439946957090555,0.017562564509167784,0.0062980254527081996,0.026407176941125283,0.007010451076254499,0.005710277846755484,0.5084692415800247,0.00020968733571937584,0.00046279656334185,0.00047178122581436666,0.00029382101656411633,0.0037447711070416664,0.00045362201043775,0.3391246542466491,0.0029356010181183167,0.0006351079866536833,0.0008495374456780666,0.011454555915235066,0.011570240398897367,0.0028961393667218667
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0002453516122849,0.0003332607781689,0.000399792160303,0.002894700358161,0.0004817613437927,0.0003969380751483,0.4178800551043178,0.0001630469347987,0.0003598575032173,0.0003668437223484,0.0002284669027143,0.0003898265654111,0.0003527236306635,0.5614303770447723,0.0004866385779643,0.011709927886908,0.0006605762624592,0.0003617275483748,0.0004021736729654,0.0004559543152252
BaumgärtnerKlaus+BaumgärtnerSabine,0.07456758490289973,0.021118962432572552,0.046657816957009414,0.015003219964137336,0.01689846043011661,0.022435742072994924,0.5245227249254885,0.0062064713732840416,0.008754970090956804,0.0027391423603811264,0.0001641375018601266,0.005801728417025742,0.04730805780698188,0.11708685770019758,0.01288441366034993,0.0015311926042870401,0.0007330817124589642,0.05407975765118032,0.002187377167788707,0.01931830026802794
BaumgärtnerKlaus+BierwischManfred,0.0004039128583065,0.0005486343139059,0.0006581623519514,0.0047654331052359,0.000793105044555,0.0006534637820828,0.6325459290706265,0.000268417854928,0.351419969295738,0.0006039206144423,0.000376116214784,0.0006417563789886,0.0005806752542881,0.0010306946215673,0.0008011342463057,0.0008129929394181,0.001087481120725,0.0005954980553484,0.0006620829440258,0.0007506199327759
BaumgärtnerSabine,9.14667587738903e-05,0.4015330798636737,0.0001490419922069,0.0219858509433944,0.0001795999961397,0.0001479779930102,0.5530126342220252,6.0783683119780615e-05,0.0001341544045022,0.0001367588578174,8.517216122515633e-05,0.0210520372837786,0.000131494906185,0.0002334025629084,0.0001814182226323,0.0001841036440048,0.0002462619629331,0.0001348515548805,0.0001499298169991,0.000169979169789
BierwischHedwig,0.0002184054189457,0.0002966597985491,0.0003558842489316,0.1323721460849511,0.0004288510156627,0.000353343618943,0.8013087262408155,0.0001451400044649,0.0003203354892147,0.0003265544339445,0.0002033751037453,0.0602525646204332,0.0003139851073717,0.0005573214271323,0.000433192598596,0.0004396048798198,0.0005880272560851,0.0003220001532138,0.0003580042075735,0.0004058782916054
BierwischManfred,0.0119090131753417,0.008431005046912302,0.018974072642780292,0.013672365519249186,0.07021412022885455,0.016682518059331606,0.5811050771934858,0.002779525929067794,0.026978402740270257,0.02523474649717506,0.0026802969663343064,0.05106931524477783,0.016165831730464483,0.011008842964351619,0.012580533745848565,0.006801554653496195,0.09973666610160047,0.007898501139869573,0.0023023081467199785,0.01377530227406773
BierwischManfred+BaumgärtnerKlaus,0.0393331050521453,0.0003236517300802,0.10079173158057551,0.0045459229048794006,0.012610677128130264,0.0003854929927918,0.47964390566585413,0.0001583457339979029,0.0003494815805764667,0.03942688269268987,0.11297651224295292,0.0003785865322038667,0.0602294096372303,0.11700371060984356,0.0004726071233084333,0.00047960283328323336,0.013852512062552967,0.0162044766736727,0.0003905776304165333,0.00044280759281363334
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0003576816928612,0.0004858385815751,0.2949040860949359,0.0042199898944634,0.0007023276162649,0.000578669450581,0.4947410952310961,0.000237695212644,0.0005246121667628,0.0005347969080091,0.0003330666049615,0.0005683020565463,0.0005142121714747,0.1807757127972944,0.0007094378095045,0.0007199391771642,0.0173141907985239,0.0005273383804259,0.0005863020781922,0.0006647052767181
BierwischManfred+DohertyMonika,8.067253575625582e-05,0.0001095774011534,0.0001314531706017,0.0083275711162173,0.0001584049473779,0.0001305147366353,0.5061896745340821,5.361044728827953e-05,0.0001183225046906,0.0001206195998978,0.0074509034971792,0.0001281764454041,0.000115976860481,0.0002058581374724,0.0001600086003739,0.0001623771083935,0.4759551852544281,0.0001189373825935,0.0001322362209499,0.0001499194990228
BierwischManfred+KlemmEberhardt,0.0003636274307549,0.000493914669679,0.0005925186092443,0.0541590977421245,0.0007140023986347,0.0005882886649521,0.7689329511021205,0.0002416464169163,0.0005333327876435,0.0005436868297045,0.0003386031665854,0.000577748933868,0.0005227599133758,0.0175508816236576,0.150328107824419,0.0007319067162702,0.0009790180178507,0.0005361043191191,0.0005960481696278,0.0006757546634516
BierwischManfred+ZeibigBrigitte,0.000179071666786,0.0002432328137783,0.0002917912291128,0.0021127182053319,0.0003516170365566,0.0739649883127279,0.6324385008786818,0.0001190009965976,0.0002626446278728,0.0002677435709475,0.0247251749576505,0.0821459401652242,0.0739327180773862,0.0004569505526644,0.1067750258394088,0.0003604341821581,0.0004821264113824,0.0002640094939937,0.000293529393529,0.0003327815882083
DohertyMonika,0.000222125018889116,0.0003017121263494857,0.0003619452113316143,0.012199856767041115,0.005716881278764514,0.06544697146979737,0.5274855432996362,0.00014761184218309406,0.07952567133573514,0.0009582493323880429,0.0002068387267087154,0.033797524981220746,0.03399881383738524,0.005807183317091271,0.032573528443417,0.16570198934992883,0.03444317765425413,0.00032748404531429996,0.00036410127438008574,0.00041279068818322857
JohnsonUwe,0.007581434051892854,0.013321931002871677,0.010284796042357991,0.24506556301258206,0.008861281831717912,0.013563525491990852,0.4419697014608719,0.013765827429753087,0.017502943359114197,0.017942984647339195,0.03762515577770789,0.010432144157575372,0.012792914175970884,0.006658205745244274,0.010995408828646594,0.043140214967377064,0.008924557332542785,0.013475724802568543,0.039943114954950856,0.026152570926923274
JohnsonUwe+BaumgärtnerKlaus,0.3624949174884359,1.469358819049555e-05,1.7626980881332606e-05,0.10644970405669,2.1241031815036115e-05,1.750114323504638e-05,0.4516251259029742,7.188798300292999e-06,1.5866247413174614e-05,0.001499738118918,1.0073188336434178e-05,1.7187594199767088e-05,1.555171239322853e-05,2.760418358022329e-05,2.1456070832889903e-05,0.0044724652114681,2.9125046224528664e-05,0.0732050984628798,1.7731982635587062e-05,2.0103190595692e-05
