year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.012248777547934441,0.009410714601165014,0.0004946657166625768,0.026047517028890944,0.03701072248561076,0.0004911343365639239,0.4763053345593247,0.002523356049286116,0.017964884219271296,0.0004538983772995233,0.00045546292542809484,0.012090419732641454,0.0156268216670548,0.030801802795751284,0.22305712965355304,0.0963159482168928,0.0008173357627422546,0.03682230638944562,0.0004976123794160376,0.0005641555550646659
1955,0.001830012991393615,0.010266891462159217,0.0010839668985869063,0.017629658183372594,0.2897476093060404,0.012356809384244634,0.572566993465447,0.011490258886870013,0.002545183992372804,0.0009660146354760302,0.00020272268495930785,0.0021715913619068943,0.0003129778563424205,0.04174470490344363,0.0016559824072391153,0.001056042058720896,0.005709354656520594,0.002892164082925144,0.019975501623398215,0.0037955591585798047
1956,0.0002388003272096,0.0038592531552631,0.055309240817644656,0.06785813638318984,0.005771234005058039,0.00155485245759992,0.6247154781237431,0.00015869331779746505,0.00035024872556096,0.00597836853148274,0.00022236646670726002,0.00037941756529828003,0.00034330533894838,0.06333597885581563,0.15902615705486817,0.00048065560667252,0.0006429378073088,0.00035206883748664,0.00039143498510088,0.009031371637243121
1957,0.019177560623974174,0.0032371052367244912,0.012240216220995618,0.021745969171052412,0.13346862709972115,0.007110269592173384,0.5107715952463715,0.0001200288361886415,0.005454660311089231,0.0036682864520829594,0.00043375613986405636,0.019181152707151247,0.013477695328088988,0.08898488339808282,0.008255574389117663,0.04257448027425512,0.0038367661425094393,0.03867608341315556,0.011943856132098796,0.055641433285301946
1958,0.009589337338572644,0.007969333353264012,0.018024896641837415,0.01756834142169607,0.07515310722108447,0.00803288118897195,0.5649239810872485,0.00013672870152674866,0.015058700034567302,0.0023113673542569254,0.00019158890038950291,0.0019114284891146496,0.013159421791338792,0.14304781881891532,0.004202579877498143,0.0018148471091237286,0.011025220049988495,0.020975974837051364,0.00436487755710694,0.08053756822644617
1959,0.0015577435943001639,0.01914312540136794,0.037130686206654384,0.027912246020560704,0.010234019441135929,0.042826569818911385,0.5348257527638907,0.016876556052238107,0.009385111917019243,0.0014188390148285224,0.0003827914749774211,0.058726431612966354,0.011037533844677915,0.08592747912888958,0.017615799472380893,0.020734707068760534,0.00998315087897792,0.0132907452041011,0.0007237753836629713,0.08026693569969749
1960,0.04893925880891759,0.004100067498449538,0.10616658125873644,0.028978133412667285,0.020806536575197234,0.012576419444837261,0.4776741309796839,0.0039019820784750425,0.055698229907281904,0.01150382706389228,0.0008232556663734112,0.001135154724154849,0.022329439572092435,0.04173002198890992,0.023421412243114236,0.017112276069242663,0.007059798375523064,0.05881802786707865,0.0074498476832567505,0.04977559878211464
1961,0.004517242472198981,0.018264054788064712,0.03944369556344467,0.031468223537104274,0.0016122449899145025,0.006060606190045062,0.4937270222672943,0.0011308630948426077,0.007458811055105198,0.009428408695686301,0.1826239009414429,0.006099896840628931,0.04110609333915205,0.10339660083901976,0.00649997213931218,0.02133027841747873,0.001287506460832568,0.021835262151175792,0.0009312597157203822,0.0017780565015354675
1962,0.060182450100303125,0.017654847506378066,0.011687106325493628,0.1387853175930416,0.0021204967266097888,0.006731201498323478,0.6062735713432743,0.0017961052680697516,0.013106572642435964,0.019857066081057022,0.004622354118511038,0.00898064787978028,0.018629786477478583,0.028208820423374616,0.009366961209285249,0.004920950504765049,0.01532425160000352,0.0142618341754681,0.0015286275527777106,0.01596103097356829
1963,0.034524631605331195,0.004578354309618318,0.028840393795374022,0.15874250721570649,0.004279975478121523,0.01129179831529203,0.47914507539172263,0.002490964688757856,0.12711691301408565,0.02976007674249384,0.00015763150253506476,0.035921523796264926,0.0011087382215315244,0.012432726309081812,0.0031287215095350497,0.007521009755981254,0.027660714980177963,0.022711532211855633,0.004705154277769496,0.0038815568787629686
