year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.009550742155652546,0.0003100522811295206,0.0002551948898419812,0.0003243526941159616,0.00022839742256157295,0.00038108935497817867,0.0003853839857489929,0.00027470649903772905,0.00024363292267187394,0.13487075874564367,0.00020635259464491567,0.008302002173724114,0.05211961784662762,0.00024441929785891554,0.3348901809121085,0.061543552690404325,0.0009268555865450067,0.028119017729305414,0.00019690693637075074,0.0067759794849223285,0.09293112434626441,0.002736555885293961,0.00031516997482171127,0.0001719157228877432,0.009511023264038288,0.012373169117372624,0.01045119123291552,0.0002778104674232592,0.014367955457548036,9.535287473788363e-05,0.0002328482408602576,0.0016860414365223238,0.004248766238891057,0.02598175154065583,0.0069210752833366975,0.00020365995503496062,0.00017660639434340667,0.17666088674086652,0.00018339601228087286,0.00032450361000943556
1955,0.00020209783235043284,0.02822004508233244,0.013616389444177925,0.0036993708987509764,0.0001638690562895076,0.0002734214434728226,0.01603551552241809,0.00019709458298188947,0.00017480012108514578,0.00457450015998696,0.0013005257570473856,0.0002402007979177078,0.0038101979828847944,0.0075420093772895795,0.26030588369001534,0.001753524215419004,0.01462557710213333,0.129876144925189,0.001293748749277074,0.00021800341491589237,0.0007790963933021728,4.828357606039352e-05,0.004953168731962829,0.0001233449438920469,0.05070324692340069,0.027379231690122817,0.01997354053886472,0.00019932159747435794,0.0008423968636280344,6.841314329445768e-05,0.00047012033804015926,0.0029196450849372072,9.91071937005614e-05,0.001017927686854319,0.0013392832977588826,0.00014612058341662053,0.0001267103754988654,0.39412459850148823,0.006330699699013486,0.00023282268135250034
1956,0.00022171596881976003,0.0002440484216547,0.0237981216881114,0.03114065023817268,0.0001797762309088352,0.08912595835559571,0.00560223677021476,0.00021622704165962002,0.00019176840120184,0.04798126096981454,0.0001624243009726827,0.0002635176835012,0.00019034506068356,0.01529101331833338,0.3367809427158451,0.00020805037612283997,0.0001671345052720805,0.0001901635003525,0.0001549894322953662,0.02143473850634828,0.0032629454530573197,5.2970582216589816e-05,0.00024807666187128,0.007200509329592876,0.00019045242586816,0.00021463156863317997,0.004427848403928981,0.04186331498057538,0.0002468393633031,7.505417633195685e-05,0.00018327956001484817,0.01314783207084482,0.00010872777413179933,0.00020392029789303997,0.00010911450676487464,0.0001603048698738368,0.00013901046506292116,0.34964624951437057,0.0029521134081435937,0.00202172110163828
1957,0.03691081366870677,0.04723223232694061,0.003843342314859715,0.00845952133477686,0.001496933336961779,0.003135248424907769,0.002613696254711573,0.00024592031080608866,0.00014505011073750486,0.00031039479246181554,0.0001228547701023483,0.01617703402028522,0.11139818552983126,0.006464524527489081,0.30372983016519584,0.0007004763916087092,0.00879978378463368,0.004912770669054351,0.009096594235332288,0.0003350234754539323,0.04417356020999261,4.006597942201313e-05,0.0018991546668948123,0.0023326356845056414,0.00038614009454582927,0.022418791605958048,0.017823142918629305,0.0009936329196203449,0.004388207006500879,0.0020957870504263315,0.028295204014420126,0.037114348996836195,8.223969944589698e-05,0.0047992126040837906,0.00046709983729137546,0.0043582762768307436,0.00010514497291879183,0.2607098742506839,0.00075474823181109,0.0006325025343239325
1958,0.02576424779578892,0.016257267141119865,0.0047558434060162285,0.0010753689867173898,0.012022562379873763,0.012237568713522566,0.001738821676422577,0.010041336491443745,0.004572202095759115,0.004513002783342727,0.002004761480501976,0.007658536838940204,0.012753091750257399,0.001353919081340946,0.3131432046111531,0.00017922494621370544,0.016002701066751845,0.0029289907255402826,0.007034433964670084,0.00396500698901883,0.0005689719303332245,0.0014466682880946602,0.0007093394556405842,0.002223559945877029,0.013030513135305035,0.06608107352710779,0.0008264450444567907,0.002599005889391457,0.007068334361522778,0.0007151797812990339,0.019839257285122574,0.12015126690028116,0.0020319633472059297,0.002231287111715684,0.0009533496158377203,0.00013809459139824394,0.0001197505315219223,0.29710139445273703,0.0011919727846892174,0.0009704790960657133
1959,0.017887797034829952,0.025935500803266946,0.0060091685728846786,0.01919053626711076,0.00028493193996348214,0.09709520112088599,0.010683180814625656,0.0005718289059608099,0.0001984753019917791,0.011228389407469992,0.00016810492231419778,0.000896769265325078,0.0012160640627971277,0.0004798197730144066,0.37456261034719035,0.007425889300278719,0.0030132483200487393,0.0001968142714009969,0.0006178335494697303,0.007220281995189078,0.018447379933652974,0.017435111485710496,0.011058808826151945,0.0010944413214824245,0.010026786151157598,0.009529692259288094,0.000984357169612472,0.0007738211892899296,0.016791340531967413,7.767911824820935e-05,0.03097926661795416,0.01866741561036983,0.018054817987546486,0.0007559878966019858,0.00011293067338578773,0.0012424670856870366,0.0001438722117954234,0.2089320243953138,0.04534794523854442,0.004661408320219733
1960,0.015890083120604172,0.005367499852819222,0.02024890854612,0.0006618692474881688,0.018803140413270535,0.11623383137477836,0.001245260406097599,0.024406462454909808,0.010197072964598644,0.014193361925036127,0.0009962737412604378,0.00022500778677236711,0.00016252845068467133,0.001768655845953756,0.2895254251224418,0.0003825316428315429,0.011749258279597694,0.10004467187703246,0.0010849449011658468,0.0004477735083487544,0.010582612436814234,0.0005045927908917082,0.006226348845936265,0.0003425177916709548,0.02196499158539665,0.0001832657815899892,0.0010915901905074255,0.0008193134212868621,0.0014435753431352011,0.001337159773454849,0.05595028187366129,0.007052568007545042,9.283853551319845e-05,0.011473683518730673,0.006117087777073509,0.0066483305124586676,0.00011869578036065531,0.2316079858083741,0.0001232590296271123,0.0026847397341584088
1961,0.0002659273624937804,0.01703944314681035,0.0002565762522447462,0.004499425944332598,0.00021492402296154842,0.0016108447404224895,0.0003900727249150844,9.699101512961874e-05,0.07730449431085869,0.002584996064412369,0.13989096828363964,0.0011573007196106903,0.001362746437853056,8.629746984379864e-05,0.3658502328431439,0.026838485559274216,0.0017598982731074997,0.0013176928493824512,0.00017628071131042773,0.0003961209494707148,0.0146511940078817,0.001592443522954741,0.0015974784653760901,0.0247880264552919,0.018339021241890633,0.012037855850902593,0.006138726892760435,0.0005734923415934231,0.0026989881093632036,0.01233185537007843,0.004044431200442858,0.0053306652474938016,4.8771037631962404e-05,0.07312070823985516,4.8944510803387636e-05,7.190651058234227e-05,0.0006261221730422351,0.1763954488496955,0.0022868800196160274,0.00017732027152517893
1962,0.00525591878409679,0.003843200878149233,0.015731205783543804,0.027870720020852724,0.00174779547372713,0.005368218816928047,0.003823983886128057,0.0005645352696298852,0.008880529438249777,0.0006079177564614701,0.0011454795540813167,0.0018223797598360624,0.0004083460085316164,0.002040082536611594,0.5172769660615268,0.04686757163577504,0.001121820196424836,0.00029613298309234327,0.006414150750892011,0.00034093061626211266,0.00370348533385052,0.0007210742147341202,0.00214017939796933,0.011853553649334972,0.01422474309751514,0.0007888020918525138,0.001093004864363657,0.00017226305868620862,0.000778125952943267,0.02642949980845355,0.032430639508891954,0.0061703199590508045,0.0009636140832704682,0.014773540351982781,0.0008927838823826147,0.028147002652072824,0.004247068996318391,0.19856677696688393,0.0001137191061207488,0.0003619168125202012
1963,0.03230005433088528,0.03199283038278336,0.0470823119357924,0.0016365646629481942,0.00027678278341974346,0.015173544752069855,0.0029530463553603887,0.046462948891322166,0.007029748739540291,0.001073361812910045,0.00011512731611377761,0.00821405227227126,0.004247335122905524,0.0008111976661551295,0.4344310419927265,0.007286573293933606,0.000338178641968839,0.009958276234461806,0.0003295701415939514,0.00016952196937288056,0.006398887405337874,3.7545865532800726e-05,0.0056670245597022165,0.0008358888209159501,0.00031643598120035887,0.0010112703985871358,0.017540075951242996,0.0013006845168353853,0.009145331526967015,0.003816707413685612,0.01633639338014912,0.0011480308602991726,0.010326863089839279,0.002838230032037954,7.734101509250537e-05,0.0003348934508639552,0.06949605726069588,0.16642615477271905,0.03290565445406475,0.0021584599456949583
1964,0.028771756624060413,0.0028729498899325006,0.0059672847317971105,0.03702420637795688,0.0014062898904751199,0.0030809372165128447,0.0034841654530527763,0.00018332877894737106,0.00016259144352707934,0.002704581923412424,0.00047107884655699236,0.001592487187754945,0.00217485088281884,0.0017546731226406997,0.46349680890848594,0.0030983193175526873,0.005531884514112463,0.003247932400947911,0.0006699104052203437,0.0037252648675484947,0.010374238808448228,0.002594976796969512,0.12092648358220025,0.004525062207907779,0.00048803715461833347,0.004824094194905777,0.01314553658563033,0.0004019915025337487,0.008379376582101005,0.0003807723532247137,0.01846898555620865,0.001539167117301425,0.017630086039676543,0.00557056759998049,0.0001581944048833704,0.027486442660242815,0.006078701754462065,0.18329159288641436,0.002069137666571463,0.00024525176240425007
1965,0.002013662481960526,0.008059236700332898,0.040804963770070694,0.0002366916154493535,0.0006441494831792649,0.009392136842391645,0.005110727762802955,0.019556447590490172,0.023491707520143002,0.006263113212360658,0.0010279070825662503,0.012679770666459905,0.00017646797555978083,0.000646837768813588,0.44588316355283214,0.003097370813751414,0.0022207943139322555,0.00042024270292859297,0.021692276552511963,0.0002217292085691546,0.016861486207115858,0.0007156343865312944,0.013196205598143102,0.02231050486736165,0.0018515045816071877,0.0030170590587613936,0.0002944943888060865,0.003058096346474106,0.0002288435674355298,6.958236009404348e-05,0.01766884842001872,0.00864715463040827,0.00046242312620922997,0.004042659211545588,0.0013208747813108998,0.0001486178614638952,0.009549134930844016,0.228583073329916,0.06409760298473911,0.00023680174410644112
