idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
uj0002,2.3985470257386262e-05,2.4180597441749385e-05,3.320042815492117e-05,2.5026404750800964e-05,8.286075949462721e-05,3.284860016799474e-05,3.3154187285802136e-05,0.0021325167551376,1.8049353633989384e-05,2.9158536569733057e-05,1.976198698287252e-05,3.6925204852508406e-05,2.8418641779306214e-05,0.0569663186004652,2.2731136470948345e-05,3.553998327726826e-05,1.5415932568806785e-05,2.365520702132594e-05,2.294239723586192e-05,3.479387790235267e-05,1.889374852968909e-05,2.1462375323184863e-05,1.1258738713863796e-05,2.917851035737275e-05,2.452065293824835e-05,3.154559989980928e-05,0.0072620286086562,0.0190036606465132,2.780445910960776e-05,2.979964015204249e-05,2.31886629238377e-05,1.1882987530124271e-05,2.107292839872849e-05,2.8085869551429514e-05,2.977787276642648e-05,2.4901745691619544e-05,1.993069061319776e-05,2.612917537781353e-05,4.760719619134955e-05,7.065159694117376e-06,1.3186048580693673e-05,2.9353863622419904e-05,5.081233833678772e-05,3.240085796968021e-05,2.5795419761667075e-05,1.2822706327759768e-06,0.5230801218863518,1.6775922001326315e-05,2.3412457082671377e-05,2.2942567289638064e-05,1.898242756900737e-05,3.847811557984755e-05,1.873958030044524e-05,2.8482441346936315e-05,2.198908230583616e-05,4.0857388278325845e-05,2.338457926135353e-05,0.3900985255680984,4.9909283074956365e-05,2.3288572172519943e-05
uj0003,4.2883209103143135e-05,4.323207363483497e-05,5.935847359269214e-05,4.474427795294109e-05,0.0717738520657473,5.87294463954014e-05,5.927580033933236e-05,4.291593309327279e-05,3.227012844680782e-05,5.213204525253982e-05,3.533211610971617e-05,6.601793768787535e-05,5.080920010205003e-05,6.520067941562132e-05,4.0640607333332514e-05,6.354132389511823e-05,2.756188028727585e-05,4.2292737152454814e-05,4.101831681577591e-05,6.220737494760357e-05,3.377980753541216e-05,3.8372211132731433e-05,2.0129305005208044e-05,5.216775604339543e-05,4.384005299928155e-05,5.639983466119571e-05,0.0129836558548236,4.835116466111521e-05,0.0113590332305172,5.327826330379872e-05,4.145861099717277e-05,2.124538871058563e-05,3.767592568504897e-05,0.4184951325724992,5.323934577001751e-05,4.45214021683885e-05,3.563373842431175e-05,4.67159025608189e-05,8.511608599624234e-05,1.2631677313753452e-05,2.3575109116568537e-05,5.248126712536474e-05,9.084650442678346e-05,5.792893583177339e-05,4.61191866439338e-05,2.2925495761426026e-06,0.4828330547413049,2.999338196670781e-05,4.18587287187076e-05,4.101862085199296e-05,3.3938355262237745e-05,6.87943600270826e-05,3.350417281402537e-05,5.092326625001431e-05,3.931390147403986e-05,7.304822069970478e-05,4.1808886442192494e-05,4.223686885212409e-05,8.923194748004684e-05,4.163723702187034e-05
uj0006,2.246940521464889e-05,2.265219886959081e-05,3.110190734255188e-05,2.3444544692151424e-05,0.1738986417506151,3.0772317573442827e-05,3.105858924978307e-05,2.2486551519924105e-05,1.6908496531966572e-05,2.731549419798142e-05,1.851287836343498e-05,3.4591249684147044e-05,2.6622366413372364e-05,3.416303296090388e-05,2.129435491046654e-05,3.329358469979844e-05,1.444152780550775e-05,2.2160017139330443e-05,2.149226238035816e-05,3.259463888710822e-05,1.7699519216494314e-05,2.010578916446364e-05,1.054710037589348e-05,2.733420548958136e-05,2.297076025964532e-05,2.9551676881120383e-05,0.020629684816569,2.533443588043368e-05,0.2844604407902146,2.791607513389355e-05,2.172296219462959e-05,1.1131891895792997e-05,1.974095826220046e-05,2.631062793369672e-05,2.7895683613417986e-05,2.3327765038287364e-05,1.867091863491112e-05,2.4477611786990943e-05,4.459805752723608e-05,6.618587601985478e-06,1.2352589528588143e-05,0.1461951730592683,4.760061019197784e-05,3.035287610418379e-05,2.416495207670029e-05,1.201221328308755e-06,0.3734783683503863,1.571555551140655e-05,2.193261085215203e-05,2.1492421685435912e-05,1.778259306274815e-05,3.604600458452317e-05,1.755509559765622e-05,2.6682133360704105e-05,2.05992042401565e-05,3.827488906352549e-05,2.1906495122213424e-05,2.2130743969130764e-05,4.675463492480287e-05,2.181655641518239e-05
uj0007,3.3138952734623514e-05,0.3030037807824706,4.587057946284728e-05,3.457713504278511e-05,0.0001144825914597,4.538448471863928e-05,0.0058721600041176,3.3164240925150174e-05,2.4937458826060948e-05,4.028619638581447e-05,2.7303677832457155e-05,5.101682832116845e-05,3.926393840106645e-05,5.0385273831133305e-05,3.140593238454691e-05,4.910296998042037e-05,2.129905543963687e-05,3.268265241395682e-05,3.169781578012034e-05,4.807213128978588e-05,2.610409688809073e-05,2.965297881490352e-05,1.5555367732484304e-05,4.031379269297128e-05,3.3878375117222674e-05,4.358422548514343e-05,0.0945155315969265,3.7364436894515306e-05,3.841536756867704e-05,4.117196185483244e-05,3.2038062892493534e-05,1.6417846216112538e-05,2.9114908763171688e-05,3.880417159171631e-05,4.114188746582341e-05,3.4404902827788886e-05,2.7536763178356752e-05,3.610075176964276e-05,6.577534680301911e-05,9.761409330460074e-06,1.8218189428139008e-05,4.055606534803711e-05,7.020365497982947e-05,4.476587239259274e-05,3.563962628535144e-05,1.7716186273009697e-06,0.5945213978642987,2.317805239238469e-05,3.234726275275437e-05,3.1698050730863e-05,2.6226618167056063e-05,5.3162370378178326e-05,2.589109403230892e-05,3.935208555154945e-05,3.0380690951283355e-05,5.644963573722925e-05,3.2308746026040954e-05,3.263947894343668e-05,6.895597022245571e-05,3.217610012229574e-05
uj0008,4.814678119124642e-05,4.853846606334528e-05,6.664425306976979e-05,5.0236281407462726e-05,0.0001663289822512,6.593801779809372e-05,6.655143233356257e-05,4.818352179031603e-05,3.623102948300559e-05,0.0042910145910466,3.9668851723914765e-05,0.0127715723716769,5.7045624405855295e-05,7.320354308825352e-05,4.562891793034928e-05,7.134051490461197e-05,3.094488139213291e-05,4.748383351536282e-05,4.605298824097648e-05,6.984283435692242e-05,0.0169678610208165,4.308209417789391e-05,2.260001674050504e-05,5.8570932259721816e-05,4.922107004847141e-05,6.332246479324315e-05,0.450523122653735,5.428588470796166e-05,5.58127564115194e-05,5.981774543429856e-05,4.654732502348047e-05,2.385309082422588e-05,4.2300345241717415e-05,5.637764035258584e-05,5.977405108346394e-05,4.998604939693685e-05,4.000749577334451e-05,0.0169823849183905,9.556340707757398e-05,1.4182115014781916e-05,2.6468765839448083e-05,5.892292432795304e-05,0.0001019971886923,6.503925094378538e-05,5.177994918064524e-05,2.573941762313967e-06,0.1527084582099887,3.36748305208043e-05,4.699655400592771e-05,4.605332959521564e-05,3.810401784231164e-05,7.723831934893615e-05,3.761654295952287e-05,5.717369126424164e-05,4.413936950222508e-05,8.201430751088032e-05,4.694059398727159e-05,0.3428786050840343,0.0001001844577502,4.674787596885144e-05
uj0009,6.760373847141009e-05,6.815371005832467e-05,9.357636260781468e-05,0.380416428442169,0.0121193545237245,9.25847252973987e-05,9.344603138691016e-05,6.765532658985396e-05,5.087262286527216e-05,8.218417480733973e-05,5.5699729266475885e-05,0.0001040747529677,8.009876003866446e-05,0.0001027863765692,6.40683625815799e-05,0.0119859795535724,4.345024977584385e-05,6.667288203216775e-05,6.466380712976796e-05,9.806754659698498e-05,5.325257418925747e-05,6.049232275848429e-05,3.173307920846785e-05,8.224047150285529e-05,6.911216626553629e-05,8.891218152763622e-05,0.3354421775287435,7.622376120863904e-05,7.836766850156272e-05,8.399114371169901e-05,6.53579140614121e-05,3.3492542469462895e-05,5.939465538957641e-05,7.916083193375281e-05,8.392979170864884e-05,7.018628716272078e-05,5.6175225305590336e-05,7.364583307143398e-05,0.0001341822530949,1.9913356006550405e-05,3.716525755612445e-05,8.273470972887902e-05,0.0001432160385091,9.132275102077808e-05,7.270513325837192e-05,3.6141166955466233e-06,0.256020951747434,4.728341914602199e-05,6.598868434120522e-05,6.466428643123193e-05,5.350251861467987e-05,0.0001084516765616,5.281804659657069e-05,8.027858095684412e-05,6.197686155318476e-05,0.0001151577251624,6.591010989920761e-05,6.658480779417599e-05,0.0001406707512543,6.563951115524893e-05
uj0013,3.3529664073287466e-05,0.2947861304531146,4.641139786621508e-05,3.498480268478684e-05,0.0738039143562983,4.591957201970738e-05,4.634675703193581e-05,3.355525041393529e-05,2.5231473787814028e-05,4.0761174392682354e-05,2.7625590736639632e-05,5.161832147779819e-05,0.002987250144068,5.097932090151473e-05,3.1776211251903376e-05,4.968189856899284e-05,2.1550173286653312e-05,3.30679839293491e-05,3.207153597989101e-05,4.863890619420336e-05,2.64118666212333e-05,3.000259019643761e-05,1.573876696657715e-05,4.078909606287033e-05,3.427780431463301e-05,4.40980875622072e-05,0.2518486123651874,3.780496708490445e-05,3.886828832957796e-05,4.165738311906315e-05,3.2415794637403134e-05,1.6611414151841965e-05,2.94581762486904e-05,3.926167638825457e-05,4.162695415020715e-05,3.481053983593742e-05,2.786142418047245e-05,3.652638299473441e-05,6.655084426687355e-05,9.876497255455546e-06,1.8432983577987465e-05,4.103422513509998e-05,7.10313626094557e-05,4.529366619673114e-05,3.6059820798042965e-05,1.7925061758912286e-06,0.3745715679337447,2.345132378844755e-05,3.272863999280935e-05,3.20717737007248e-05,2.653583243748691e-05,5.378915967545461e-05,2.6196352441946844e-05,3.981605030469629e-05,3.073888212667043e-05,5.7115182199201226e-05,3.268966915030128e-05,3.302430143959118e-05,6.976896753260723e-05,3.2555459338998826e-05
uj0014,0.0579559775000303,0.3040942198990187,5.699503130947864e-05,4.296272071190621e-05,0.0146209471439359,5.639104972716731e-05,5.691564980961006e-05,4.120717401041305e-05,3.09852472590054e-05,5.005633352002955e-05,3.392531751610488e-05,6.338933934397708e-05,4.878615933584972e-05,6.260462137540751e-05,3.9022443590676906e-05,6.101133546152792e-05,2.6464464714853925e-05,4.060879150478149e-05,3.938511403138714e-05,5.9730499593838025e-05,3.243481632159098e-05,3.684436681999192e-05,1.93278280179887e-05,5.009062243481647e-05,4.209449876438325e-05,5.415419480665384e-05,0.2948013515965662,4.642599408164858e-05,0.0109067571221785,5.115691326484013e-05,3.980787727200364e-05,2.0399473258876867e-05,3.617580497045201e-05,4.82148906926185e-05,5.1119545288170645e-05,4.274871904458127e-05,3.421493030807076e-05,4.485584227408817e-05,8.17270676396463e-05,1.2128729066194252e-05,2.263643252424576e-05,5.039165062592732e-05,8.722932128764634e-05,5.56224126333192e-05,4.428288545247075e-05,2.2012684451317524e-06,0.3115820134637184,2.8799152687108925e-05,4.019206373580722e-05,3.938540596196859e-05,3.2587051244552064e-05,6.605521446801221e-05,3.2170156389746746e-05,4.889568377745153e-05,3.774856241732135e-05,0.0036898148108022,4.014420600061668e-05,4.055514768050786e-05,8.567905022842692e-05,3.997939104677124e-05
uj0015,8.799972256309089e-05,8.871562005870843e-05,0.0001218082628882,9.1818782420741e-05,0.0003040058739164,0.0001205174495371,0.0001216386108609,8.806687476817983e-05,0.0078020940807881,0.0001069790627803,7.250428501616138e-05,0.0001354740077112,0.0001042644803442,0.0001337969293692,8.339772710402514e-05,0.0001303918011502,5.655914912439764e-05,8.678802761468156e-05,8.417281671041449e-05,0.000127654432848,6.931882556179776e-05,7.874279944140687e-05,4.130691925563732e-05,0.0001070523441358,8.996324159903439e-05,0.0001157369027782,0.011171737936169,9.92203980244706e-05,0.2476499546599182,0.0001093311924977,8.507633504823e-05,4.3597210921874e-05,7.731396686328988e-05,0.0001030435802153,0.0001092513306532,9.136142375713246e-05,7.312323776149834e-05,0.0155676111826384,0.0001746649122109,2.592119671928468e-05,4.83779806838329e-05,0.0001076956935681,0.0001864241821584,0.0001188747388123,9.464020334252724e-05,4.704492291550395e-06,0.4570362030241731,6.154878207577158e-05,8.589740812610887e-05,8.417344061667778e-05,6.964417798446981e-05,0.0001411714450224,6.875320140450924e-05,0.0001044985530637,8.06752221893446e-05,0.2554337174775694,8.579512784911999e-05,8.667338146221311e-05,0.0001831109841411,8.544288971950301e-05
uj0016,5.35904813946156e-05,5.402645198977104e-05,7.417936393311559e-05,5.591623027523951e-05,0.0001851349146958,7.339327839945049e-05,7.407604845046703e-05,5.363137605760556e-05,4.032747908327027e-05,6.514860850198646e-05,4.415399758110361e-05,8.250159293963991e-05,6.349546943175572e-05,8.148027795063144e-05,5.078793674056453e-05,7.94066070895098e-05,3.444365437258328e-05,5.285257775472487e-05,5.125995442335425e-05,7.773959177633187e-05,4.221410162859096e-05,4.79531571863679e-05,2.5155280305015187e-05,6.519323572352512e-05,5.478623437313509e-05,7.048199874222264e-05,0.4166628666246024,6.042370065978972e-05,6.212320761740858e-05,6.658101942539519e-05,5.181018323387898e-05,2.655003280369157e-05,4.7083020060211606e-05,0.2685913568452494,6.653238478695174e-05,5.563770586358346e-05,4.453093031017381e-05,5.838013897226605e-05,0.0001063682527115,1.5785611250252168e-05,2.9461448266354152e-05,6.558502566081435e-05,0.0001135294677583,7.239289276219285e-05,0.0236127752117544,2.8649636530466434e-06,0.2877500944174835,3.7482264314277785e-05,5.231020414556016e-05,5.126033437269978e-05,4.241223626408824e-05,8.59712448809163e-05,4.1869645191745e-05,6.36380161279587e-05,4.91299730024137e-05,9.128722859573434e-05,5.224791702554022e-05,5.278276000619254e-05,0.0001115117809801,5.2033409406857904e-05
