year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.00015751062844911176,0.010770369731923383,0.00021802450597570603,0.04302311861307935,0.0906683091359959,0.00021571408025829652,0.000217720845956675,0.00050311681280162,0.00011852863435583014,0.00019148173333566253,0.00012977535798436082,0.00043662387778191884,0.004739940380556292,0.010507545672256102,0.00014927352069735208,0.060425989435259654,0.00010123517283526262,0.00015534181669320585,0.0015326048076347973,0.00022848856060656063,0.00012407370682066424,0.02084094394062427,7.393521958648451e-05,0.00019161289957130305,0.00016102512949884594,0.0002071573836870415,0.2544268678961297,0.00017759450589859281,0.00018258961700754985,0.00019569180831300554,0.0034879535372657074,7.803461068880258e-05,0.0001383842034251934,0.00623304106825322,0.05747721060630491,0.0007459449349203969,0.00013088322097596432,0.0017627454358994273,0.0003126325775702295,4.63963279257092e-05,0.0021402042388848205,0.0008598995256999909,0.00033368048483155315,0.0002127737937313725,0.00016939641933925436,8.420566744912486e-06,0.2717621771091823,0.008068849401971846,0.00015374769762932253,0.0024657620181705686,0.00012465605484485482,0.0009669955200597099,0.00628389889403884,0.000187041871106944,0.00014440051146987607,0.00026830713909088087,0.009958765291030321,0.00015513661164256497,0.12409752074020367,0.00015293415552053755
1955,0.00011303613603019493,0.013934283324275295,0.0001564633952517333,0.00011794173978671473,0.00039049724609491513,0.16674673058096917,0.00015624547627347493,0.007385218936640929,0.004454826030341963,0.0001374152047372431,0.002588675308632647,0.0011342364447667803,0.0051232356780506645,0.0026585398540170326,0.00010712484711279855,0.000487562106119393,7.265054352408016e-05,0.00011147970708899072,0.00044365869660072425,0.00016397283327713799,8.904041930404793e-05,0.0005143198400160817,5.3058968914606546e-05,0.04788023567736734,0.00011555828721863964,0.00014866469921851502,0.39748260981821504,0.00012744915644505276,0.00013103385459753205,0.008202294303299048,0.0002206360538161898,5.600086137509311e-05,0.0018811445756285725,0.00013236005536160762,0.00014033394553434423,0.00011735426002417237,0.03094757667337409,0.00012313875820108296,0.0016809463851256059,3.329592222664562e-05,6.214178688487505e-05,0.0010047793986088435,0.0007383936420736181,0.002226768257085737,0.006161254236675643,6.042946672241389e-06,0.23063307563083466,0.016543774074787798,0.00011033570137249548,0.013784844478196613,8.94583363114548e-05,0.00018133551104880947,8.831387190908152e-05,0.001285922943952134,0.00048643421910092967,0.0001925482906821527,0.025381820769657584,0.00011133244346463955,0.004240824985888173,0.00010975186993597901
1956,0.00012401854708935273,0.00012502746580732817,0.003703116141824029,0.09784278213364868,0.00604106326992776,0.0001698459785461161,0.0001714260380551675,0.00012411318510258782,9.332544201003365e-05,0.00015076624730826765,0.0001021807322064003,0.00019092434743382,0.00014694056968246749,0.00018856083067188002,0.0001175329267496322,0.000183761962651937,7.970915469636182e-05,0.00012231089798956166,0.00011862526527127668,0.00017990417276582857,9.769144471964827e-05,0.00011097270873177304,0.004346935601441661,0.0001508695231705359,0.0001267857464728173,0.005460285242962013,0.38921997766369887,0.00013983191362676174,0.00014376489534604573,0.00015408111810123818,0.00011989859918938803,6.144181593077285e-05,0.00010895904624273951,0.06900851468419107,0.00015396856831551947,0.00012875621313751973,0.00010305302609504648,0.00013510272395020402,0.00024615632878123995,3.6530901033684375e-05,6.817938398869433e-05,0.006584858460799768,0.0002627287398212,0.00016753089627712575,0.00013337701725555886,6.630069752470175e-06,0.31504285008351507,8.67410749242232e-05,0.00012105574249854771,0.00011862614454618836,9.81499658783004e-05,0.00019895378067392002,0.059029466603105984,0.0001472704497972946,0.00011369608392641447,0.025943585021491015,0.00012091159827878956,0.00012214932646588124,0.01148331129549564,0.00012041518692894443
1957,0.00036413452993941457,0.017092860638564772,0.007643237557365873,0.00123325021741798,0.04018563749424488,0.017607836650577566,0.021682874504439033,0.00561479459978921,0.0076825353324699065,0.051563166778815825,7.728889019971912e-05,0.014653566928827001,0.0032659721689093264,0.0010440054783288975,0.0004956830959439527,0.023731292246244158,6.0291524362885194e-05,0.02118721055549867,8.972743593129885e-05,0.00013607843235338569,7.389322019278032e-05,8.393908827166587e-05,4.4032789870646314e-05,0.0028877666355626433,0.0002884430142150332,0.0018235764062144175,0.28019685208148765,0.001793429990572556,0.00010874290065303154,0.009781194485573099,0.0017218215488396848,0.0009497200549755384,0.0011453162858716525,0.0011009932102104844,0.0017503941234855976,0.0016377347396178655,0.016803362701795443,0.017001561815422932,0.003779324752549534,0.0007980900415614636,5.157047526672325e-05,0.002153270950262122,0.0023245270754028774,0.007930769240795828,0.0023357163812412493,5.014944814449087e-06,0.27384148267273223,6.561042645576449e-05,0.0076338987198127945,0.005080295689758305,7.424004283459599e-05,0.0023928026231914445,0.0004337271343081904,0.0023316554697462707,0.004380681849630641,0.00015979274752218528,0.10302804193783706,9.239301458635135e-05,0.0007422062573355549,0.005760667399296669
1958,0.003371624865796108,0.006498313374913762,0.0016351857807579268,0.007958976790056381,0.0005204925654474857,0.0030924990073086258,0.04415374743851974,0.0003257208987564944,8.038864033300293e-05,0.03187862180906364,0.0037840428590457556,0.0009860677134805175,0.0001265716224013051,0.00026432679119473424,0.0026451620539271,0.006548901396064869,0.00046148745286331587,0.00952005670413735,0.00010218139425765105,0.005995153114893839,8.41494263947036e-05,0.00628159019060504,5.014443815692541e-05,0.019917900694194933,0.0003665094860465188,0.00032701016262732624,0.30153721310681997,0.009025752290864905,0.00034264848283929175,0.015773606772555845,0.0070517296603313994,0.0011646566954982055,9.385510950476957e-05,0.002520678216829277,0.006908130708870203,0.00035599842458175057,0.02906731739129897,0.01632627080187155,0.04323246366325302,3.146697621770557e-05,5.8728336663023425e-05,0.008474115088569533,0.0006351915664955915,0.009566364278698811,0.0037376145718258443,5.711007429856095e-06,0.30358393143931267,7.471700025199494e-05,0.0019703771651199756,0.0020746363489548996,8.454438720833428e-05,0.0033694810933410906,0.003986050782709247,0.017254538366730018,0.002701770038629386,0.0028423396802106544,0.001615659835125145,0.0001052169489979643,0.00022228715153739125,0.0472281099396053
1959,0.00044643780611333916,0.007442014100585491,0.008821595322615634,0.014264938008861056,0.014422310974241643,0.0017170078870152917,0.00017737335475134685,0.011622404348014497,0.0012033689812546925,0.03554323828489797,0.00010572570811305934,0.009935549465239,0.0043860208619463815,0.00019510260804258333,0.00012161051931106665,0.0059031651406227445,0.002326651416387872,0.0010346956693280975,0.009567342701709945,0.001736419696282999,0.00010108067290716678,0.0001148227063806208,6.023372670040207e-05,0.00015610366871970723,0.04680158893688593,0.0014401654692806525,0.203605914027698,0.05870274800400055,0.0001487525586678902,0.004663515759127461,0.007739303968423794,0.0023790335439846824,0.006349093719849001,0.0027870401938557368,0.006910833845591053,0.00013322317734444313,0.004060299545926639,0.0026343316834201956,0.05966698800119707,3.7798274649193104e-05,7.054474454493449e-05,0.009501571182143056,0.018801898082186397,0.005720825913840965,0.0007493134026165143,6.860088044807357e-06,0.35211383235966787,0.03073851550096354,0.00012525555278816418,0.002424835934843946,0.0001015551016290765,0.006937504954040584,0.00010025588007538115,0.0066745186581282645,0.00011764056415763031,0.0032579316092367513,0.00021523302849232748,0.01019853380431947,0.0002670123353025384,0.012410516963031484
1960,0.0007773940465311392,0.00010674234790982862,0.01983341352035328,0.00011047606285483523,0.00841738365123236,0.005615937723726724,0.002664542618551206,0.0010401707622462709,7.967670731826051e-05,0.02536558154075248,0.017846786417413413,0.0031444468888534405,0.00012545068645383988,0.0008097187424614562,0.00010034387625917069,0.0177831063091312,0.0007337277467345644,0.06080797309084086,0.012618280074016532,0.0013965579525740046,0.007798644514175268,0.011962093833746657,0.02970577433838449,0.00012880503517583505,0.0001082434821230454,0.0001392542681230691,0.2140923257920163,0.005559777717510074,0.00012273945070512856,0.0008400285253913621,0.0033480672096885046,0.0012202172517839656,0.0839036324002291,0.015160844636391925,0.007193820628073503,0.00010992577038595417,0.02329893584128198,0.00011534411155449714,0.05105297030383544,3.118830028599313e-05,5.820823031965813e-05,0.00012957911113776436,0.0031359793660210794,0.004966911272865806,0.012953879827587325,0.00011668892086214518,0.29754466404082175,7.405529607312279e-05,0.00010335148440243177,0.00010127721225559662,8.379565031944275e-05,0.0024407198393414666,8.27236301722022e-05,0.00012573232199493108,0.001238378516485069,0.03036492580715473,0.00010322842110305563,0.007691072210538163,0.002662945345549303,0.0007515393179167999
1961,0.015534906160732975,0.0004424856914456697,0.002139915481719636,0.0495020741134151,0.012608784012868225,0.0013950379516678372,0.00020978755494253338,5.568221776264357e-05,0.005763053750470569,6.763986442644575e-05,0.0019198063667882665,0.0028633499170877754,6.59235099998666e-05,0.0022384298636904717,0.00031059248768592154,0.008737104792090387,0.00583166011866454,0.00023411218123879497,0.06820205998972285,0.018458222826582864,4.3828351467481076e-05,0.00014361277723357537,2.6117207850863034e-05,0.0026587200007152714,0.0020974056242844042,0.0005001610129071944,0.18982648993844234,0.002838494324329748,0.13627796483458532,0.0062514196935149445,0.01097293808488014,2.7565295109949527e-05,0.0035624906327295924,0.00087639285093403,0.0003200484969886074,5.77652687930747e-05,4.623377472248344e-05,0.002458819564715874,0.006833582659236562,0.008877784942914125,0.015675379419373827,0.009345129459305839,0.000830792333594229,0.03860976975482273,0.0009708130026030401,2.974518681744495e-06,0.3248129955265084,3.8915570645489645e-05,0.0021248290400335255,0.0021381573865142224,0.0003125612050048601,8.925874983410337e-05,0.009019968234209587,0.010436126966336579,0.004392652050320122,0.00878498316136585,0.0009116291894749443,5.4801150983361046e-05,0.00011577594550184801,5.402314552610589e-05
1962,9.77006212540023e-05,0.00047527247866108765,0.006407977752621372,0.00010194068599320619,0.0024024466950822443,0.00013380303197304465,0.010718890583011233,0.00031121215092231886,0.0034771278454423806,0.0020643050057974656,0.008838173344593114,0.0086808583330536,0.0045046579349639505,0.00014854641288080894,0.001540180618720963,0.018951093702824818,0.0012673315720214315,0.014617572567238337,0.008831284996381326,0.004086866091274412,0.002117310700265981,0.014478938309850035,0.008677336153067093,0.00011885356253559223,0.0051514771440728776,0.0011328161697905217,0.1995887874090726,0.0005006093147534427,0.0009234100318246224,0.009910345496145766,0.0004314409404261924,0.00030963562410832833,0.0011343961621687788,0.0002909114398052201,0.006026351098886711,0.00010143290910177022,8.118418501013816e-05,0.006072933394683799,0.002251237088165541,0.009791871829660778,0.00038777013525369297,0.0020989212824072375,0.002301319787190218,0.04009537592549092,0.01742908494191276,5.223105325584832e-06,0.49184136186327077,0.0028915507436872625,0.0003041984090052914,9.34525382786332e-05,7.732160122356461e-05,0.0007970460889707077,0.04711787354229838,0.0039406149221395724,0.007172977053188565,0.007947745484577936,9.525299679685127e-05,0.0037006696895117716,0.0031156077505897777,0.0018381107507721799
1963,0.03258750353038342,0.008582918157042907,0.007956133260224159,9.171519188441435e-05,0.005161563115929332,0.0058406164694033745,0.003137461161582172,0.00392995329008921,0.012465045168566412,0.00026300379435219366,7.242248521907521e-05,0.002244389040713196,0.0004321692329933874,0.0005592429285766758,0.022683507934993692,0.001633054712592026,0.0002927582769240672,0.02191023981088352,0.001446661777887809,0.008379075280629906,0.0012896396462565855,0.009228978840375712,0.0004571841746649446,0.00010693156699794313,0.023974977808092567,0.0008090187869730585,0.17415373171260273,0.004000674042169095,0.00010189603052746028,0.020054405188606104,0.004194714439775833,4.3548024270269554e-05,7.722674075245202e-05,0.00010292732579047507,0.0001091280726048037,0.0008379089749334122,0.0002785121355921695,0.047088329472237504,0.013883409045815996,2.5891952259715325e-05,4.832340033727636e-05,0.0025789558486457595,0.005643729513148571,0.00032670255264295554,0.00024386355480463892,4.699184653323232e-06,0.40787338643607574,0.012655715532569894,0.0070851059197013025,0.05072023017791252,6.956560497839293e-05,0.0003489741035667661,6.867563360389478e-05,0.013506200852503024,0.028699841959413195,0.027609481334287485,0.0007968988642524559,8.657559600009211e-05,0.00018290439716021892,0.0009617009315716716
