,Number,Score,Rank
0,0,"0,01138",34.5
1,1,"0,01147",33.0
2,2,"0,01575",13.0
3,3,"0,01187",30.0
4,4,"0,0393",3.0
5,5,"0,01558",15.0
6,6,"0,01572",14.0
7,7,"0,01138",34.5
8,8,"0,00856",53.0
9,9,"0,01383",22.0
10,10,"0,00937",49.0
11,11,"0,01751",9.0
12,12,"0,01348",24.0
13,13,"0,0173",10.0
14,14,"0,01078",44.0
15,15,"0,01686",11.0
16,16,"0,00731",55.0
17,17,"0,01122",36.0
18,18,"0,01088",42.5
19,19,"0,0165",12.0
20,20,"0,00896",51.0
21,21,"0,01018",46.0
22,22,"0,00534",58.0
23,23,"0,01384",21.0
24,24,"0,01163",32.0
25,25,"0,01496",17.0
26,26,"0,44415",2.0
27,27,"0,01283",27.0
28,28,"0,01319",26.0
29,29,"0,01413",18.0
30,30,"0,011",41.0
31,31,"0,00564",57.0
32,32,"0,00999",47.0
33,33,"0,01332",25.0
34,34,"0,01412",19.0
35,35,"0,01181",31.0
36,36,"0,00945",48.0
37,37,"0,01239",28.0
38,38,"0,02258",6.0
39,39,"0,00335",59.0
40,40,"0,00625",56.0
41,41,"0,01392",20.0
42,42,"0,0241",4.0
43,43,"0,01537",16.0
44,44,"0,01223",29.0
45,45,"0,00061",60.0
46,46,"1,0801",1.0
47,47,"0,00796",54.0
48,48,"0,0111",38.0
49,49,"0,01088",42.5
50,50,"0,009",50.0
51,51,"0,01825",8.0
52,52,"0,00889",52.0
53,53,"0,01351",23.0
54,54,"0,01043",45.0
55,55,"0,01938",7.0
56,56,"0,01109",39.0
57,57,"0,0112",37.0
58,58,"0,02367",5.0
59,59,"0,01105",40.0
