receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
BaumannSabine,7.898802563360671e-05,4.779672320764216e-05,6.80514288789253e-05,5.768216582373941e-05,3.848592249243978e-05,5.945319633378844e-05,4.890464675224396e-05,5.705847223579389e-05,7.764958551916802e-05,6.938344439829881e-05,6.678546011558084e-05,0.0001109745326204,5.893224997987231e-05,3.390063409460122e-05,6.12353950574043e-05,5.3557794072166185e-05,6.271522817734723e-05,4.405960895600024e-05,4.8211000747677314e-05,5.093063024233117e-05,7.235435439702145e-05,7.183461761874506e-05,3.3462955451912974e-05,7.579962730466452e-05,0.0001517379635625,4.764113135859344e-05,6.658165632961402e-05,0.1765962213477852,5.545488714386047e-05,1.5041042429160371e-05,9.687681819038374e-05,6.657941490214975e-05,5.310560781375196e-05,0.3672525434043571,3.781771331981972e-05,5.1016190778648326e-05,3.869961413634078e-05,2.4593766968211963e-05,0.000104586251773,5.942199894242625e-05,0.0001217250901433,5.8126342363337e-05,0.1668109100923742,6.170139118414172e-05,4.136321883150662e-05,0.000116104041434,6.354311455600961e-05,0.0001231576657671,9.210864982246996e-05,6.521621413724505e-05,3.343777513764769e-05,8.973388772399531e-05,4.752361898608987e-05,9.169964612267915e-05,9.498506734998294e-05,6.995146108379106e-05,6.01551610701235e-05,1.5258743627418886e-05,7.52543800876042e-05,5.772694357298327e-05,0.0001090192291925,8.839337060503722e-05,6.937655964974257e-06,8.425895352126488e-05,0.2841161344698028,4.8351910790425614e-05,8.695675719775957e-05,1.661538534433276e-05,0.0001212026950239,0.0002670245789888,6.080427500642452e-05,6.0870583972596176e-05,8.967487254163841e-05,5.9991625417069216e-05,7.333714482121046e-05,5.562349715154624e-05,7.162488704019152e-05,0.0001280018443511,6.554534820959753e-05,3.38218997784773e-05
BaumgärtnerKlaus,0.0013794030717964418,0.001638470000029523,0.004274814629795274,0.014093009344435215,0.01940190221120114,9.292861700209528e-05,0.0006738605290165068,0.0002611421758658146,0.0003734235861570265,0.0001084501410920946,0.010624862459934799,0.002105737230043023,0.006445038287321667,0.0006407331298031135,0.004543206594984791,8.371377890040739e-05,9.802735225153259e-05,0.009316079688855781,7.535644675208677e-05,0.003774262562830226,0.0008199964265928369,0.00011228145969992293,0.00268811977508709,0.0014185578741252637,0.0008044001373347346,0.01565308528131085,0.0018885967206605464,0.08647681277240436,0.0030903341443062377,0.0005697607339313598,0.0001514237970226553,0.001293998688172825,8.300698689908705e-05,8.901532245885476e-05,0.00031933546161131473,0.00217489332320352,0.0001865161320030248,3.844141092762705e-05,0.005922570825226397,0.012646837425541823,0.02613191571670529,9.085467124238188e-05,0.5192268624070236,0.006602050043017168,0.004746062595170793,0.005216254661048673,0.0002660203145294851,0.011815229722920435,0.020886248050049003,0.001969856501297568,0.00043608718410166424,0.03694537451583708,7.428203123878258e-05,0.011464762982815789,0.004486620134585545,0.007112180470764822,0.007203380487224481,2.385025583023133e-05,0.0005228309442314101,0.0021697692033409237,0.00854351752547404,0.005897690542413527,1.084393798513252e-05,0.00013170138030618717,0.005466557094015801,0.003478292354682923,0.010067046015001907,0.00023608042464264958,0.023256452031367857,0.040406067623275366,0.0007979245165239231,0.0018081540928862791,0.006235947347327287,9.377021128378877e-05,0.00896291260280349,0.00020211229429249858,0.00022664017491110617,0.00020007392541998806,0.00010245098557597991,5.286549024465762e-05
BaumgärtnerKlaus+BaumgärtnerSabine,0.005390211703243572,0.0004217212245862871,0.001848119181655844,0.005228835008365693,0.010589924860117832,0.0002729079636028512,0.041277241466979475,5.8216996163711334e-05,0.011853661328082531,0.0027533928851825886,0.0015883002886205005,0.00207033912942209,0.0006635890148047454,0.0009362719690221703,0.03695128716160408,5.4645239696417435e-05,0.0008461064707959354,0.014112682178416658,0.0001559449268786165,5.196473353124665e-05,0.0025948016530314205,0.002330113527078191,0.012216564505974865,0.0051112934343959466,0.004596473118776266,0.0016507419055821401,0.008520305736428015,0.055041564957260335,0.006115785311978762,0.014065438165762655,9.884381989120593e-05,0.000685430144002068,0.003985125253096102,0.010408544022138727,0.0007886336840783031,0.0015412607223233715,0.0004252279954107073,0.005579586627339275,0.0003735973935256372,0.00030832743008176063,0.0178181616611705,5.9306548489294284e-05,0.5232118327556716,0.0006448313716366687,0.0031254469526964587,0.003099126411924279,0.007137079495146468,0.0028396027501671186,0.010405854302500463,0.00038633374310164965,3.4116700826953663e-05,0.029213698799279673,4.8488545798520434e-05,0.010201655740970667,0.000868371089871558,0.0014181810847635804,0.00591372636006193,0.0004441865841710014,0.003465519954861933,0.00011693822466043214,0.00011123277225938567,0.006192044317737248,0.008191505287070444,8.596976017223747e-05,6.0366968663297995e-05,0.013343318788651788,0.001402677902636962,0.02256719061043989,0.001395160003695378,0.014557762070312012,0.0004821057608120672,0.00171678283295633,0.0002654850007813643,6.120970453480615e-05,7.482619340157595e-05,0.00011032824879344897,0.019793751163642233,0.0035951693217637338,0.005553326154726843,0.006424304920248633
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,6.465403263362092e-05,3.912303007017113e-05,5.570210507490651e-05,4.721455691075352e-05,3.150186460291183e-05,4.866419770723306e-05,4.002989822434569e-05,4.670404528237762e-05,6.355847985656497e-05,5.679239913109095e-05,5.466587223984255e-05,9.08359336240118e-05,4.82377877255139e-05,2.774867057976251e-05,5.012298001647505e-05,4.3838636780070496e-05,5.13342671459054e-05,3.6064091644465934e-05,3.946212847626439e-05,4.168822556741507e-05,5.922417673874949e-05,0.2098840130635166,2.7390417679776552e-05,6.204423440211907e-05,0.0001242020061804,3.89956735448595e-05,5.449905281977152e-05,0.0197882863632258,4.539146350769733e-05,1.2311537606592123e-05,0.2552721247486893,5.449721814517041e-05,4.346850896799426e-05,4.661491143264326e-05,3.095491565329431e-05,0.0057127099974127,3.167677752683265e-05,2.0130724871162208e-05,8.56069370125404e-05,4.863866172069541e-05,9.963558257508036e-05,4.757812853133613e-05,0.4994805694692796,5.050441161377785e-05,3.385701666438425e-05,9.503458813610972e-05,5.201191660623316e-05,0.0001008081880476,7.539365117295707e-05,5.3381398044169866e-05,2.736980684861356e-05,7.344983823447363e-05,3.8899486196134745e-05,7.505886956091618e-05,7.774808390120871e-05,5.725733756986908e-05,4.9238776583038624e-05,1.2489732469214388e-05,6.159793344596236e-05,4.725120882144061e-05,8.923545999999531e-05,7.235258536785471e-05,5.6786763760992005e-06,6.896844283598356e-05,4.8428840781860175e-05,3.957746750935419e-05,7.117667485014064e-05,1.360018379565142e-05,0.0057701597247545,0.0002185675069789,4.9770095517572014e-05,4.982437136544103e-05,7.340153256414735e-05,4.910491781945365e-05,6.00286197368853e-05,4.552947578046685e-05,5.862708615552092e-05,0.0001047732913369,5.36508040064536e-05,2.7684224215858256e-05
BaumgärtnerSabine,0.00015783439178371428,9.55077263448123e-05,0.10134294502702193,0.00011526088272908558,7.690282318238397e-05,0.00011879976753018654,9.772158645084597e-05,0.00011401461410388443,0.00015515991195325777,0.00013864245445582084,0.00013345114519297112,0.005393745371779008,0.00011775880910307339,6.774046977985305e-05,0.00012236096872900187,0.00010701953599735746,0.0052973133125701856,0.01412096196366957,9.633553844715574e-05,0.00010176991997175923,0.00014457894633457269,0.0001435404048894903,6.686589744042978e-05,0.0001514633132945836,0.000303203795730775,0.001654410350975974,0.00013304390312885066,0.06694897678618135,0.00011081031983741375,3.005510980375452e-05,0.00019357989460257462,0.09500585249165024,0.00010611597444485426,0.00011379701921633223,7.556760322344222e-05,0.00010194088759758087,7.732982322923602e-05,4.914342674045788e-05,0.00020898493543946136,0.04065828919013894,0.020513007755596325,0.00011614843920880733,0.5037895726508634,0.00012329212525111384,8.2652255631387e-05,0.00023199985841372502,0.0001269722689931769,0.0519660477726813,0.0001840521092422878,0.00013031546756889676,6.681558197102663e-05,0.00017930684401457859,9.49620076949759e-05,0.000183234835362126,0.053203059781374976,0.00013977746912872984,0.03115217442754751,3.0490121768442783e-05,0.00015037379672309584,0.00011535035792181939,0.00021784294004445893,0.00017662821390008898,1.3862869730606396e-05,0.00016836679451958959,0.00011822521068266631,9.66171058204079e-05,0.00017375756355089526,3.320097216051076e-05,0.00024218802151595,0.0005335702681253,0.00012149950181061607,0.00012163200082248516,0.0001791889194894466,0.00011987566006193564,0.00014654276461725639,0.00011114723746254531,0.0001431213198694663,0.00025577412637282497,0.00013097314543472822,6.758314235206554e-05
BaumgärtnerSabine+BaumgärtnerKlaus,8.919282550574912e-05,5.3971785705612255e-05,7.684328317776437e-05,6.513437080926684e-05,4.345808294056126e-05,6.713420830338157e-05,5.522284661762661e-05,6.443009958698401e-05,0.0022366063640226965,7.834738746240042e-05,7.541375851122194e-05,0.00012531180573511537,6.654595866845292e-05,3.828040158086914e-05,6.914665688020017e-05,6.047715388292742e-05,7.081767595158405e-05,0.1047284616444846,5.4439585527710734e-05,5.751057555450511e-05,8.170212199315756e-05,0.03314823456180196,3.778617736787295e-05,8.559250439992081e-05,0.0349113755241385,5.379609228207113e-05,7.518362444503484e-05,0.1247724192741343,6.261934049861397e-05,1.698425884236911e-05,0.00010939274745876975,7.518109343799799e-05,5.996654775346261e-05,6.430713587409288e-05,0.002086234950033276,5.7607190021377776e-05,4.369938231921533e-05,2.7771140601744632e-05,0.00011809819564246919,6.709898038798957e-05,0.00013745127362961893,6.563593241018403e-05,0.5431468912915131,6.967285703376834e-05,4.670710946376084e-05,0.00228002891508439,7.175252050198658e-05,0.019479393006564878,0.0001040085590857949,0.014179706070203413,3.775774390142752e-05,0.00010132699134476151,5.3663397985038105e-05,0.07063386819070615,0.00010725659326004862,0.021568237762820804,6.792686285749785e-05,1.723008578680669e-05,8.49768143697028e-05,6.518493358688802e-05,0.00012310388831901636,9.98132871026569e-05,7.833961324381852e-06,9.514472704481785e-05,6.680952400572431e-05,5.459870033978562e-05,9.819107148290864e-05,1.876199783246053e-05,0.014215077833263276,0.00670071191633715,6.865983859134405e-05,6.873471429562675e-05,0.00010126035173934269,6.774219933603573e-05,8.281188330330897e-05,6.280973395222174e-05,8.087841163772112e-05,0.001424376807135475,7.401343125970843e-05,3.819149524268654e-05
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,1.991992316583029e-05,1.2053815071807546e-05,1.7161832109605277e-05,1.4546816457692296e-05,9.705732139344958e-06,1.4993451139361154e-05,1.2333221370484444e-05,1.4389527700931548e-05,1.9582383088991857e-05,1.749775197326528e-05,1.684256852130977e-05,2.7986573223366746e-05,1.486207412037268e-05,8.549372148758542e-06,1.5442902323333584e-05,1.3506694645055106e-05,1.581610018226287e-05,1.1111355399502944e-05,1.2158291373128315e-05,1.2844152427870023e-05,1.8246983245124955e-05,1.811591126799078e-05,8.438994343214744e-06,1.911584369650415e-05,3.826666828622309e-05,1.2014576495410448e-05,1.6791171417447523e-05,0.0026023326200768,1.3985120937185402e-05,3.793187728386408e-06,2.4431282582679208e-05,1.679060615375708e-05,1.3392658176210603e-05,1.4362065540168205e-05,0.5433954574813852,1.2865729866928584e-05,9.759622853710109e-06,6.2022812247212185e-06,2.6375518096687264e-05,1.4985583495703472e-05,3.0697747203571234e-05,1.465883296234441e-05,0.230767835607935,1.5560421491153296e-05,1.0431355061804111e-05,0.007018166613967,1.6024884145663723e-05,3.1059027234629735e-05,2.3228802247607083e-05,1.6446821709486215e-05,8.43264414112484e-06,0.1275698073384029,1.198494114989411e-05,2.3125655951582856e-05,2.395420354332611e-05,1.764099961923633e-05,1.5170479030623796e-05,3.848089608863006e-06,1.897833826345781e-05,1.4558108920281674e-05,2.7493466910880245e-05,2.22918491340534e-05,1.749601571436836e-06,2.124919399761204e-05,1.4920937613460282e-05,1.219382735725153e-05,2.192955081779067e-05,4.190219932386203e-06,3.056600482164587e-05,0.0874284211303658,1.5334178523467994e-05,1.5350900925385876e-05,2.261503002013313e-05,1.512923711303459e-05,1.849483232833624e-05,1.4027642551963698e-05,1.806301949133477e-05,3.228067652160584e-05,1.652982575193349e-05,8.529516208378695e-06
BierwischHedwig+BierwischWilhelm,7.292513055042407e-05,4.41279833473492e-05,6.282799570352957e-05,5.325464764291681e-05,3.553185308281164e-05,5.488973891299356e-05,4.515086584734676e-05,5.2678826992134034e-05,7.168942527362529e-05,6.405776951881754e-05,6.165919908405344e-05,0.0001024564446851,5.440877891222938e-05,3.1298518316668886e-05,5.653514115648488e-05,4.9446850878669146e-05,5.7901386515816464e-05,4.067771930420181e-05,4.451046212750393e-05,4.70213406354234e-05,0.1535810842187226,6.632079768883289e-05,3.089443463561543e-05,6.998146456409594e-05,0.0001400909911785,4.39843342839191e-05,6.147103869418319e-05,0.0031304880862404,5.119832850847269e-05,1.3886535002772712e-05,8.944083052048867e-05,0.0320436113813466,4.902937314500701e-05,5.257829037649593e-05,3.4914933736399e-05,4.710033378952294e-05,3.572914236690262e-05,2.270601970991018e-05,9.65585100165129e-05,5.48609361442236e-05,0.0001123818201399,5.366473046088521e-05,0.5825676897357424,5.696536875244924e-05,3.818829637881209e-05,0.0001071922270634,5.866572670232678e-05,0.2111958443547805,0.0064814671355349,6.021040394177841e-05,3.087118709030249e-05,8.284617098069694e-05,4.387584182525374e-05,8.466104338325032e-05,8.769428506757374e-05,6.458218686704301e-05,5.553782284253096e-05,1.4087526079288889e-05,0.0064659065513718,5.329598838011297e-05,0.0001006512247596,8.160854812430913e-05,6.405141322388241e-06,7.779147707885029e-05,5.462427311280094e-05,4.464055631812151e-05,8.02822050560297e-05,1.5340035855580887e-05,0.0001118995225768,0.0002465285355183,5.6137112648386185e-05,5.619833192783953e-05,8.27916856350599e-05,5.53868397187857e-05,6.770799519777699e-05,5.135399649389149e-05,6.612716543003485e-05,0.000118176788635,6.0514274623471774e-05,3.1225827421611336e-05
BierwischManfred,0.008368291738085155,0.00535406690348773,0.0009277588275437217,0.001183448229987993,0.0005893430839767415,0.007724740836444373,0.0012829777229922238,0.006759240759245128,0.007588073243809603,0.00043736735168757286,0.012530032349558603,0.015592998714719874,0.0009890266805076082,0.006299122804567896,0.00013096642480644408,0.000748585102757685,0.0035651967053113337,0.0003329264480202789,0.0006849827626764938,0.003526122466917046,0.0023167022816787948,0.00424511153234517,0.0064286251566279635,0.013603537592541166,0.007919541788465786,0.008096081585300494,0.005093709107236103,0.06054148121350537,0.001969977214837377,0.00032246235578675957,0.009527619167705089,0.009691883164031292,0.008203164018675284,0.009383307678911169,0.002018242231981018,0.0030407281629849514,0.0028425372863342727,0.0028336325202281873,0.012302426124535422,0.007548068819996635,0.023202932850830985,0.0013414043966060091,0.5127658481904368,0.0012780005617709215,4.583460354520411e-05,0.013994424562455504,0.01309928077491636,0.010965546738887772,0.004870929041875238,0.001380438490775562,0.003044621763616023,0.01915406739385441,0.0038377523020260386,0.010680637185509538,0.004423635921248861,0.00076853872348838,0.007417917082710312,0.002828483871045908,0.0009591623874214881,0.0006257352227237094,0.0010472722489134555,0.002137583185806952,7.687620056431572e-06,0.004818720928848637,0.0007008991414133202,0.0013735316198290562,0.00150364407119248,0.0008443927650434981,0.0002445875888184896,0.03746017583985112,0.004085285847138239,0.00101295649300354,0.0013351517621793382,0.007621005262018286,0.016093208440013114,0.004070443224815417,0.009700691930897351,0.0013792409746601153,0.005083614247693385,0.0002506065812500541
BierwischManfred+BaumgärtnerKlaus,5.7700510597612185e-05,3.491535978841206e-05,4.9711360193062556e-05,4.213664531690517e-05,2.8113848407031064e-05,4.3430377675627394e-05,3.5724694541545084e-05,4.168103906276426e-05,5.672278419683252e-05,5.0684393446840894e-05,4.878657389210551e-05,8.106655590096568e-05,4.304982796098641e-05,2.4764309288027876e-05,4.473226838012548e-05,3.91238043951175e-05,4.5813281938003736e-05,3.2185409283235644e-05,3.521798826149268e-05,3.7204669270659304e-05,5.285463409396137e-05,0.030051972184087453,2.4444586381192275e-05,5.537139539194912e-05,0.00011084411724898778,3.4801700419628974e-05,4.863769585119131e-05,0.0520866969731035,4.0509625068692865e-05,1.098743538810079e-05,7.076821872452144e-05,4.863605849529947e-05,3.879348371946533e-05,4.160149153213538e-05,2.7625723654742264e-05,3.726717098016406e-05,2.826994949785621e-05,1.796567138121695e-05,7.639993632435186e-05,4.340758807686895e-05,8.89198052169133e-05,4.246111491751457e-05,0.4459868452301289,4.507267712225535e-05,3.0215704562733742e-05,8.481364636543637e-05,4.641805039983631e-05,8.99662973187173e-05,6.728508634797357e-05,4.7640244515255006e-05,2.4426192238808534e-05,0.15649150009966678,3.4715857991734337e-05,0.06649444443180064,6.938630053453004e-05,5.1099327894410144e-05,4.394316076373663e-05,1.1146465446093324e-05,5.4973093971272485e-05,4.2169355325467314e-05,7.963821274057726e-05,0.004350213545713615,5.067936415912487e-06,0.01465265756048197,4.322033331778114e-05,3.532092261577851e-05,6.352164457809365e-05,1.2137488061686422e-05,0.18977292468904125,0.0280517366228157,4.4417336504428385e-05,4.446577500095508e-05,0.008820171211436634,4.3823698470478196e-05,5.357255948621251e-05,4.06327941624548e-05,5.232176042588643e-05,9.350495492509666e-05,4.788067594618989e-05,2.4706794111449372e-05
