year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00015763833927274083,9.538909231736169e-05,0.00013581190500152194,0.002426136019920295,7.680729906109957e-05,0.00011865220151200482,9.760020249781784e-05,0.00011387299191920817,0.01397258574539843,0.0027234191476547356,0.0001332853801032992,0.00022147459546600988,0.00011761253610166588,6.765632658997755e-05,0.0024332272866149185,0.00010688660268341007,0.0001251623184360403,8.79308417841244e-05,9.621587616067143e-05,0.00010164350741914924,0.00014439935895099306,0.00014336210752042167,6.678284059238214e-05,0.002166443097202778,0.00030282717397667576,9.507857384963517e-05,0.050975281407060584,0.21210941836657665,0.00011067267783680889,3.00177771307037e-05,0.00036605967319862674,0.00013287417061933702,0.0024170024708982394,0.0001136556673151132,7.547373763311054e-05,0.00010181426267914558,0.02802911942438676,4.9082383693358494e-05,0.002856261388599807,0.00011858994011320914,0.0035769083530323704,0.00011600416651325962,0.2730362456461234,0.02939401536953468,8.254958990642987e-05,0.0016595593107652936,0.000126814551578873,0.0025568070803922006,0.020522128870819785,0.00013015359743181467,6.673258762187706e-05,0.00017908411969824324,0.0013873185048392047,0.00018300723192813905,0.003759183099623842,0.00013960384585507316,0.03907975953018875,3.045224874935573e-05,0.00015018701132038888,0.00011520707655545375,0.00021757234847748512,0.0024874271242358342,1.3845650096854325e-05,0.006319358060805671,0.00011807835834490346,9.649709378762154e-05,0.00017354173222131015,3.315973188400766e-05,0.00024188718993412427,0.07687525006423103,0.0001213485823427959,0.00012148091677226702,0.00017896634165196626,0.018214369104007092,0.00014636073789520634,0.00011100917696288652,0.02479092106171033,0.1694356705634551,0.0001308104583692523,6.749919458499948e-05
1955,0.010510991724165362,6.848538467652031e-05,0.00027954403759121064,8.264971007012087e-05,5.514443312515716e-05,8.518732557208505e-05,0.009938113099455498,8.175605267220272e-05,0.0011471044268479417,9.941585031167317e-05,9.569333669472479e-05,0.0001590095103966391,8.44408892256318e-05,4.857441705074458e-05,8.774094341376263e-05,7.674011696416806e-05,0.017044119550854202,6.313067226261267e-05,0.03943116854464106,7.297579352480953e-05,0.00010367270936909513,0.00010292800615930088,4.794729058270001e-05,0.0031376310091393044,0.00021741726434813645,6.826244538446658e-05,0.0013370267043237582,0.3551946201784264,7.945836081150778e-05,2.15515103874816e-05,0.00013880964456879132,0.00047804200523442924,7.609220330450698e-05,8.160002268230694e-05,5.41869917115996e-05,0.0013147237759138714,0.004989470735530253,3.523910172975356e-05,0.020015862278150186,0.00038804479961880215,0.0013246373747999424,8.328614702934637e-05,0.23509971293808046,0.0004083681091636354,5.926715814446996e-05,0.0001663593109838957,0.002155972165868258,0.0012686866436364542,0.00013197758950384312,9.344484752505286e-05,0.0013277490697036324,0.0001285749190922547,6.809406815072713e-05,0.00013139154983763082,0.00013609905532077673,0.00010022973123485402,8.619313353904914e-05,2.186344286541541e-05,0.00010782800206832193,8.27138697274429e-05,0.014291095159443594,0.00012665416335009492,9.940598552135246e-06,0.2472414917468403,8.47753301427553e-05,6.928088346017539e-05,0.0035752676018439653,2.3807302687090837e-05,0.0014071699295119594,0.0016242307162885744,0.0005201368863692904,8.721822499708306e-05,0.00012849035937362833,0.004397844801166822,0.00010508089754058778,0.01235535630367865,0.00010262749435877182,0.0033301315681451746,9.391644624652905e-05,4.846160283325641e-05
1956,0.00012419224339665135,7.515040709716288e-05,0.00010699671945242285,9.069320976392854e-05,6.051110931291607e-05,0.004379012511480635,7.689238645936648e-05,0.006518014668138292,0.00012208782466823246,0.00010909103684120561,0.021532679869630762,0.019799576718997163,9.265870712305826e-05,0.00846405555925597,9.627992377903497e-05,8.420849291829635e-05,9.860665360349519e-05,6.927457213334558e-05,7.580177237274648e-05,8.007782415957109e-05,0.00011376217496259277,0.00011294499696692947,5.261353825367487e-05,0.00011917915010639761,0.00023857639119478002,7.490577127251873e-05,0.006532987894616635,0.3321599222292416,8.719127724055323e-05,2.364891117758508e-05,0.00015231864941150534,0.00010468228360445163,8.349752406682033e-05,8.954136641964964e-05,5.946048935450793e-05,8.021235030914635e-05,6.0847094982114725e-05,3.866858386263708e-05,0.00016444013041151028,9.342873551497683e-05,0.00019138738943402,9.139158499832008e-05,0.3090204378521058,0.01421417254699045,6.503505942306684e-05,0.0029861340801184575,9.990833276080117e-05,0.00019363981667374,0.00014482169627520752,0.0601004686840622,5.257394744617015e-05,0.0001410878767477911,7.472100750547314e-05,0.0001441786230165966,0.00014934426463695613,0.00010998412495035233,9.458148048717225e-05,2.3991201037155457e-05,0.00011832186225106227,0.0028943482342488006,0.0019360550581419029,0.010474694634124966,1.0908021200594282e-05,0.03913279634954846,9.302569595125401e-05,7.602332411031979e-05,0.0001367214165471121,2.6124238000132334e-05,0.07606432062849286,0.00883059448048686,0.0036248920624611424,9.570633421687669e-05,0.0036428606844194993,9.43243546827888e-05,0.00011530740851657763,8.745638141230954e-05,0.00011261523924923393,0.06188011793736982,0.00010305642878230602,5.317790355857958e-05
1957,0.0014983429733936371,0.003714607015528516,0.00033773486286437036,6.860190760448625e-05,0.0003684527187319585,7.070820978090489e-05,5.816272690209058e-05,0.0011489275131801948,0.001183996466594689,0.00048817103544268814,0.00038749332770679723,0.012521601015664345,0.0019394657122807724,0.002382596680250274,7.282779441203707e-05,6.369675597248126e-05,7.458777296891958e-05,5.2400480798959334e-05,5.7337767602529096e-05,6.05722469020893e-05,8.605167063757834e-05,0.028378328064215228,0.0007109281585337027,0.009837593303335421,0.004236220799282809,0.00046256753142193206,7.918615000752654e-05,0.2734824948359287,0.0013395902393747352,1.7888444171003867e-05,0.019423057544628322,7.918348425811289e-05,6.315896687463966e-05,0.01624068829214187,0.00036302885542076585,0.004596620275032802,4.6025791774585146e-05,0.000436735857669866,0.00031551170560470887,0.009523525679046735,0.0015773759284974103,6.913017067321957e-05,0.26868985879982826,0.009869189630442067,0.0005675874997419611,0.00013808355857001218,0.004119353691681441,0.004373761609603571,0.010435040456900115,0.0005392277314096974,0.010592862900793176,0.0021202600446126605,5.652025842227703e-05,0.0014018016392414489,0.0046821902041389645,0.01810468801028541,0.0005116748169404697,1.8147358122570018e-05,0.0014194562614424564,6.865516217584498e-05,0.05376645538285623,0.011340341567061537,0.0001241517850902522,0.0055328638945634535,0.032442901200730866,5.750535315683481e-05,0.0004389836223530873,1.9760824059347073e-05,0.004968410954657026,0.04025274124727454,0.002231078481517196,7.239392137734925e-05,0.000659290718730744,0.09367072681251189,8.722051194080463e-05,0.00395192767438837,8.518410868841782e-05,0.0015372302617841867,0.013006981679153247,0.00013031363063659176
1958,0.006514205814310255,0.009203703038201104,0.028781111825557475,0.004011397377341984,0.02245070026835938,0.0016275679903471948,0.0002699614870160593,0.019326346312570037,0.00649006456104274,0.0011999735038233509,0.0016308855572331902,0.005191723197467284,0.006324665951265033,0.0009157083810213277,0.008069940693498274,0.0030043044708876316,0.006234832777146005,0.004515615217805427,0.0002271092850981284,0.004249873287457263,0.0008162606018103011,0.004193990308540954,4.531329602929207e-05,0.0012036673472901342,0.011235693538745553,0.000512730563985193,0.003721685198435616,0.32515803274317434,0.013471938556273882,2.0367573604224794e-05,0.0016499880278058542,0.002107040871850918,0.0009149311428285799,0.0061379534527138,0.0026259307879664445,0.0005864556700135636,5.240442895425867e-05,3.330323421992809e-05,0.0006739562681105528,0.0025860415781306764,0.00016483197522061454,0.0006996318246029352,0.26717051505522377,0.0098362511412345,0.0020168970899766283,0.00015722032703474975,8.604583551016604e-05,0.002236263700476219,0.017996112087273277,0.004229825193318433,0.005047382317147507,0.00024879436579112335,6.435330610873502e-05,0.0001241735272459407,0.0009743572940015491,0.0014501886698243948,0.00890369513087929,2.0662370005480993e-05,0.0021023188862701043,0.0009596405913132535,0.011675226559658964,0.012308225890877501,9.394509667325649e-06,0.0055417798278398515,0.004493594782642223,0.004327783154750965,0.003130532681419606,0.0007736661124291038,0.006736559768044928,0.0007074195367671511,0.007482145593498387,0.001344125993324883,0.06194064286215543,8.123664646740979e-05,0.02874927449370778,0.0033727346848151842,0.0005324339277207571,0.000909978281864419,0.0026881985968626124,0.0007185092190923542
1959,0.0013432840918376967,0.0025447279411723684,0.015597276667317386,0.03774622755572561,0.001454990097236446,0.004848863153905628,0.0005186083352172115,9.277756737319732e-05,0.0006916390568153544,0.00019392474415003084,0.0001085937334567612,0.0003620418034907925,0.019901753290484808,0.00040755273128206766,0.0008450677510775373,0.008670088788106893,0.005085024320497206,0.004194140515812492,7.839150251890372e-05,8.281364350487316e-05,0.00011764880353040439,0.005901908585581095,0.0017990207058494816,0.0019254678356622722,0.0011959358834473046,7.746488998323189e-05,0.006558848322409237,0.22545096443366813,9.01701241999837e-05,2.4456864557607323e-05,0.0047610662698625425,0.0027435565142929176,0.008552671131864165,9.260050301615878e-05,6.14919276304937e-05,0.008033992879352666,6.292590595510157e-05,0.0001307878056899227,0.0030203490963646618,0.004869742875732762,0.006625743373724011,9.451393339951746e-05,0.3391367284060591,0.00010032699357862767,6.725695013448003e-05,0.0007497263114113413,0.012603838871744122,0.0021443338663923546,0.017467856777230725,0.013716619226750845,5.437011041625756e-05,0.002036306716991906,0.0007729934023501078,0.004204092639109462,0.00033535551591649775,0.00011374167830389213,0.0009962169172439475,2.4810848581315345e-05,0.0011052204762502038,0.0005566728978082144,0.030785138147328337,0.0001437283820492552,0.000363710696576584,0.000489435792470617,9.620387294674104e-05,0.011215860118363662,0.005404893332540594,0.00017942226346741243,0.06506553007515542,0.01586151926671011,9.886827494565052e-05,9.897609389584994e-05,0.028209907366650484,9.754689971296776e-05,0.05537201827699316,9.044428552493181e-05,0.0002966843821949109,0.0006472210598785818,0.0011778801889110516,0.0011594266606518217
1960,0.00010600333588339188,6.414405302149124e-05,0.011062921919142803,0.003402655230053585,5.164879278882308e-05,7.978724736766299e-05,6.563090613232066e-05,7.657348501734263e-05,0.0005478204260040928,9.311381696531858e-05,8.962727583035942e-05,0.015286474438759056,0.012492585830063702,4.549525417003448e-05,8.217898976652739e-05,7.187551263200572e-05,0.0004198237802721544,0.0744174909029498,0.003051046094887312,0.01517262533422806,0.001493713379776605,0.029045655616797145,4.4907881643658045e-05,0.001877838382866642,0.0016955159302877137,0.0007178652956100538,8.935376752318772e-05,0.24458453098951094,0.006456603630224761,2.0185346574563963e-05,0.011373755489716008,8.935075948764697e-05,7.126867062718158e-05,0.012627259942657693,0.002079176857753693,0.01836398232497248,0.00027374222106227796,3.300527288354163e-05,0.0011259591510691224,7.97453799133453e-05,0.00016335723690267027,7.800658572978066e-05,0.2735000751359926,8.280436486036356e-05,0.0036044165802332304,0.00015581368951598942,8.527599039634379e-05,0.012101831554581494,0.015675233476403164,8.752131980486495e-05,4.4874089213865466e-05,0.002076821473480956,6.377754229665747e-05,0.00012306255676550177,0.0001274716505120881,9.387610546432551e-05,0.0018578808913726902,2.0477505456319826e-05,0.006749809573804135,0.04579740617293397,0.00808018644480796,0.0012593970135445411,9.310457751026615e-06,0.0018881941371526336,0.0009185277864881419,0.006053668682331144,0.027630171560052402,0.01630406817378934,0.05917573538387007,0.008777765328881732,0.014218892757653203,8.168940679940063e-05,0.00012034527459168756,8.050982877802895e-05,0.0003699057600140216,7.464772292087811e-05,9.612187287412116e-05,0.00037655481012047334,0.0013155476737070682,0.02185602751125578
1961,0.0003197078526823919,3.372683201668031e-05,0.00022132587434000193,4.070230313998912e-05,2.715684582122134e-05,4.195199651853473e-05,3.450861680794493e-05,0.0008016608540820478,0.01380614587319796,4.89590837387324e-05,0.0003048500324939762,0.0008957195916402453,0.014252733928272391,2.3921325869987275e-05,0.0008163820686724103,0.0038986209986539497,0.00015827734631147832,0.003493086327005557,0.001534940726910563,0.00396826330645732,0.0006081848110667114,0.014218153223608027,0.004077090173117687,0.002791835176721836,0.0001070709551655376,3.3617041641863e-05,0.001986001410762708,0.2111451750141173,0.0066025399306300445,0.030907672301832223,6.835925047042943e-05,0.004094916159466971,3.747294361785369e-05,0.0002283897525885113,0.04496761040072099,0.005778672880963254,2.730763319101461e-05,1.735411533528862e-05,0.0004995873421274316,0.0014042842527221414,0.002093817952788236,4.1015727712456456e-05,0.3108730902193546,0.04336062210241633,2.9187154256139136e-05,0.010306685488519894,4.483796809954457e-05,8.690382156216181e-05,0.0008956043882051162,0.006040377346584719,0.0006172455976138951,0.1311824086430849,0.012215912493197843,0.005889273494013073,6.70243731288549e-05,0.00044882103032100235,0.0024963550064725014,0.008332783637711273,0.003150831577809273,4.0733899691495984e-05,0.02368987762493591,0.00034808256728344547,4.895422564925991e-06,5.945569864627161e-05,4.174910212431632e-05,3.411858938173799e-05,0.03128471038931974,0.0003198851641758796,0.0016283832550277738,0.010936848606561007,0.0010738020232054994,4.2952148654255766e-05,6.327733700885042e-05,4.233192857299072e-05,5.174893586789627e-05,0.000495343884266197,5.05407143272942e-05,0.00012642295249285366,0.010316195440234651,0.006851909738303442
1962,0.001906002205279085,0.0018234481710411887,0.005702577716057175,0.0016656135545909951,0.0003973034819715879,0.00015398046346743862,6.057725163860469e-05,0.0006262814022207716,9.618305813469649e-05,0.0010752896199718233,0.0032158659479951035,0.0016488729890968812,0.0027251034098394198,0.007546253042525772,0.009365926437733789,0.00044155406506444063,0.0018261103028287507,5.457579588189069e-05,0.011136345451583467,0.00046593895668195533,0.0005635564385764569,0.00020127470790929345,0.002292728216046077,0.0015673194243197542,0.01040558476634561,0.05438438034846136,0.011295050209688984,0.21843440036447687,0.0012835946728475935,1.8631051907077227e-05,0.0001199994639199933,0.003424915934638946,0.004365901223917601,7.054235322159748e-05,0.00704692622959886,0.0007851414560361775,4.793647269820609e-05,3.0463829294635976e-05,0.003640563132044057,0.014306068523159734,0.0008613650822880589,7.199998981720442e-05,0.4579800283349479,0.005570665100289636,5.1235828947567564e-05,0.00014381585802760206,0.00024272062877651797,0.0059397732562645154,0.01314371794590708,8.078207853587646e-05,4.141873325474469e-05,0.00011115165241260077,5.8866598928367285e-05,0.007103625683949873,0.0019772528254901477,0.013009682044215171,0.0002509373771030646,0.009122355870092901,0.0002696404912386598,0.010739486507203255,0.0026611261898670867,0.006456590180319769,8.593541904136141e-06,0.00010436995601094797,0.007765184883472547,0.0021195348524834954,0.017960038365984653,2.058116039924198e-05,0.0010324747602064959,0.002305019253171597,0.0052660771539605085,0.00487916512916948,0.0017374124394856257,0.0006243449634488015,9.084132022868361e-05,0.0002733685194790118,0.03240005283501476,0.0011574783394504992,8.118977062339386e-05,6.725235491352625e-05
1963,0.03983841280905099,5.325895749726108e-05,7.582838142575615e-05,6.427411361675513e-05,4.288411365279402e-05,6.624753841098458e-05,0.00044228610161977164,0.001187954748903444,0.0002551349705223092,7.731262036874202e-05,0.0037650216937626414,0.00043103144424731294,6.566705803785932e-05,0.0432752821525029,0.000488797335983747,0.011830848918554931,0.000577460418944372,4.909476389290205e-05,5.372057888918886e-05,5.675100905141944e-05,0.0022761130777235296,8.004391493466836e-05,3.728711933669233e-05,0.003517917015055524,0.0013996389150194596,0.00020236623527344327,0.0018920338175389129,0.19376907257593576,6.179230037548008e-05,1.675994055009061e-05,0.00823276323748615,0.011933289778348687,0.05376688233158228,6.345780432335493e-05,4.213954118975553e-05,0.03472857379562509,4.312222608846412e-05,2.7404355398325936e-05,0.003942804139563327,0.02285060343218979,0.0011218944759276942,0.011182643967910593,0.3861854173794031,6.875265813352948e-05,4.609022890809518e-05,0.003264331369373404,7.080485460645378e-05,0.0038237869628996372,0.011827707716352876,0.005213603632614032,3.725906140306724e-05,9.998872290039827e-05,0.013011859819843104,0.009113074297015014,0.00034001757264467763,7.794555029531648e-05,0.004860360170102565,0.009670583279695263,0.014531048010582269,0.0019979904834225267,0.00012147800318286946,0.002988995745632589,7.730494882756659e-06,0.0025907045977858157,0.0007912491745652446,5.3877592204621536e-05,0.02335500704354086,8.806107265847574e-05,0.013491591929165235,0.005773061508299132,0.0007658829528542997,6.782690584344272e-05,0.00042770672042466673,0.000593498181632545,0.011891650813056551,6.198017922219328e-05,0.01268264546576128,0.0004930858049866435,0.0001651271811817079,0.005462343136609665
